Case Index ,Core Terms
Case 1     ,"contests, Baseball, boxing, promoters, championship, commerce, rights, exhibition, television, motion picture,
            exemption, sport, interstate, negotiate, boxers, radio, heavyweight, broadcast, bout, anti trust law, Sherman Act,
            Sherman Law, allegations, enterprises, arrange, fight, radio and television, exclusive right, sale of tickets, stare
            decisis"
Case 2     ,"championship, boxing, contests, decree, promotion, Square, divestiture, conspiracy, stock, antitrust, Stadium,
            arenas, fights, staged, dissolution, professional boxing, Sherman Act, broadcasting, monopoly, rights, lease, trial
            court, trusteeship, provisions, television, effective, five-year, commerce, contracts, ownership"
Case 3     ,"license, station, antitrust, anti trust law, radio, broadcasters, Communications, proceedings, sentence, regulatory
            scheme, rates, violations, monopoly, public interest, television, carriers, revoked, federal court, affiliation,
            conspiracy, questions, decree, repeal"
Case 4     ,"carrier, stock, acquisition, railroads, public interest, Commerce, intervened, anti trust law, transportation, Clayton
            Act, employees, relieved, acquire, per share, authorization, policies, approve, conditions, subsidiary, contracts,
            traffic, terms"
Case 5     ,"retailers, wholesalers, Sherman Act, prices, products, announced, customers, resale price, manufacturer,
            adherence, advertising, conspiracy, observe, selling, minimum retail price, concerted action, contracts, seller,
            cooperation, cases, retail price, acquiescence, combinations, contractual arrangement, cutoff, indictment, unilateral,
            antitrust, discount, suppress"
Case 6     ,"cooperative, Sherman Act, agricultural, milk, Clayton Act, Dairy, producers, Capper-Volstead Act, acquisition, anti
            trust law, dealers, exempt, charges, farmers, monopolization, practices, restraint of trade, associations, provisions,
            violations, contracts, monopoly"
Case 7     ,"provisions, carriers, hired"
Case 8     ,"divestiture, decree, stock, acquisition, stockholders, shares, effective, provisions, antitrust, Courts, percent, voting,
            cases, shareholders, monopoly, parties, violations, fashioned, public interest, Clayton Act, monopolization,
            conspiracy, commerce, framing, anti trust law, pass through, Sherman Act, injunction, ownership, officers and
            directors"
Case 9     ,"antitrust, merger, antitrust suit, Clayton Act, proceedings, anti trust law, acquisition, courts, stock, natural gas,
            consummated, public convenience, interlocutory, immunity, restrain, approve, matters, unscrambling, entrusted,
            lessening, temporary, hearings"
Case 10    ,"films, license, package, Station, decree, patent, Pictures, block, television station, block booking, tying
            arrangement, distributors, contracts, Artists, negotiations, television, monopoly, booked, economic power, tying
            product, feature film, Differentials, conditioning, cases, tied product, Sherman Act, modification, products, anti trust
            law, judgments"
Case 11    ,"distributors, dealers, territorial, trucks, customers, restrictions, manufacturer, contracts, sales, summary judgment,
            competitors, price-fixing, limitations, compete, territorial limits, anti trust law, Sherman Act, horizontal, purchasing,
            accessories, practices, vertical, markets, selling, fleet, political subdivision, prices, per se violation, discounts,
            franchise"
Case 12    ,"merger, banks, acquisitions, Clayton Act, stock, concentration, bank merger, agencies, consolidation, effects,
            regulation, anti trust law, national bank, insured, Sherman Act, commerce, commercial bank, largest, proposed
            merger, anticompetitive, antitrust, deposits, loophole, loans, Currency, factors, merge, banking industry, legislative
            history, four-county"
Case 13    ,"consolidation, banking, Sherman Act, deposits, cases, commerce, Steel, factors, loans, interstate, mergers,
            competitors, constitutes, elimination, antitrust, bigness, merging, commercial bank, relevant market, probable,
            compete, traffic, dollar, volume"
Case 14    ,"merger, glass container, glass, metal, containers, commerce, metal container, products, lines, interindustry,
            manufacturers, producer, combined, effects, sales, beer, baby food, anticompetitive, acquisition, largest, shipped,
            bottle, packaging, customer, probable, billion, food, soft drink, compete, markets"
Case 15    ,"substantial interest, railroad, interlocking, common carrier, dealings, bidding"
Case 16    ,"concert, artist, decree, consent decree, resale price, modification, contract provision, Sherman Act, audience,
            modified, margin"
Case 17    ,"proceedings, Insulation, decree, products, Wires, antitrust, manufacture, electrical, limitations, tolled, suits,
            legislative history, tolling provision, tolling statute, Clayton Act, statute of limitations, distributors, prima facie
            evidence, private litigant, anti trust law, final judgment, acquisition, conspiracy, suspend, criminal prosecution,
            criminal proceeding, instituted, violations, benefits, hearings"
Case 18    ,"brand, label, grade, premium, products, milk, customers, consumer, Robinson-Patman Act, differential, seller,
            chemical, advertised, retail, cases, competitor, purchasers, prices, price discrimination, tires, high prices,
            discriminatory, marketplace, preferences, selling"
Case 19    ,"dealers, discounters, associations, conspiracy, sales, franchised, Sherman Act, customer, collaborative, unilateral,
            promise, prices, manufacturer, price competition, establishments, repurchase, antitrust, retailing, referral, concert,
            outlets"
Case 20    ,"merger, chains, Markets, concentration, Food, competitors, acquisitions, grocery, firms, Shopping, retail, largest,
            sales, single-store, top, market share, horizontal, Giant, lessen competition, grocery store, Clayton Act, combined,
            market-extension, monopoly, chain store, incipiency, arresting, smaller, legislative history, large number"
Case 21    ,"shoes, unfair, franchise, dealers, retail, customers, franchise agreement, practices, declare, Federal Trade
            Commission Act, competitors, lines"
Case 22    ,"court of appeals, merger, Writs, district court, injunction, proceedings, cases, preliminary injunction, enjoin, Clayton
            Act, appellate jurisdiction, preliminary relief, courts, acquisition, temporary, merits, orders, consummation,
            restraining, appeals, parties, administrative agency, appellate court, antitrust, decisions, vested, staff, authorization,
            vertical, milk"
Case 23    ,"stock, public interest, railroads, carrier, Clayton Act, anticompetitive, shares, acquisition, issuance, antitrust,
            transport, consolidations, approving, district court, defer, stockholders, acquire, circumstances, deferral, controlling
            issue, additional share, questions, immunity, effects, merger, lawful object, authorize, ownership, proposed
            transaction, anti trust law"
Case 24    ,"rates, anti trust law, Stock, Securities Exchange Act, shares"
Case 25    ,"merger, district court, banks, convenience, public interest, bank merger, antitrust, Clayton Act, merging,
            anticompetitive, factors, largest, lessen competition, outweighed, benefits, consummated, managerial, weighing,
            courts, loans, Sherman Act, recruiting, appraised, deposits, effects, judging, lending"
Case 26    ,"pari delicto, antitrust, damages, provisions, dealers, anti trust law, mufflers, franchise, terms, manufacturer,
            participated, cases, illegal scheme, treble damages, resale price, conspiracy, violations, parties, fault, franchise
            agreement, Sherman Act, restrictions, franchisees, territorial, selling, prices, deter, source of a supply, public
            interest, anticompetitive"
Case 27    ,"leasing, machines, manufacturer, shoe, damages, monopolization, decree, overcharge, buyer, cases, competitors,
            shoe machinery, monopoly power, Sherman Act, profits, antitrust, customers, machinery, practices, anti trust law,
            violations, factories, bought, taxes, prima facie evidence, Clayton Act, treble-damage, predatory, charges, effects"
Case 28    ,"patent, pool, license, royalty, licensee, patentee, Radio, district court, injunction, products, manufacture, Automatic,
            patent misuse, monopoly, infringement, merchandise, parties, damages, anti trust law, injunctive relief, trial court,
            conditioning, invention, percentage-of-sales, distributors, conspiracy, royalty payment, importation, provisions,
            insisted"
Case 29    ,"damages, defenses, limitations, conspiracy, tolling, pool, statute of limitations, parties, reopen, trial judge, merits,
            waived, markets, counterclaim, patent, cause of action, district court, trial court, four year, conspiratorial,
            coconspirator, antitrust, accrues, future damage, conspirators, infringement, four-year, settlement, pleadings, rights"
Case 30    ,"stamps, unfair, practices, consumers, anti trust law, exchanges, redemption, deceptive, unfair methods of
            competition, unfair practice, merchants, trading stamp, competitors, commerce, Federal Trade Commission Act,
            proscribe, redeemed, retail, restrain, violates"
Case 31    ,"territory, chains, products, Sherman Act, per se rule, horizontal, brands, licensed, label, per se violation, practices,
            trademarked, marketing, rule of reason, manufacturers, cooperative, restraint of trade, territorial limits, restrictions,
            compete, cases, anti trust law, combinations, supermarket, grocery, courts, prices, allocated, consumer, regional"
Case 32    ,"baseball, anti trust law, antitrust, players, exemption, cases, League, commerce, boxing, sport, overrule, Flood,
            decisions, team, major league, exhibitions, professional baseball, interstate commerce, stare decisis, re-
            examination, season, professional sports, Sherman Act, bargaining, football, inaction, Appeals, ball, major league
            baseball, no intention"
Case 33    ,"Expediting, court of appeals, cases, antitrust case, interlocutory order, interlocutory appeal, final judgment, district
            court, appeals, injunction, antitrust, appellate jurisdiction, controlling question, decree, direct appeal, civil action,
            interlocutory, questions, legislative history, direct review, termination, provisions, orders, screening, revision"
Case 34    ,"patent, griseofulvin, bulk, district court, licensees, antitrust, bulk-form, licensing, sales, manufacture, invalid,
            antitrust violation, dosage-form, dosage, restrictions, bulk-sales, cancellation, sublicense, patentee, cases,
            violations, microsize, public interest, invention, mandatory, wholesale, leverage, courts, deceit"
