Case Index,Core Terms
Case 1,"reinsurers, boycott, primary insurer, terms, Sherman Act, regulated, insurers, domestic, coverage, claim for relief, 
McCarran-Ferguson Act, conspiracy, comity, risks, concerted, cases, claims-made, complaints, extraterritorial, 
pollution, insurance business, exemption, occurrence, changes, reinsurance contract, district court, Underwriters, 
antitrust, policies, parties"
Case 2,"commerce, interstate commerce, regulation, schools, manufacturing, cases, commercial power, guns, federal 
government, interstate, violence, matters, Skills, substantial effect, intrastate, wheat, agriculture, federal power, 
Training, limits, powers, power of congress, Resources, gun possession, deference, power to regulate, rational 
basis, violent crime, school zone, principles"
Case 3,"exemption, bargaining, antitrust, impasse, collective-bargaining, labor law, negotiations, collective bargaining, anti 
trust law, multiemployer, players, bargaining process, terms, parties, courts, nonstatutory, salaries, immunity, 
wages, anticompetitive, employees, squad, bargaining unit, policies, unilaterally, developmental, cases, antitrust 
liability, labor policy, club owner"
Case 4,"accrual, limitations period, Clayton Act, predicate act, fraudulent concealment, antitrust, discovery, silo, statute of 
limitations, cause of action, diligence, tolling, feed, courts, limitations, racketeering activity, reasonable diligence, 
equitable, accrues, cases, accrued cause of action, antitrust case, discovery rule, four year, circumstances, 
borrowing, discovers, analogy, damages, reasons"
Case 5,"vertical, maximum price, fixing, dealers, per se rule, prices, decisions, suppliers, Sherman Act, restrictions, 
gasoline, territories, antitrust, maximum, anti trust law, rule of reason, resale price, consumers, manufacturers, 
station, distributors, newspaper, monopoly, suggested retail price, restraint of trade, per se violation, minimum 
price, stare decisis, price fixing, anticompetitive"
Case 6,"telephone, competitor, per se rule, removal, anti trust law, suppliers, group boycott, cases, boycott, anticompetitive, 
manufacturers, allegations, horizontal, purchasing, antitrust, vertical, motive, buyer, firms, conspiracy, retailer, 
reasons"
Case 7,"network, incumbent, regulations, carrier, unbundled, state commission, provisions, impair, Telecommunications, 
intrastate, pricing, entrants, rates, interconnection, competitors, costs, requesting, Communications, long-distance, 
facilities, interstate, arbitration, ratesetting, commission's jurisdiction, local service, telephone, depreciation, 
negotiation, purposes, terms
* Together with AT&T Corp. et al. v. California et al. (see this Court's Rule 12.4), No. 97-829, MCI Telecommunications Corp. v. 
Iowa Utilities Board et al., MCI Telecommunications Corp. v. California et al. (see this Court's Rule 12.4), No. 97-830, 
Association for Local Telecommunications Services et al. v. Iowa Utilities Board et al., No. 97-831, Federal Communications 
Commission et al. v. Iowa Utilities Board et al., Federal Communications Commission et al. v. California et al. (see this Court's 
Rule 12.4), No. 97-1075, Ameritech Corp. et al. v. Federal Communications Commission et al., No. 97-1087, GTE Midwest Inc. 
v. Federal Communications Commission et al., No. 97-1099, U S West, Inc. v. Federal Communications Commission et al., and 
No. 97-1141, Southern New England Telephone Co. et al. v. Federal Communications Commission et al., also on certiorari to 
the same court.


Page 2 of 39"
Case 8,"advertising, restrictions, anticompetitive, court of appeals, dentists, discount, dental, misleading, effects, 
procompetitive, output, patients, customers, rule of reason, antitrust, prices, ban, across-the-board, disclosure, 
consumers, FTC Act, nonprofit, entity, price competition, market power, circumstances, abbreviated, dental 
services, anti trust law, rule-of-reason"
Case 9,"lawsuit, suits, retaliatory, unsuccessful, motive, baseless, petitioning, antitrust, courts, genuine, retaliation, anti trust 
law, enjoin, declare, Relations, sham, labor law, state court, Sherman Act, anticompetitive, employees, rights, 
antitrust immunity, right of petition, attorney's fees, false statement, unmeritorious, join, unfair labor practice, 
protected activity"
Case 10,"antitrust, FCC, incumbent, customers, orders, rivals, anti trust law, monopoly, sharing, anticompetitive, 
interconnection, long-distance, competitors, network, consent decree, allegations, regulation, facilities, Skiing, 
ticket, terms, fill, antitrust claim, authorization, damages, cases"
