Page,Core Terms
21,"antitrust, allegations, Air, government contract, municipal, immunity, relevant market, motion to strike, defendants', 
violations"
30,"suspension, cases, precautionary, antitrust, immunity, clinic, defamation claim, confidentiality, recommendation, 
privileges, tortious interference, corrective action, patients, quality of care, staff, summary judgment motion, 
moonlighting, questions, parties, defendants', damages, reasonable belief, medical staff, nurses, breach of contract 
claim, reasonable jury, charts, notice, reasonable effort, summary judgment"
57,"multiplier, superior court, lodestar, enhancement, attorney's fees, calculated, settlement agreement, face value, 
common fund, parties, common fund doctrine, class member, rates, awards, class action, risks, cases, abuse of 
discretion, lodestar figure, cy pres, factors, abused, common fund case, fee-shifting, prevailing, settlement, antitrust, 
courts, prevailing party, purchasers"
73,"Cigarettes, retail, discounts, domestic, prices, brands, consumers, reimported, selling, trademarks, additives, 
products, sales, district judge, manufacturers, antitrust, customers, wholesale price, district court, producers, 
material difference, conspiracy, discovery, abroad, market power, gray market, Lanham Act, horizontal, documents, 
dealers"
82,"payphones, franchise, install, res judicata, telecommunications, regulation, plaintiff's claim, advertising, allegations, 
recommended, providers, damages, franchise agreement, immunity, pay telephone, antitrust, motion to dismiss, 
curb line, sidewalks, statute of limitations, amended complaint, respectfully, telecommunications service, rights, 
anticompetitive, provisions, entity, private right of action, asserts, municipality"
126,"antitrust, Defendants', Sherman Act, conspiracy, fails, Otolaryngology, motions, antitrust claim, anti trust law, 
anticompetitive, geographic, allegations, motion to dismiss, relevant market, essential element, medical staff, failure 
to state a claim, motion for judgment, Pleadings, on-call, staff privileges, conclusory, monopolize, conspired"
139,"Defendants', printing, supplements, res judicata, collateral estoppel, antitrust, motion to dismiss, advertising, 
sanctions, lawsuit, allegations, newspaper, plaintiff's claim, Sherman Act, violations, Editorial, parties, legal theory, 
injunctive, monopoly"
148,"summary judgment, state actor, health system, recommendation, Defendants', antitrust, Credentials, allegations, 
privileges, motion to dismiss, staff privileges, patients, genuine issue of material fact, supplemental jurisdiction, 
Sherman Act, conspiracy, medical staff, peer review, amended complaint, private entity, affiliation, concerted action, 
district court, state action, no evidence, revocation, staff, cases, clinical privileges, sub judice"
185,"chipsets, technology, patents, license, competitor, monopolization, alleges, antitrust, amended complaint, 
manufacture, anti trust law, markets, anticompetitive conduct, terms, Sherman Act, acquisition, monopoly, 
anticompetitive, licensees, cell phone, discounts, monopoly power, foreclose, asserts, Clayton Act, commerce, 
seller, buyers, coercion, products"
209,"antitrust, cable, acquisitions, Plaintiffs', geographic, Sherman Act, swap, statute of limitations, competitors, alleges, 
monopolization, subscribers, clusters, prices, motion to dismiss, markets, transactions, anticompetitive, anti trust 
law, cable system, argues, damages, relevant market, franchise, antitrust violation, Defendants', allocations, 
horizontal, courts, merger"
232,"electrical, punitive damages, light fixture, foreseeability, summary judgment, stairwell, hazard, infliction of emotional 
distress, severe emotional distress, wanton conduct, concert, ticket, no evidence, willful, summary judgment motion, 
light most favorable, emotional distress, corporate veil, negligent act, convincing, outrageous, bifurcate, proximate, 
arrived, factors, friends, notice, plaza"
243,"ophthalmologists, optometrists, provider, managed care, facilities, surgical, panels, conspiracy, antitrust, enrollees, 
privileges, patients, seller, tied product, conspire, plans, termination, complaints, district court, economic interest, 
tying product, buyer, healthcare provider, tying arrangement, Sherman Act, products, concerted action, summary 
judgment, healthcare, monopolize"
262,"unfair methods of competition, physician-plaintiff, practices, arbitration, unfair, allegations, Participating, patients, 
reimbursement, circuit court, deceptive act, tortious interference, pleadings, prospective economic advantage, 
marks, arbitration clause, quotation, motion for judgment, dispute resolution, resources, plaintiffs', inter alia, 
consumers, parties, antitrust, exhaust, disputes, organizational, inasmuch, damages"
310,"Anesthesia, antitrust, anticompetitive, Anesthesiologists, exclusive contract, defendants', district court, summary 
judgment, anti trust law, pain management, anesthesiology, practicing, antitrust violation, starting point, conspiracy, 
injuries, chain, Sherman Act, subcontract, effects, factors, prices, cases"
320,"circuit court, tying arrangement, Anti-Trust, class action, class certification, counterclaim, subject-matter"
326,"beer and wine, retailers, policies, sales, enjoining, pending appeal, enforce a law, below-cost, prices, public interest, 
wholesalers, producers, liter, wine, irreparable harm, sale of beer, manufacturers, distributors, tier, antitrust, 
products, regular, session"
334,"caskets, funeral home, consumers, conspiracy, motion to dismiss, allegations, market power, Plaintiffs', antitrust, 
prices, group boycott, disparagement, Sherman Act, anticompetitive, manufacturers, rule of reason, horizontal, 
boycott, funeral, sales, alleged conspiracy, consolidated, overcharges, monopolize, conspired, compete, conspiracy 
to monopolize, unfair competition, standing to sue, price-fixing"
350,"technology, relevant market, software, Networks, allegations, users, interchangeable, Defendants', continuity, 
predicate act, Digital, license agreement, amended complaint, file-sharing, antitrust, rights, amend, pattern of 
racketeering activity, racketeering activity, Sherman Act, monopolization, fraudulent, consumers, right of first 
refusal, motion to dismiss, claim for relief, cross-elasticity, conspiracy, disabling"
361,"antitrust, alleges, defendants', cardiology, conspiracy, staff, patients, anticompetitive, cardiac, economic interest, 
anti trust law, competitor, lab, relevant market, catheters, practices, purposes, courts"
370,"products, antitrust, distributors, customers, competitor, allegations, vertical, manufacturer, termination, prices, 
conspiracy, geographic, conspired, motion to dismiss, relevant market, argues, rule of reason, courts, antitrust 
claim, anti trust law, antitrust violation, Sherman Act, deceptive trade practices, power transmission, unilateral, 
unfair"
