Page,Core Terms
21,"personal jurisdiction, amended complaint, Cigar, Holdings, allegations, Tobacco, trademark, contacts, reasons, 
Counts, cancellation, registration, long-arm, anti trust law, service of process, resident, Lanham Act, individual 
defendant, federal statute, venue, lack of personal jurisdiction, Clayton Act, fail to state a claim, Defendants', forum 
state, nationwide, motion to dismiss, antitrust claim, antitrust, letters"
59,"allegations, motion to dismiss, concealment, judicial notice, trustee sale, trust deed, fraudulent, negligent 
misrepresentation, leave to amend, Notice, unfair, intentional misrepresentation, quiet title, documents, recorded"
65,"egg, claim for damages, fraudulent concealment, concealment, unjust enrichment, allegations, common law, judicial 
notice, conspiracy, prices, recommendations, affirmative act, Certification, guidelines, Antitrust, logo, statute of 
limitations, tolling, animal, factual allegations, motion to dismiss, inquiry notice, scientific, material fact, Purchaser, 
parties, hens, increased price, limitations, misleading"
77,"para-aramid, market share, foreclosure, monopolization, customers, monopoly power, relevant market, relevant 
time period, summary judgment, competitor, prices, summary judgment motion, fiber, foreclosed, anticompetitive, 
discovery, contracts, courts, anti trust law, segments, volume, antitrust, barriers, contends, trade secret, 
counterclaim, deposition, non-moving, undisputed, consumers"
98,"cable, clustering, overbuilding, competitors, swap, franchise, subscribers, asserts, contractors, markets, acquisition, 
Undisputed, customers, prices, Counterparties, transactions, summary judgment, anticompetitive, genuine issue of 
material fact, cable system, antitrust, Deposition, argues, monopolization, geographic, compete, non-compete, 
providers, installation, allocate"
133,"aircraft, repair, jet, economic loss rule, monopolize, parties, deceptive, hydraulic, unfair, commerce, entity, 
misrepresentation, damages, amend, privity of contract, motion to dismiss, proprietary, antitrust, replaced, negligent 
misrepresentation, Clayton Act, conspiracy, reservoir, courts, brake"
140,"radiology, termination, exclusive contract, summary judgment, antitrust, privileges, Defendants', anticompetitive, 
notice, complaints, practices, damages, Counts, trade libel, consumer, patients, staff, whistle-blowing, tortious 
interference, civil conspiracy, anti trust law, medical staff, provider, effects, argues, ninety"
150,"cold, conspiracy, Plaintiffs', Defendants', motion to dismiss, employees, bilateral agreement, allegations, 
overarching, Cartwright Act, negotiated, mobility, antitrust, bilateral, restitution, suppress, senior executive, 
conspire, federal enclaves, antitrust claim, skilled labor, Sherman Act, salaries, federal enclave doctrine, reasonable 
inference, alleged conspiracy, eliminating, pairings, parties, injunctive"
171,"consumers, merchants, antitrust, debit card, damages, Defendants', quotation, marks, antitrust violation, anti trust 
law, overcharge, indirect, injuries, cases, district court, allegations, duplicative, foreseeable, purchaser, factors, 
courts, remote, retail, debit, suits"
181,"alleges, Mortgage, antitrust, Violations, motion to dismiss, foreclosure, cause of action, securitization, Defendants', 
conversion, monopolization, borrower, asserts, circumstances, lender, notice, anti trust law, debt collector, 
Conveyances, rescission, injunctive relief, disclosures, damages, parties, subject property, relevant market, leave to 
amend, fraudulent, Lending, amended complaint"
198,"Purchasers, conspiracy, Indirect, manufactured, products, allegations, complaints, prices, entities, alleged 
conspiracy, price-fixing, plaintiffs', affiliates, antitrust, subsidiaries, videogame, consoles, amended complaint, 
pleading stage, consolidated, Defendants', camcorders, prior dismissal, third party, co-conspirator"
210,"flash, memory, patent, alleges, technology, license, products, markets, royalty, monopolization, competitors, 
downstream, manufacture, prices, antitrust, market power, Sherman Act, barriers, monopoly, monopoly power, 
licensee, relevant market, anticompetitive, anticompetitive conduct, anti trust law, market share, conspiracy, grant-
back, sales, alleged facts"
225,"allegations, Egg, conspiracy, Entities, motion to dismiss, antitrust, participated, joined, Sherman Act, consumer 
protection, unjust enrichment, anti trust law, trade group, alleged conspiracy, meetings, Motions, state claims, 
producers, guidelines, principles, attended, factual allegations, Defendants', reduction, disposal, terms"
235,"patent, settlement, generic, infringement, monopoly, manufacturers, exclusionary, antitrust, invalid, profits, patent 
holder, parties, generic drug, expired, settlement agreement, lawsuit, pioneer, district court, competitor, new drug, 
rights, settle, holder, certification, likely to prevail, approval process, drug company, effects, patent infringement, 
time of settlement"
256,"discovery, Mayo, downstream, subpoena, purchaser, documents, indirect, absent class members, motion to 
compel, requests, parties, consolidated, Plaintiffs', purchaser's action, interrogatories, burdensome, albumin, pass-
on, courts, request information, class action, non-downstream, antitrust, agrees, unduly, cases"
264,"antitrust, joint venture, camera, parties, networking, standing to bring, allegations, concrete, summary judgment, 
pilot program, no reply, speculative, proposals"
285,"methodology, reliability, monopoly, Bingo, expert testimony, market power, scientific"
289,"class action, parens patriae, mass action, attorney general, real party in interest, consumers, general public, suits, 
federal jurisdiction, local government, parties, anti trust law, removal, federal court, state court, policyholders, 
punitive damages, diversity, legislative history, treble damages, damages, district court, state law, defendants', 
restitution, antitrust, preempted, products, civil penalty, state statute"
306,"alleges, unjust enrichment, monopolization, customers, motion to dismiss, advertising, competitor, promotion, 
business relationship, Lanham Act, antitrust, civil conspiracy, leave to amend, representations, disparagement, 
telephone, monopoly, billing, equitable accounting, antitrust claim, monopoly power, anticompetitive, 
Communications, enhanced, anticompetitive conduct, fiduciary relationship, telecommunications, circumstances, 
facilities, interfered"
324,"rentals, prices, truck, competitor, rates, damages, percent, conspire, collude, regional manager, increased price, 
district court, fix prices, consumers, increases, one-way"
334,"retailers, prices, price-fixing, products, pricing policy, damages, district judge, antitrust, consumers, luggage, 
discounting, summary judgment, vertical, statute of limitations, horizontal, full consideration, accessories, treble 
damages, combinations, manufacture, provisions, practices, rule of reason, commodity, parties, cases, district 
court, transportation, cross-appeal, contracts"
369,"notice, trust deed, modification, preliminary injunction, foreclosure, foreclosure sale, allegations, default, merits, 
declaratory relief, trustee sale, likelihood of success, accounting, recorded, Permanent, documents, modification 
agreement, cause of action, quiet title, pleaded, motion to dismiss, non-judicial, declaration, foreclose, mailed, 
offers, fails, notice of default, conclusory, enjoining"
378,"allegations, Antitrust, Distributor, deceptive, prices, motion to dismiss, good faith, Sherman Act, Counterclaim, 
undersigned, Products, unfair, fair dealing, parties"
383,"GSK, citizen's petition, generic, bioequivalence, metabolites, lawsuit, bupropion, tablet, dissolution, patent, 
baseless, requests, testing, stabilizer, profile, dose, immunity, hydrochloride, drift, infringement, sham, antitrust, 
dumping, specification, hydrochloric acid, coating, delayed, medium, manufacturer, notice"
424,"patent, loader, speed, inequitable conduct, summary judgment, patent misuse, summary judgment motion, 
counterclaims, affirmative defense, deceive, unfair competition, unclean hands, exact copy, deliberately, antitrust, 
infringer, invented"
429,"subject-matter, antitrust, proposed amended complaint, federal jurisdiction, motion to dismiss, motion for leave, 
advertisements"
433,"statute of limitations, Cards, antitrust, licensing, fail to state a claim, continuing violation, amended complaint, cause 
of action, amend"
438,"paint, Jobber, trade secret, Products, unfair, summary judgment, discontinue, contends, prices, end user, good 
faith, breached, Practices, customers, parties, genuine issue of material fact, best efforts, product line, termination, 
unfair competition, manufactured, purchasing, covenant, supplier, alleges, contractual obligation, opposing party, 
fair dealing, undisputed, announced"
449,"arbitration, arbitration agreement, class action, costs, federal statute, rights, vindicate, damages, unenforceable, 
class-action, antitrust, statutory right, en banc, enforcing, prosecute, economically feasible, arbitration costs, 
attorney's fees, substantive law, quotation, reasons, dicta, holds, arbitration clause, antitrust claim, district court, 
public policy, unconscionability, invalidate, provisions"
458,"purchaser, price-fixed, manufacturer, anti trust law, Recommended, decisions, antitrust, products, adhered, cases, 
suits, indirect, finished product, standing to sue, Clayton Act, Plaintiffs', defendants', conspiracy, overcharge, 
summary judgment motion, issue of fact, price fixing, pages"
483,"pilots, docking, tug, vessel, masters, trial court, pilotage, ship, Port, rotation, work rule, Antitrust, regulated, 
licensed, rule of reason, declaratory judgment, steamship, antitrust claim, safely, guideline, rights, towing, moor, 
member of the association, motion for judgment, membership, assigned, maritime, asserts, argues"
505,"savings, notice, motion to dismiss, disclosure, fraudulent, judicial estoppel, good faith, origination, bankruptcy 
proceedings, cause of action, fair dealing, conclusory, covenant, merits, unfair, fails, state law claim, leave to 
amend, injunction, rescission, preempted, quotation, Mortgage, omission, statute of limitations, allegations, 
estopped, MOOT, factual allegations, breach of contract"
519,"Card, website, trade dress, presat, products, sales, infringement, packaging, trademarks, customers, invoice, 
marks, terminated, domain name, Counter-claim, profits, DIAMOND, shipping, cleaning, orders, Disko, deliberately, 
appearance, conveyed, Proven, deposits, Prodeen, inventory, transferred, TECHNOLOGY"
554,"mortgage, counterclaims, equitable subrogation, quiet title, documents, alleges, unjust enrichment, material fact, 
misrepresentation, deed, summary judgment, argues, contends, lease, unconscionable, asserts, summary 
judgment motion, equitable lien, crossclaim, refinance, interest rate, own property, consumer, liens, no reasonable 
probability, equitable, damages, parties, mortgage deed, unclean hands"
576,"alleges, Sherman Act, intentional interference, leave to amend, antitrust, promissory estoppel, tentative ruling, 
parties, scales, grant a motion, price discrimination, monopolize, promise"
582,"investors, antitrust, settlement, district judge, district court, intervene, derivative suit, interlocking, shareholders"
588,"rates, filed rate doctrine, antitrust, title insurance, strand, agencies, regulating, nonjusticiability, insurers, courts, 
damages, nondiscrimination, Sherman Act, implicated, injunctive relief, leave to amend, rate-making, policies, 
shipper, meaningful review, unreasonably high, discriminatory, imminent, unfairly, approve, cases"
597,"rates, filed rate doctrine, title insurance, antitrust, district court, insurers, injunctive relief, regulations, strand, 
nonjusticiability, damages, filings, agencies, courts, bureau, costs, interstate commerce, prospective loss, Sherman 
Act, defendants', disapproved, rate-making, implicate, carriers, expenses, cases, void"
607,"NCAA, Sherman Act, athletic, Bylaws, student-athletes, anticompetitive, procompetitive, relevant market, bachelor's 
degree, plaintiffs', amateurism, football, eligibility rules, college football, regulations, cognizable, players, sports, 
district court, schools, effects, multi-year, team, motion to dismiss, labor market, preservation, quick-look, anti trust 
law, survival, markets"
627,"bid, rigging, notice, bidders, foreclosure sale, auction, trial court, Equitable, public trustee, foreclosure, court of 
appeals, void, requirement of notice, personal representative, Antitrust, actual notice, trust deed, fiduciary, 
conspiracy, parties, pool, constructive notice, interested party, authorization, foreclosing, compliance, default, deed, 
real property, moving party"
643,"generic, Purchasers, Indirect, class member, prices, brand, consumers, reimbursed, damages, methodology, class 
period, class certification, unjust enrichment, but-for, named plaintiff, antitrust, insured, monopolization, 
predominance, co-pay, drugs, class action, generic drug, overcharge, coinsurance, entities, delayed, dollar, sales, 
class-wide"
673,"Counterclaimants, products, authorized dealer, dealers, terminated, anti-trust, conspiracy, manufacturer, 
allegations, Dealership, warranty, competitors, selling, restraint of trade, eBay, motion to dismiss, adverse effect, 
practices, prices, rule of reason, Sherman Act, disparagement, distributors, consumers, seek damages, Lanham 
Act, anti-competitive, unauthorized, Counts, amplifiers"
688,"trust deed, vacant land, cause of action, foreclosure, allegations, unfair, foreclose, lender, intentional infliction of 
emotional distress, second amended complaint, sustain a demurrer, leave to amend, loan documents, unfair 
business practice, foreclosure sale, borrowed, demurrer, default, complaint alleges, condominium, outrageous, 
notice, pled"
