Page,Core Terms
21,"generic, pharmaceutical, Defendants', Mission, manufacturer, antitrust, asserts, allegations, branded, samples, 
discovery, drugs, tiopronin, motions, motion to dismiss, subject matter jurisdiction, pharmaceutical company, 
competitor, cystinuria, ingredient"
28,"airport, lease, bid, sublease, municipalities, allegations, immunity, municipal airport, competitor, anticompetitive, 
antitrust, pleadings, amended complaint, district court, antitrust claim, anti trust law, conspiracy, lawsuit, entity, 
email, space, motion to dismiss, state-action, air, settlement, regulations, taxicab, tours, entitled to immunity, factual 
allegations"
40,"discounts, alleges, distributors, paint, shops, customers, purchasing, personal jurisdiction, relevant market, up-front, 
rebates, geographic, leave to amend, body shop, smaller, seller, price discrimination, products, supplies, secret, 
fails, cause of action, Sherman Act, offering, motion to dismiss, interchangeable, competitor, selling, buyers, prices"
50,"landfill, summary judgment, bribe, Defendants', conspiracy, bribery, shutter, environmental, campaign contribution, 
conspired, executive order, emergency, campaign, competitors, cleanup, motive, prices, district court, deposition, 
circumstantial evidence, proximate cause, antitrust, tends, emergency order, antitrust case, shutdown, 
authorization, contributions, Hurricane, announced"
73,"Markets, Candidate, patients, network, health plan, geographic, percent, redirection, hospital service, drive, non-
Kaiser, enrollees, material fact, hypothetical, increased price, monopolist, hypothetical-monopolist, Knox-Keene Act, 
antitrust, rural, inpatient, providers, residents, minutes, Overview, insured, REDACTED, summary judgment, non-
Sutter, estimated"
124,"counterclaim, allegations, monopolization, antitrust, patent, unenforceability, technologies, argues, inequitable 
conduct, specific intent, Sherman Act, failure to disclose, relevant market, references, pleadings, anticompetitive 
conduct, motion to dismiss, patents-in-suit, infectious, disclose, inventor, reasonable inference, patent application, 
monopoly power, bifurcate, markets, notice, material information, misrepresentation, deceive"
136,"Purchaser, Indirect, Propane, conspiracy, state-law, en banc, allegations, Pleadings, tanks, amended complaint, 
pled, class period, quotations, subclass, statute of limitations, injunctive relief, antitrust, prices, fill, federal court, 
lack standing, supra-competitive, motion for judgment, class member, face of the complaint, alleged conspiracy, 
causal connection, motion to dismiss, violations, damages"
145,"Plaintiffs', Teachers', moot, motion to dismiss, disclosure, injunctive, contact information, affiliates, collected, subject 
matter jurisdiction, allegations, good-faith, state-law, dismissal without prejudice, refund claim, agency fee, 
declaratory, employees, supplemental jurisdiction, exclusive representation, declaratory relief, antitrust claim, cause 
of action, bargaining, implicated, antitrust, negotiate, refunding, rights"
157,"products, retailers, relevant market, market power, medications, plaintiffs', pet, manufacturers, wholesale, amended 
complaint, distributors, veterinary, allegations, quotation, merger, amend, motion to dismiss, Clayton Act, 
prescription, secondary, commerce, factual allegations, Sherman Act, parasiticides, competitors, markets, output, 
circumstantially, defendants', unmeasured"
165,"fireworks, shipping, tying arrangement, tying product, tied product, allegations, transport, motion to dismiss, 
products"
169,"forum selection clause, forum-selection, parties, misrepresentations, encompassed, district court, contractual, 
fraudulent, factors, cases, signatory, Foods, Defendants', allegations, Antitrust, venue, do business, subsidiary, 
nonparty, license"
