Page,Core Terms
21,"patent, sales, machines, marking, summary judgment, injunction, intellectual property rights, pre-filing, competitive 
injury, Manufacturing, defense motion, damages, Lanham Act, rights, false advertising, plaintiff's claim, cutting 
machine, per year, advertising, marketing, purchaser, contends, deceptive, argues, denies, summary judgment 
motion, proximately cause, matter of law, proximately, speculation"
30,"customers, office supplies, merger, Defendants', market share, vendors, toner, consumable, ink, relevant market, 
FTC, prices, bid, percent, products, effects, proposed merger, spend, concentration, targeted, cluster, compete, 
delivery, sales, space, calculations, procurement, suppliers, regional, leakage"
56,"Pool, regression, prices, Manufacturer, customer, variable, products, reliable, statistical, Econometrics, testing, unit-
of-measure, unreliable, estimated, subsets, common factor, costs, actual cost, plaintiffs', defendants', methodology, 
conspiracy, geographic, models, sales transaction, expert testimony, Overcharge, specifications, explanatory, 
missing"
69,"Capsules, citizen's petition, tablets, district court, label, somnolence, advertisement, tizanidine, literally, food, 
representations, concentration, consumer, graph, misleading, falsity, message, sham, pharmacokinetic, decisions, 
brochure, false advertising, motion to dismiss, summary judgment, amend, administered, purchasing, rights, tests, 
issue of material fact"
83,"summary judgment, chiropractors, antitrust, chiropractic, sanctioned, unreasonable restraint, district court, 
anticompetitive, competitors, conspiracy, nonmoving, patients, effects"
91,"class action, settlement, cases, consumer, Antitrust, district court, Purchaser, co-lead, plaintiffs', cable television, 
nationwide, coordinated, co-counsel, negotiated, Indirect, million settlement, class member, derivative, discovery, 
dealers, Cable, securities litigation, appointed, damages, court approved, lead counsel, credit card, certification, 
partnerships, challenging"
110,"affiliate, negotiations, broadcast, over-the-air, station, cable, Network, programming, television, renewal, FCC, 
antitrust, anticompetitive, monopolization, viewers, retransmission, expiration, deceptive, unfair, broadcasting 
station, acquiring, bargained, practices, offering, alleges, ski"
119,"conspiracy, increased price, Chocolate, Manufacturers, prices, Plaintiffs', interdependence, district court, costs, 
Purchaser, reasonable inference, summary judgment, conspired, competitors, email, antitrust, price-fixing, 
products, cases, oligopolistic, announced, markets, conspiracy evidence, initiated, purported, domestic, singles, 
cocoa, price fixing, actuation"
146,"antitrust, Banks, conspiracy, complaints, district court, price-fixing, prices, anti trust law, damages, antitrust 
violation, allegations, consumer, horizontal, anticompetitive, factors, transactions, competitors, appellants', financial 
instrument, enforcer, markets, conspirators, depress, interest rate, associations, plaintiffs', bondholder, purchasers, 
borrow, cases"
172,"weighs, state court, federal action, federal court, antitrust claim, proceedings, anti trust law, abstention, parties, 
rights"
176,"Defendants', shareholder, motion to dismiss, alleges, attorney's fees, antitrust, Realtors, cause of action, 
associations, inspection, parties, fiduciary duty, fair dealing, good faith, reasons, argues, breach of the implied 
covenant, derivative claim, listings, prevailing party, documents, deprived, courts, merger, membership, feed, 
minority shareholder, original complaint, judicial notice, anti trust law"
190,"Defendants', class member, job title, employees, Plaintiffs', conspiracy, predominate, Reply, email, High-Tech, 
documentary evidence, recruiting, antitrust, fraudulent concealment, class certification, animation, classwide, 
suppressed, anti-solicitation, salary, cold, analyses, damages, alleged conspiracy, proposed class, effects, studios, 
class action, meetings, argues"
233,"provider, antitrust, allegations, network, pharmacy, patients, medications, no cause of action, cause of action, 
relevant market, specialty, conspiracy, antitrust claim, no right, restraint of trade, health plan, trial court, consumers, 
anti trust law, monopoly power, monopolize, declaratory judgment, rule of reason, reimbursement, regulations, 
geographic, asserts, managed care, interchangeability, prescription"
247,"termination, distributor, declaratory judgment, discovery, declaratory, subject matter jurisdiction, actual controversy, 
antitrust, terms, alleges, antitrust claim, cases, declarations, disputes, damages, justiciable controversy, coercive, 
notified, select, waived, state court, post-Complaint, transition, invoking, lawsuits"
256,"fight, defendants', plaintiffs', accrual, damages, notice, statute of limitations, night, sizzle, motion to dismiss, court of 
appeals, notice-of-claim, punitive damages, predicate act, discovery, film, federal court, lawsuit, immune, partial 
summary judgment, limitations period, government agency, summary judgment, television show, television, 
violations, proximate, injuries, producer, boxing"
271,"appraisal, unconscionable, borrower, lender, estimated value, Loans, class member, Plaintiffs', inducement, 
estimate, class action, predominate, target, unconscionable conduct, courts, class certification, questions, 
damages, concealment, defendants', inflated, Consumer, mortgage, statute of limitations, certification, allegations, 
certify, refinancing, fraudulent, summary judgment"
297,"trial court, motion to dismiss, interlocutory appeal, ratings, parties, lawsuit, operation of law, membership, 
advertising, res judicata, deadline, collateral estoppel, interlocutory order, amended petition, alleges, pleadings, 
grant a motion, consumer, final judgment, logo, contends, moot, appellate jurisdiction, plenary power, interlocutory, 
complaints, merits, conspiracy, monopolize, adduced"
325,"allegations, policies, filed rate doctrine, security agreement, motion to dismiss, backdating, borrower, kickback, 
deny a motion, Loans, accounting, grant a motion, leave to amend, Lender, consumer, premiums, parties, courts, 
Reply, unjust enrichment, cause of action, good faith, fair dealing, challenges, inaccurate, disputed, promise, 
modification, properties, violations"
351,"shepherds, conspiracy, wages, enterprise, allegations, Rancher, minimum wage, hiring, orders, Plaintiffs', 
associations, infer, Defendants', domestic, ranches, floor, recruiting, association-in-fact, motive, communications, 
agricultural, membership, cases, trade association, circumstantial, independent action, conclusory, conspire, Visa, 
motion to dismiss"
374,"zinc, warehouses, plaintiffs', allegations, Premium, monopolization, monopoly power, metal, geographic, prices, 
defendants', anticompetitive, monopoly, relevant market, antitrust, warehousing, load-out, acquisition, direct 
evidence, merger, affiliates, queues, market share, delivery, market power, manipulate, selling, anticompetitive 
conduct, conspiracy, compete"
399,"counterfeit, infringement, plaintiffs', affirmative defense, notice, misuse, defendants', trademark, titles, defenses, 
summary judgment, innocent, sales, settlement agreement, appended, copies, laches, no evidence, discovery, 
copyright infringement, unclean hands, fair use, distributed, summary judgment motion, first sale, quotation, marks, 
statute of limitations, first sale doctrine, three year"
413,"Healthcare, provider, alleges, conspiracy, monopolization, alleged conspiracy, antitrust, in-network, patients, rates, 
healthcare services, no allegation, argues, network, business relationship, entities, Sherman Act, tortious 
interference, interfered, conspire, plaintiff's claim, anticompetitive, competitors, marketplace, responds, allegation of 
the complaint, healthcare provider, reimbursement rate, motion to dismiss, health insurance"
423,"allegations, Exhibits, unlicensed, contractor, unfair business practice, contractor's license, Demurrer, Notice"
427,"Architectural, Plaintiffs', Paint, titanium dioxide, allegations, Defendants', motion to dismiss, prior order, antitrust, 
products, Coatings, factors, consumer, overcharges, limitations period, named plaintiff, alleged facts, price-fixing, 
prices, give rise, purchaser, tracing, linked, manufacturers, inextricably, quotation, indirect, marks, statute of 
limitations, reasonable inference"
436,"License, customers, software, monopolization, self-storage, allegations, counterclaims, market power, competitors, 
antitrust claim, antitrust, platform, relevant market, users, motion to dismiss, terminate, licensee, restraint of trade, 
tying arrangement, monopoly power, market share, compete, offers, anticompetitive, provider, pricing, terms, 
anticipatory repudiation, factual allegations, owner and operator"
454,"Manufacturer, contact lens, retailers, conspiracy, vertical, allegations, antitrust, Plaintiffs', Defendants', horizontal, 
consumer, prices, Discount, patients, prescribe, products, cause of action, Sherman Act, sales, disposable, lenses, 
restraint of trade, distributors, dealers, motion to dismiss, competitors, unfair, toy, violations, factual allegations"
507,"generic, manufacturers, patent, drugs, Sherman Act, competitors, antitrust, allegations, launch, pharmaceutical, 
compliance, audits, Plaintiffs', prices, monopoly power, regulations, anti trust law, final approval, generic drug, 
Defendants', enterprise, deadline, brand, tentative approval, innovator, marketing, products, delayed, cases, filer"
542,"license, edicine, trademark, alleges, public health, official capacity, medical practice, regulation, Lanham Act, 
Investigations, sovereign immunity, medicine, rights, qualified immunity, profession, deprived, pro se, quotation, 
preempts, Dormant, asserts, summons, district court, state official, immunity, individual capacity, injunctive relief, 
motion to dismiss, police power, Sherman Act"
563,"extraterritorial, predicates, domestic, enterprise, racketeering, abroad, injuries, pattern of racketeering activity, 
private right of action, prohibitions, violations, foreign country, extraterritorial effect, courts, cause of action, Clayton 
Act, racketeering activity, clear indication, occurring, offenses, anti trust law, injured person, organizations, suits, 
private plaintiff, district court, suffer injury, limitations, cigarette, sovereign"
600,"prices, class member, class certification, damages, anti-competitive, class-wide, regression, predominate, 
defendants', conspiracy, antitrust, purchaser, sheet metal, documents, aftermarket, negotiated, questions, 
artificially, overcharge, parties, tooling, seal, defenses, motions, customers, estimate, factors, proven, authenticity, 
benchmark"
614,"retailers, labs, photochromic, casters, lenses, sales, argues, terminated, foreclosed, contracts, antitrust, summary 
judgment, anticompetitive, delamination, prices, customers, declaration, foreclosure, harmed, exclusive agreement, 
manufacture, products, consumers, discounts, channel, plastic, material fact, competitors, parties, reasons"
630,"servicer, borrower, Plaintiffs', recorded, notice, motion to dismiss, alleges, cause of action, modification, 
foreclosure, void, Regulation, documents, argues, cancellation, trust deed, fails, Substitution, instruments, quiet 
title, trustee sale, fail to provide, unfair, prong, subject property, violations, request for information, request 
information, declaratory relief, district court"
665,"Pool, prices, barriers, monopolization, distributors, Products, vendors, geographic, sales, Manufacturer, market 
share, customer, summary judgment, probability, rivals, region, relevant market, monopoly power, dealers, costs, 
antitrust, buyers, competitor, achieving, state-law, conspiracies, defendants', monopoly, firms, transportation costs"
