Page,Label,Text
12,," Karas, and Elizabeth H. Watts and Marc B. Bandman, 
Assistant Attorneys General, James H. Evans, Attorney 
General of Alabama, and Marc Givhan, Assistant Attorney 
General, Charles E. Cole, Attorney General of Alaska, and 
James Forbes, Assistant Attorney General, Grant Woods, 
Attorney General of Arizona, and Jeri K. Auther, Assistant 
Attorney General, Winston Bryant, Attorney General of 
Arkansas, and Royce Griffin, Deputy Attorney General, Daniel 
E. Lungren, Attorney General of California, Roderick E. 
Walston, Chief Assistant Attorney General, Sanford N. 
Gruskin, Assistant Attorney General, and Kathleen E. Foote, 
Deputy Attorney General, Richard Blumenthal, Attorney 
General of Connecticut, and Robert M. Langer, Assistant 
Attorney General, Robert A. Butterworth, Attorney General of 
Florida, and Jerome W. Hoffman, Assistant Attorney General, 
Warren Price III, Attorney General of Hawaii, Robert A. Marks, 
Supervising Deputy Attorney General, and Ted Clause, 
Deputy Attorney General, Larry EchoHawk, Attorney General 
of Idaho, Roland W. Burris, Attorney General of Illinois, 
Rosalyn Kaplan, Solicitor General, and Christine Rosso, 
Senior Assistant Attorney General, Bonnie J. Campbell, 
Attorney General of Iowa, and John R. Perkins, Deputy 
Attorney General, Robert T. Stephan, Attorney General of 
Kansas, and Mary Ann Heckman, Assistant Attorney General, 
Frederic J. Cowan, Attorney General of Kentucky, and James 
M. Ringo, Assistant Attorney General, William J. Guste, Jr., 
Attorney General of Louisiana, and Anne F. Benoit, Assistant 
Attorney General, Michael E. Carpenter, Attorney General of 
Maine, and Stephen L. Wessler, Deputy Attorney General, J. 
Joseph Curran, Jr., Attorney General of Maryland, and Robert 
N. McDonald and Ellen S. Cooper, Assistant Attorneys 
General, 
Scott 
Harshbarger, 
Attorney 
General 
of 
Massachusetts, and George K. Weber, Assistant Attorney 
General, Frank J. Kelley, Attorney General of Michigan, 
Hubert H. Humphrey III, Attorney General of Minnesota, 
Thomas F. Pursell, Deputy Attorney General, and James P. 
Spencer and Susan C. Gretz, Special Assistant Attorneys 
General, Frankie Sue Del Pappa, Attorney General of Nevada, 
and Rob Kirkman, Deputy Attorney General, Robert J. Del 
Tufo, Attorney General of New Jersey, and Laurel A. Price, 
Deputy Attorney General, Robert Abrams, Attorney General of 
New York, O. Peter Sherwood, Solicitor General, and George 
W. Sampson, Assistant Attorney General, Lacy H. Thornburg, 
Attorney General of North Carolina, James C. Gulick, Special 
Deputy Attorney General, and K. D. Sturgis, Assistant Attorney 
General, Dan Morales, Attorney General of Texas, Will Pryor, 
First Assistant Attorney General, Mary F. Keller, Deputy 
Attorney General, and Mark Tobey, Assistant Attorney 
General, R. Paul Van Dam, Attorney General of Utah, and 
Arthur M. Strong, Assistant Attorney General, Jeffrey L. 
Amestoy, Attorney General of Vermont, and Geoff Yudien, 
Assistant Attorney General, Kenneth O. Eikenberry, Attorney 
General of Washington, and Carol A. Smith, Assistant 
Attorney General, and Mario J. Palumbo, Attorney General of 
West Virginia, and Donna S. Quesenberry, Assistant Attorney 
General; 
for 
the 
Automotive 
Warehouse 
Distributors 
"
12,*," Briefs of amici curiae urging reversal were filed for the 
Computer 
and 
Business 
Equipment 
Manufacturers 
Association by Simon Lazarus III; for Digital Equipment Corp. 
et al. by Kurt W. Melchior, Robert A. Skitol, James A. Meyers, 
Marcia Howe Adams, Ivor Cary Armistead III, Ronald A. Stern, 
Stephen Wasinger, James W. Olson, Carter G. Phillips, Ralph 
I. Miller, and Florinda J. Iascone; for the Motor Vehicle 
Manufacturers Association of the United States, Inc., by 
Thomas B. Leary, William H. Crabtree, and Charles H. 
Lockwood II; and for the National Electrical Manufacturers 
Association by James S. Dittmar and James L. Messenger. Briefs of amici curiae urging affirmance were filed for the State 
of Ohio et al. by Lee Fisher, Attorney General of Ohio, Simon 
"
13,," Association et al. by Donald A. Randall, Louis R. Marchese, 
Robert J. Verdisco, and Basil J. Mezines; for Bell Atlantic 
Business Systems Services, Inc., by Richard G. Taranto, Joel 
I. Klein, and John M. Kelleher; for Grumman Corporation by 
Patrick O. Killian; for the National Association of State 
Purchasing Officials et al. by Richard D. Monkman; for the 
National Office Machine Dealers Association et al. by Mark P. 
Cohen; for the National Retail Federation by Michael J. Altier; 
for Public Citizen by Alan B. Morrison; for State Farm Mutual 
Automobile Insurance Co. et al. by Melvin Spaeth, James F. 
Fitzpatrick, and Melvin C. Garbow.
 Briefs of amici curiae were filed for the California State 
Electronics Association et al. by Richard I. Fine; for Computer 
Service Network International by Ronald S. Katz; and for the 
National Electronics Sales and Service Dealers Association by 
Ronald S. Katz.
"
13,1," Kodak's micrographic equipment includes four different 
product areas. The first is capture products such as 
microfilmers and electronic scanners, which compact an 
image and capture it on microfilm. The second is equipment 
such as microfilm viewers and viewer/printers. This equipment 
is used to retrieve the images. The third is Computer Output 
Microform (COM) recorders, which are data-processing 
peripherals 
that 
record 
computer-generated 
data 
onto 
microfilm. The fourth is Computer Assisted Retrieval (CAR) 
systems, which utilize computers to locate and retrieve 
micrographic images. See App. 156-158."
14,3," Section 1 of the Sherman Act states in relevant part: ""Every 
contract, combination in the form of trust or otherwise, or 
conspiracy, in restraint of trade or commerce among the 
several States, or with foreign nations, is declared to be 
illegal."" 15 U. S. C. § 1 (1988 ed., Supp. II). Section 2 of the Sherman Act states: ""Every person who shall 
monopolize, or attempt to monopolize, or combine or conspire 
with any other person or persons, to monopolize any part of 
the trade or commerce among the several States, or with 
foreign nations, shall be deemed guilty of a felony, and, on 
conviction thereof, shall be punished by fine not exceeding $ 
10,000,000 if a corporation, or, if any other person, $ 350,000, 
or by imprisonment not exceeding three years, or by both said 
punishments, in the discretion of the court."" 15 U. S. C. § 2 
"
14,2," In addition to the OEM's, other sources of Kodak parts 
include (1) brokers who would buy parts from Kodak, or strip 
used Kodak equipment to obtain the useful parts and resell 
them, (2) customers who buy parts from Kodak and make 
them available to ISO's, and (3) used equipment to be stripped 
for parts. See id., at 419, 517; Brief for Petitioner 38."
15,," (1988 ed., Supp. II).
"
15,4," Specifically, the Court of Appeals explained that the District 
Court had denied the request for further discovery made by 
respondents in their opposition to Kodak's summary judgment 
motion: ""For example, [respondents] requested to depose two"
15,," ISO customers who allegedly would not sign accurate 
statements concerning Kodak's market power in the parts 
market. Not finding it necessary to reach the market power 
issue in its decision, the district court, of course, had no 
reason to grant this request."" 903 F.2d at 617, n. 4.
"
16,7," LEdHN[7B][
] [7B] The dissent suggests that parts and service are not separate 
products for tying purposes because all service may involve 
installation of parts. Post, at 494-495, n. 2. Because the record 
does not support this factual assertion, under the approach of 
both the Court and the concurrence in Jefferson Parish 
Hospital Dist. No. 2 v. Hyde, 466 U.S. 2, 80 L. Ed. 2d 2, 104 S. 
Ct. 1551 (1984), Kodak is not entitled to summary judgment 
on whether parts and service are distinct markets.
"
