頁碼,內容類型,內容
27,Judges,"Judges: Sobeloff, Bryan and Butzner, Circuit Judges."
27,Opinion by,Opinion by: SOBELOFF
39,Judges,"Judges:  [**1]   Lord, Jr., Ch. J."
39,Opinion by,"Opinion by: LORD, JR."
48,Counsel,"Counsel:  Engelman, Kiernan & Fishman  for plaintiff.   Bleakley, Platt, Schmidt, Hart & Fritz  for defendant."
48,Opinion by,"Opinion by: JOSEPH F. GAGLIARDI, J."
59,Judges,"Judges:  [**1]  Merrill, Browning and Duniway, Circuit Judges."
59,Opinion by,Opinion by: DUNIWAY
76,Judges,"Judges:  [**1]  Leddy, District Judge."
76,Opinion by,Opinion by: LEDDY
89,Judges,"Judges: Tamm, Leventhal and Robb, Circuit Judges."
89,Opinion by,Opinion by: TAMM
104,Judges,"Judges: McGowan, Tamm and Robinson, Circuit Judges."
104,Opinion by,Opinion by: TAMM
119,Judges,"Judges:  [**1]  Pence, D.J."
119,Opinion by,Opinion by: PENCE
139,Judges,"Judges: Hamlin, Browning and Carter, Circuit Judges."
139,Opinion by,Opinion by: CARTER
156,Counsel,"Counsel:  [**1]  John J. McAleese, Jr., Synnestvedt & Lechner, Philadelphia, Pennsylvania, Erwin C. Heininger, 
Mayer, Friedlich, Spiess, Tierney, Brown & Platt, Chicago, Illinois, Roy E. Hofer, Hume, Clement, Hume & Lee, 
Chicago, Illinois, for plaintiffs.
Henry N. Paul, Jr., Frank J. Benasutti, Paul & Paul, Philadelphia, Pennsylvania, Nathan Lavine, Adelman & Lavine, 
Philadelphia, Pennsylvania, for defendant."
157,Judges,"Judges: Hannum, District Judge."
157,Opinion by,Opinion by: HANNUM
166,Judges,"Judges:  [**1]  Mansfield, D.J."
166,Opinion by,Opinion by: MANSFIELD
192,Judges,"Judges:  [**1]  Neville, D.J."
192,Opinion by,Opinion by: NEVILLE
200,Judges,"Judges:  [**1]  Cancio, District Judge."
200,Opinion by,Opinion by: CANCIO
210,Opinion by,Opinion by:  [*1]  JAMESON
224,Judges,"Judges: Bazelon, Chief Judge, Wilbur K. Miller, Senior Circuit Judge, Wright, McGowan, Tamm, Leventhal, 
Robinson, MacKinnon and Robb, Circuit Judges.  McGwan, Circuit Judge (concurring).  Leventhal, Circuit Judge, 
with whom circuit Judge wright and Robinson join, concurring.  Bazelon, Chief Judge (concurring in part and 
dissenting in part)."
225,Opinion by,Opinion by: TAMM
257,Judges,"Judges: Aldrich, Chief Judge, McEntee and Coffin, Circuit Judges."
257,Opinion by,Opinion by: COFFIN
284,Judges,"Judges:  [**1]   Wright, Chief Judge."
284,Opinion by,Opinion by: WRIGHT
295,Judges,"Judges:  [**1]  Dumbauld, J."
295,Opinion by,Opinion by: DUMBAULD
304,Judges,"Judges:  [**1]  Cooper, D. J."
304,Opinion by,Opinion by: COOPER
312,Judges,"Judges:  Brown, Chief Judge, Godbold, Circuit Judge, and Cabot, District Judge."
312,Opinion by,Opinion by: BROWN
