頁碼 ,內容類型   ,內容
  19 ,Counsel    ,"Counsel: Duane Woodard, Attorney General, Charles B. Howe, Chief Deputy Attorney General, Richard Forman,
                  Solicitor General, Thomas P. McMahon, Assistant Attorney General, Denver, Colorado; Attorneys for Plaintiff-
                  Appellee.
                  Darrell D. Thomas, Colorado Springs, Colorado; Gorsuch, Kirgis, Campbell, Walker and Grover, John L. Ferguson,
                  Denver, Colorado; Attorneys for Defendant-Appellant.
                  John R. Linton, Robert D. Butters, Chicago, Illinois, Attorneys for Amicus Curiae National Association of Realtors."
  19 ,Judges     ,Judges: En Banc.  Justice Kirshbaum.
  19 ,Opinion by ,Opinion by: KIRSHBAUM
  32 ,Counsel    ,"Counsel: Keith J. Roland, Albany, New York (Emilio A.F. Petroccione, Roland & Fogel, Albany, New York, of
                  Counsel), for Plaintiffs-Appellants.
                  Walter C. Reid, New York, New York (John M. Clarke, Gerald E. Murray, New York, New York, of Counsel), for
                  Defendant-Appellee."
  32 ,Judges     ,"Judges: Kaufman, Meskill and Pierce, Circuit Judges. Pierce, Circuit Judge, dissenting."
  32 ,Opinion by ,Opinion by: MESKILL
  52 ,Counsel    ,"Counsel: Erwin C. Heininger, Mayer, Brown & Platt, Chicago, Illinois, for Plaintiff.
                  752 F.2d 261, *261; 1984 U.S. App. LEXIS 15781, **1; 224 U.S.P.Q. (BNA) 756, ***756
                  
                  
                  J. D. Fleming, Sutherland, Asbill & Brennan, Atlanta, Georgia, for Defendant."
  52 ,Judges     ,"Judges: Wood and Posner, Circuit Judges, and Campbell, Senior District Judge. *"
  52 ,Opinion by ,Opinion by: POSNER
  64 ,Counsel    ,"Counsel:  [**1]  Robert M. Beckman, David M. Kirstein, Beckman & Kirstein, and William H. Barrett, Carl W.
                  Schwarz, Metzger, Shadyac & Schwarz, Washington, District of Columbia, for Plaintiffs Laker Airways Limited.
                  Douglas E. Rosenthal, Willard K. Tom, John R. Munich, Stephen Yale-Loehr, Karen L. Grimm, Sutherland, Asbill &
                  Brennan, and Leonard N. Bebchick, Washington, District of Columbia, for British Caledonian Airways Limited.
                  Sidney S. Rosdeitcher, Todd D. Stern, Peter Buscemi, Paul, Weiss, Rifkind, Wharton & Garrison, Washington,
                  District of Columbia, and William C. Clarke, Barrett, Smith, Schapiro, Simon & Armstrong, New York, New York, for
                  British Airways Board."
