Page,Label,Text
9,2," 181 U. S. App. D. C. 41, 555 F.2d 978 (1977). When the 
District Court's original judgment was entered, petitioner was 
entitled to appeal directly to this Court.  We vacated the 
District Court's judgment for reconsideration in the light of our 
then recent decision in Goldfarb v. Virginia State Bar, 421 U.S. 
773. 422 U.S. 1031. After reconsideration, the District Court 
re-entered its original judgment, 404 F.Supp. 457 (DC 1975), 
and petitioner then appealed to the Court of Appeals."
9,1, 389 F.Supp. 1193 (DC 1974).
10,3," That section, which remained in effect at the time of trial, 
provided: ""Section 11 -- The Engineer will not compete unfairly with 
another engineer by attempting to obtain employment or 
advancement or professional engagements by competitive 
bidding . . . .
 ""c.  He shall not solicit or submit engineering proposals on the 
basis of competitive bidding. Competitive bidding for 
professional engineering services is defined as the formal or 
informal submission, or receipt, of verbal or written estimates 
of cost or proposals in terms of dollars, man days of work 
required, percentage of construction cost, or any other 
measure of compensation whereby the prospective client may 
compare engineering services on a price basis prior to the 
time that one engineer, or one engineering organization, has 
been 
selected 
for 
negotiations. 
The 
disclosure 
of 
recommended fee schedules prepared by various engineering 
societies is not considered to constitute competitive bidding. 
An Engineer requested to submit a fee proposal or bid prior to 
the selection of an engineer or firm subject to the negotiation 
of a satisfactory contract, shall attempt to have the procedure 
changed to conform to ethical practices, but if not successful 
he shall withdraw from consideration for the proposed work.  
These principles shall be applied by the Engineer in obtaining 
the services of other professions."" App. 9951.
"
10,4," 389 F.Supp., at 1206. In addition to § 11 (c) of the Society's 
Code of Ethics, see n. 3, supra, the Society's Board of 
Directors 
has 
adopted 
various 
""Professional 
Policy"" 
statements.  Policy statement 10-F was issued to ""make it 
clear beyond all doubt"" that the Society opposed competitive 
bidding for all engineering projects.  389 F.Supp., at 1206. 
This policy statement was replaced in 1972 by Policy 10-G 
which permits price quotations for certain types of engineering 
work -- in particular, research and development projects."
10,5," Although the Society argues that it has never ""enforced"" its 
ban on competitive bidding, Reply Brief for Petitioner 15-18, 
the District Court specifically found that the record ""[supports] 
a finding that NSPE and its members actively pursue a course 
of policing adherence to the competitive bid ban through direct 
and indirect communication with members and prospective 
clients."" 389 F.Supp., at 1200. This finding has not been 
challenged as clearly erroneous."
10,6," Having been selected, the engineer may then, in accordance 
with the Society's canons of ethics, negotiate a satisfactory fee 
arrangement with the client.  If the negotiations are 
unsuccessful, then the client may withdraw his selection and 
approach a new engineer. Id., at 1215."
11,7," The entire defense pleaded in the answer reads as follows: ""18.  (a) The principles and standards contained in the NSPE 
Code of Ethics, particularly those contained in that part of the 
NSPE Code of Ethics set out above, are reasonable, 
necessary to the public health, safety and welfare insofar as 
they are affected by the work of professional engineers, and 
serve the the public interest.
 ""(b) Experience has demonstrated that competitive bidding for 
professional engineering services is inconsistent with securing 
for the recipients of such services the most economical 
projects or structures.  Testing, calculating and designing the 
most economical and efficient structures and methods of 
construction is complex, difficult and expensive.  It is cheaper 
and easier to design and specify inefficient and unnecessarily 
expensive 
structures 
and 
methods 
of 
construction.  
Consequently, if professional engineers are required by 
competitive pressures to submit bids in order to obtain 
employment of their services, the inevitable tendency will be to 
offer professional engineering services at the lowest possible 
price.  Although this may result in some lowering of the cost of 
professional engineering services it will inevitably result in 
increasing the overall cost and decreasing the efficiency of 
those structures and projects which require professional 
engineering design and specification work.
 ""(c) Experience has also demonstrated that competitive 
bidding in most instances and situations results in an award of 
the work to be performed to the lowest bidder, regardless of 
other factors such as ability, experience, expertise, skill, 
capability, learning and the like, and that such awards in the 
case of professional engineers endanger the public health, 
welfare and safety.
 ""(d) For the aforesaid reasons, the provisions of the NSPE 
Code of Ethics set out above are not, in any event, in 
unreasonable restraint of interstate trade or commerce."" App. 
21-22.
"
11,8," The Court of Appeals struck down the portion of the District 
Court's decree that ordered the Society to state that it did not 
consider competitive bidding to be unethical.  181 U. S. App. 
D. C., at 47, 555 F.2d, at 984. The court reasoned that this 
provision was ""more intrusive than necessary to achieve 
fulfillment of the governmental interest."" Ibid.  The Government 
has not petitioned for review of that decision."
12,9," Section 1 of the Sherman Act, as set forth in 15 U. S. C. § 1 
(1976 ed.), provides: HN2[
] ""Every contract, combination in the form of trust or 
otherwise, or conspiracy, in restraint of trade or commerce 
among the several States, or with foreign nations, is declared 
to be illegal. . . .""
"
12,10,"   LEdHN[2B][
] [2B]""But the legality of an agreement or 
regulation cannot be determined by so simple a test, as 
whether it restrains competition.  Every agreement concerning 
trade, every regulation of trade, restrains. To bind, to restrain, 
is of their very essence."" Chicago Board of Trade v. United 
States, 246 U.S. 231, 238.
 See also United States v. Topco Associates, 405 U.S. 596, 
606:
 ""Were § 1 to be read in the narrowest possible way, any 
commercial contract could be deemed to violate it.""
"
