Case Index,Core Terms
Case 1,"consumers, aftermarket, district court, market power, contracts, alleges, submarket, contractual, lease, relevant 
market, customers, antitrust, copier, franchisees, flex, declaratory, factual question, derivative, lease-end, 
replacement, cognizable, Pizza, contract provision, service contract, monopolization, advertising, monopoly, 
markets, brand, Lanham Act"
Case 2,"prejudgment interest, reflects, bombing, trebled, pain and suffering, award damages, plane, entitled to damages, 
statutory mandate, domiciled, intentional infliction of emotional distress, Flight, remembers, lives, recalls, loved, 
missing, daughter, attended, killed, passengers, traveled, plans, feels, memorial service, us citizen, memory, dad, 
grew, take care"
Case 3,"privileges, patients, admitting, medical staff, bylaws, maxillofacial, surgeons, surgery, Credentials, specialty, 
recommendation, training, Allied, executive committee, Sherman Act, oral surgeon, medical staff bylaws, 
temporary, medical center, conspiracy, providers, deposition, elective, health professional, consultation, restrictions, 
alleges, staff, antitrust, clinical privileges"
Case 4,"damages, treble damages, antitrust, willful, multiple damages, plans, punitive damages, self-funded, remittitur, 
pretrial statement, malpractice, demand letter, customers, duration, independent liability, exclusive agreement, anti 
trust law, bad faith, ratification, opted, manufacturers, competitors, violations, insurance company, motion to 
dismiss, matter of law, grant relief, jury award, settlement, purchaser"
Case 5,"barriers, prima facie case, tank, acquisition, entrants, rebut, bid, markets, customers, anti-competitive, post-
acquisition, effects, merger, substantial evidence, reputation, constrain, concentration, competitors, prices, burden 
of production, rebuttal evidence, argues, manipulation, firms, relevant market, legal standard, conditions, statistics, 
buyers, Clayton Act"
Case 6,"plaintiffs', antitrust, allegations, defendants', consumers, factors, consumer protection, revised, second amended 
complaint, motion to dismiss, cases, markets, cross-elasticity, unjust enrichment, interchangeability, consumer-
oriented, inextricably, conspiracy, claim for relief, purchaser, competitor, restrained, named plaintiff, leave to 
amend, indirect, parties, linked, relevant market, anti trust law, grounds"
Case 7,"containers, sharps, distributors, contracts, purchasers, end user, products, class member, foreclosure, rivals, 
manufacturers, reusable, exclusionary, foreclosed, market share, prices, antitrust, negotiate, predominate, 
classwide, bundling, rebates, proposed class, anticompetitive, disposable, fundamental conflict, class certification, 
subclasses, argues, Reply"
Case 8,"Microsoft, final judgment, provisions, documentation, decree, consent decree, parties, Expiring, operating system, 
Middleware, licensees, compliance, server, Settling, license, protocols, software, modification, Communications, 
modify, non-Microsoft, negotiated, five year, browser, motions, antitrust, Litigating, status conference, Tunney Act, 
obligations"
Case 9,"summary judgment, Sherman Act, discovery, monopolize, Cargo, conspiracy, antitrust, sublease, Charter, lease, 
Defendants', default, ground-handling, conspiring, facilities, airlines, alleges"
Case 10,"radiology, competitor, amended complaint, Sherman Act, horizontal, anti trust law, allegations, group boycott, 
antitrust, conspired, per se violation, termination, conspiracy, vertical, relevant market, rule of reason"
Case 11,"discounts, bundled, prices, products, costs, secondary, insurers, rival, anticompetitive, monopolization, district 
court, competitor, antitrust, exclusionary, predatory, producer, tertiary, coercion, variable, seller, anti trust law, 
package, cases, purchasing, rebates, preferred provider, consumer, vacate, Sherman Act, practices"
