Case Index ,Core Terms
Case 1     ,"monopolization, Plaintiffs', Defendants', rugs, conspiracy, importer, trade show, summary judgment motion,
            monopoly power, tortious interference, Carpet, exporters, retailers, manufacturers, wholesaler, boycott, conspiracy
            to monopolize, government action, concerted action, anticompetitive, minutes, attend, Promotion, antitrust, letters,
            membership, meetings, oriental, summary judgment, petitioning"
Case 2     ,"restructuring, Senior, preliminary injunction, acquisition, bank debt, restructuring plan, insolvency, holders, senior
            debt, no evidence, debt-holders, Products, injunction, transactions, investors, auction, Banks, monopolize,
            decisions, liquidity, commerce, merger, Loans, funds, anti-competitive, block, owns, confidentiality agreement,
            confidential information, epoxy resin"
Case 3     ,"prospective economic advantage, intentional interference, remote, disgorgement, restitution, indirect, interfere,
            profits, damages, specific intent, expectancy, wrongful act, unfair competition, economic relations, courts, intent
            requirement, derivative, disruption, alleges, court of appeals, customers, tort of interference, defendant's conduct,
            interfering, principles, injuries, dictum, cases, third party, italics"
Case 4     ,"hemihydrate, patent, anhydrate, infringement, paroxetine, seeds, manufacture, polymorph, mixture, percent,
            conversion, hydrochloride, molecules, tests, crystalline, samples, detection, batch, pills, plant, spectrum, expired,
            generic, injunction, bulk, patentee, invalid, tablets, producing, convert"
Case 5     ,"Trucks, dealership, dealer, Finance, antitrust, shareholder, motion to dismiss, injuries, securities exchange, district
            court, invested, investment contract, automobile dealer, corporate entity, state law claim, motor company, Clayton
            Act, bankrupt, damages, verbal, failure to state a claim, special circumstance, Partnership, promises, alleges"
Case 6     ,"partitions, toilet, advertisements, Lanham Act, literally, immunity, compartments, rating, conspiracy, material fact,
            smoke, videotape, products, flame, video, manufacturers, competitors, contends, Sherman Act, spread,
            specifications, argues, anticompetitive, customers, testing, limitations period, asserts, damages, Catalog, summary
            judgment"
Case 7     ,"associations, subscribers, prices, support services, database, shareholders', price fixing, consumers, costs, district
            court, competitors, single entity, monopolize, service center, anticompetitive, inflated, countywide, anti trust law,
            
            
            Page 2 of 23
            
            joint venture, supracompetitive, plaintiffs', conspiracy, antitrust, pays, interstate commerce, discovery, conspire,
            immune, firms, real estate agent"
Case 8     ,"associations, subscribers, support services, prices, database, shareholders', price fixing, consumers, costs,
            competitors, district court, single entity, monopolize, service center, anticompetitive, inflated, countywide, interstate
            commerce, anti trust law, joint venture, supracompetitive, plaintiffs', conspiracy, antitrust, pays, provide support,
            discovery, conspire, immune, firms"
Case 9     ,"subject matter jurisdiction, commerce, district court, federal court, antitrust, cases, import, anti trust law, courts,
            merits, subject-matter, domestic, parties, effects, reasonably foreseeable, state court, interstate commerce, foreign
            commerce, foreign nation, court of appeals, anticompetitive, prescriptive, lack of subject matter jurisdiction, antitrust
            case, limitations, competence, decisions, export, motion to dismiss, summary judgment"
Case 10    ,"advertising, mailings, district court, tortious interference, grant summary judgment, summary judgment, de minimis,
            misleading, Lanham Act, monopolization, antitrust, unethical, challenged statement, monopoly power, Sherman Act,
            counter, letters"
Case 11    ,"municipality, airport, immunity, municipal airport, state action, parking, parking facility, antitrust statute, anti-
            competitive, restraint of trade, federal doctrine, antitrust liability, anti trust law, authorizes, regulation, sovereign,
            effects, powers, trial court, fix a rate, Oklahoma Antitrust Reform Act, principles, doctrine of immunity, public
            necessity, general statute, sovereign state, district court, public airport, monopolize"
Case 12    ,"Page 2 of 28
            
            gun, defendants', manufacturers, public nuisance, proximate cause, damages, firearms, remoteness, nuisance,
            courts, cases, Municipal, handguns, allegations, pleadings, injuries, tortfeasors, costs, foreseeable, regulation,
            matter of law, antitrust, abate, funds, public right, third party, distributing, marketing, factors, causal"
Case 13    ,"summary judgment, withstand, circumstantial evidence, further proceedings, expert testimony, direct evidence,
            direct proof, non-disclosure, infringement, customers, proposals, secret, cases"
Case 14    ,"pass through, purchaser, indirect, actual damage, damages, overcharges, antitrust, attorney's fees, pass-on,
            defendants', anti trust law, downstream, affirmative defense, legislative history, in limine, unambiguous, argues,
            statutory construction, compensatory damages, statutory language, claim for damages, actual loss, persuasive,
            purported, punitive"
Case 15    ,"butter, milk, antitrust, prices, cream, defendants', filed rate doctrine, price-fixing, anti trust law, challenging,
            conspiracy, wholesale price, alleges, motion to dismiss, milk price, producers, inflated, immunity, regulated,
            markets, dairy, rates, antitrust violation, Agriculture, purchasers, wholesale, damages, marketing agreement,
            plaintiff's claim, artificially"
Case 16    ,"patent, customers, settlement agreement, Film, infringement, license, tape, counterclaim, summary judgment, two-
            liner, selling, labels, summary judgment motion, rights, patent rights, argues, bad faith, parties, Intervenants,
            alleges, patent infringement, integrated, commissions, Products, sales, patented process, invalid, implied license,
            constitutes, manufacture"
Case 17    ,"Team, motorcycle, riders, antitrust, sanctioned, allegations, promoted, racing, vintage, competitor, plaintiffs',
            sponsors, unfair competition, law firm, conspiracy, membership, proposed amended complaint, pleadings, parties,
            withdraw, amended complaint, motion to dismiss, boycott, compete, motions, protest, argues, statute of limitations,
            personal jurisdiction, Reply"
Case 18    ,"rebate, tape, customers, pricing, products, label, exclusionary, sales, bundled, discounts, monopolization,
            monopolist, competitor, monopoly, monopoly power, anticompetitive, transparent, predatory, purchases, brand,
            district court, programs, supplier, manufacturer, damages, targets, volume, consumer, rival, cigarettes"
Case 19    ,"Settlement, objectors, class member, Notice, borrowers, practices, settlement agreement, injunctive relief,
            certification, mailed, class certification, state court, damages, premiums, allegations, Defendants', punitive
            damages, class action, supplemental, class representative, equitable relief, disclosures, challenges, amended
            complaint, parties, proceedings, monetary, charges, mandatory, merits"
Case 20    ,"tags, monopolization, new trial, customers, relevant market, prices, court concludes, aftermarket, damages, tortious
            interference, matter of law, antitrust, proposed instruction, asserts, reasons, argues, parties, Post-Trial, contends,
            sales, contractual relationship, invoices, costs, specific intent, technology, conspiracy to monopolize, legally
            sufficient, jury instructions, market power, foremarket"
Case 21    ,"horse show, hunter, jumper, rated, motion to dismiss, relevant market, monopolization, Mileage, antitrust,
            conspiracy, Defendants', geographic, allegations, promoter, restraint of trade, rule of reason, concerted, commerce,
            Reply, subject matter jurisdiction, monopoly, argues, interchangeability, anticompetitive, acquisition, consumers,
            prohibits, cases"
Case 22    ,"copper, commerce, district court, conspiracy, antitrust, effects, trades, anticompetitive, import, reasonably
            foreseeable, domestic, brokers, global, contracts, prices, subject matter jurisdiction, foreign nation, transactions,
            warehouses, injuries, inflate"
Case 23    ,"pricing, lines, features, antitrust, resellers, district court, customers, small business, competitors, discounts, resale,
            anti trust law, regulation, market share, consumer, immunity, parties, network, settlement agreement, monopoly
            power, rates, percent, volume, exclusionary, summary judgment, local telephone, contends, Telecommunications,
            monopolization, facilities"
Case 24    ,"pricing, fare, passengers, costs, route, predatory, predation, variable, airline, price-sensitive, markets, flights,
            measures, below-cost, travel, summary judgment, competitors, lowest, price-insensitive, margin, match, appropriate
            measure, ranging, anti trust law, defense motion, aircraft, one-way, rival's, total cost, connecting"
Case 25    ,"merchants, debit card, defendants', monopolize, credit card, anticompetitive, tying arrangement, anticompetitive
            conduct, products, forcing, Cards, probability, conspiracy, antitrust, concerted, damages, summary judgment
            motion, summary judgment, relevant market, tied product, attempt to monopolize, per se rule, supplier, genuine
            issue of material fact, specific intent, anti trust law, matter of law, tying product, market power, predatory"
Case 26    ,"players, district court, preliminary injunction, team, hockey, leagues, Van Ryn Rule, relevant market, rule of reason,
            injunction, per se rule, antitrust, overage, irreparable harm, reconsideration, appellants', effects, playing, merits,
            season, amend, restraint of trade, antitrust claim, free agent, anticompetitive, procompetitive, drafted, sports"
Case 27    ,"Page 2 of 23
            
            cause of action, wage order, wages, overtime, conversion, violations, trial court, deductions, employees, personally
            liable, failure to pay, regulations, conspired, sustain a demurrer, tortious act, misdemeanor, overtime compensation,
            broad definition, minimum wage, exempt, definition of employer, overtime wages, unpaid wages, allegations, urges,
            officers and directors, personal liability, working conditions, tortious conduct, leave to amend"
Case 28    ,"customers, documents, costs, software, pricing, platform, authenticated, relevant market, switching, Declaration,
            products, lock-in, summary judgment, monopolization, locked-in, Server, migration, no evidence, allegations,
            operating system, market power, anticompetitive, exhibits, summary judgment motion, argues, competitors,
            Integrated, deposition, marketing, Counts"
Case 29    ,"patent, Cartwright Act, Sherman Act, settlement, generic, antitrust, effects, anticompetitive, infringement,
            ciprofloxacin, baseless, settlement agreement, courts, antitrust violation, inequitable conduct, cases, rule of reason,
            exclusionary, marketing, summary judgment motion, allegations, restraint of trade, cause of action, anti trust law,
            parties, material fact, restrained, patent holder, The Cartwright Act, pernicious"
Case 30    ,"patent, Cartwright Act, Sherman Act, settlement, generic, antitrust, effects, anticompetitive, ciprofloxacin,
            infringement, baseless, settlement agreement, courts, antitrust violation, inequitable conduct, anti trust law, rule of
            reason, cases, exclusionary, marketing, summary judgment motion, cause of action, allegations, restraint of trade,
            parties, material fact, restrained, patent holder, federal law, The Cartwright Act"
Case 31    ,"consumer, class member, objectors, settlement, settlement agreement, trial court, cy pres, monetary relief,
            conflicting interest, vitamin, products, antitrust, intervene, residents, distributions, indirect, settlement negotiations,
            reasonable opportunity, settlement fund, parens patriae, class action, administered, purchasers"
