Case Index,Core Terms
Case 1,"antitrust, competitors, summary judgment, antitrust violation, anti trust law, alleges, damages, intentional infliction of 
emotional distress, termination, violations, consumers, customers, prices, workers' compensation, Clayton Act, 
unemployment, discharged, apportionment of damages, causal connection, plaintiff's claim, public policy, 
speculative, expenses, Counts"
Case 2,"technology, antitrust, operating system, sponsors, joint venture, anti trust law, summary judgment, anticompetitive, 
rule of reason, conspiracy, software, bid, market power, competitors, prices, defendants', monopsony, buyers, 
purchasing, relations, alleges, markets, buying, courts, purchases and sales, relevant market, market share, 
acquisition, genuine issue, lower price"
Case 3,"surety, patents, attorney's fees, inequitable conduct, unenforceable, damages, final judgment, phase, unfair 
competition, district court, pertinent part, infringed, expenses, Appeals, invalid, argues, execution of a judgment, 
appeal bond, first trial, law firm, prevailing, recovered, unwarranted refusal, foreign judgment, money judgment, jury 
verdict, losing party, per annum, accommodation, bifurcated"
Case 4,"antitrust, allegations, anti trust law, hire, district court, defendants', employees"
Case 5,"Traffic, Camera, pricing, radio station, advertising, predatory, defendants', radio, broadcast, reporting, station, 
expert report, programming, state law claim, Sherman Act, monopolize, summary judgment, gathered, summary 
judgment motion, below-cost, deposition, recoup, interstate commerce, plaintiff's claim, offering, circumstances, 
barriers, charges, costs, financial records"
Case 6,"by-law, solid waste, municipality, trash, disposal, haulers, collected, ordinance, immunity, deliver, tipping, prices, 
rights, antitrust claim, residential, supervision, damages, anti trust law, state action, contracts, injunction, revoke, 
allegations, antitrust, predatory, haul, moot, state action doctrine, summary judgment, transported"
Case 7,"antitrust, sanctions, district court, cross-appeals, plaintiffs'"
Case 8,"tortious interference, plaintiff's claim, customers, monopolization, allegations, antitrust, software, dismissal without 
prejudice, disparagement, pricing, market share, Sherman Act, prospective economic advantage, defense motion, 
further order, Robinson-Patman Act, predatory, brochure, intentional interference, relevant market, antitrust case, 
damages, seller"
Case 9,"Page 2 of 7
 
distributors, antitrust, soft drink, bottling, acquisition, carbonated, contractual relationship, allegations, retail, anti 
trust law, monopolize, monopoly, antitrust claim, bankruptcy court, manufacturer, distribute, conspired, contracts, 
employees, brands"
Case 10,"Cartwright Act, Practices, Unfair, exemption, cause of action, insurance industry, antitrust, counts, remedies, 
dictum, insurance business, regulation, superseded, insurers, insurance commissioner, insurance company, trade 
practice, defendants', displace, unfair competition, civil liability, provisions, demurrers, brokers, unfair business 
practice, absolve, relieve, unfair trade practice, specific provision, title company"
Case 11,"Banks, prices, conspiracy, customers, charges, checks, costs, summary judgment, antitrust, collusion, conspired"
Case 12,"antitrust, Alliance, Brewing, allegations, license agreement, anti trust law, commerce, damages, beer, 
anticompetitive, defendants', motion to dismiss, domestic, markets, entity, export, anticompetitive conduct, 
arbitration, competitor, contends, import, lack of personal jurisdiction, subject matter jurisdiction, personal 
jurisdiction, antitrust action, Clayton Act, acquisition, predatory"
Case 13,"attorney general, district attorney, class action, political subdivision, public agency, government entity, public official, 
Cartwright Act, prosecute, subdivision, antitrust, civil action, initiate, resides, antitrust action, legislative history, 
entities, local government, damages, class representative, criminal proceeding, cause of action, first sentence, 
violations, legislative intent, name of the people, bring an action, natural person, confirm, effects"
Case 14,"pumps, replacement, counterclaim, Sherman Act, alleges, monopolization, conspiracy, antitrust, tying arrangement, 
motion to dismiss, distributors, products, branded, tying product, tied product, contracts, prospective economic 
advantage, fuel injection, monopoly, repair, relevant market, market power, controls, selling, tortious interference, 
restraint of trade, diesel fuel, manufacturer, competitor, injection"
Case 15,"boycott, windstorm, terms, insurers, reinsurance, transactions, concerted, rates, recommendation, artificial, 
premium, open market, regulated, McCarran-Ferguson Act, Defendants', pleadings, coverage, policies, insurance 
business, anti trust law, consumers, contracts, alleges, exempt"
Case 16,"boycott, insurance business, annuities, McCarran-Ferguson Act, regulated, insurer, immune, doctrine of res 
judicata, state court, antitrust, insurance industry, district court, argues"
Case 17,"medical society, further order, health maintenance organization, antitrust, healthcare, chiropractors, Chiropractic, 
replead"
Case 18,"trucks, retailers, antitrust, products, damages, customers, dairy product, antitrust violation, recoupment, direct-buy, 
purchasing, contends, factors, retail store, compete, prices, counterclaim, lost profits, parties, summary judgment, 
invoices, asserts, Dairy, Clayton Act, delivery, profits, price discrimination, breach of contract, causal connection, 
anti trust law"
Case 19,"cellular, customers, merger, carrier, public interest, documents, license, network, argues, cellular service, anti-
competitive, conditions, bottleneck, contends, effects, service directly, interexchange, restrictions, facilities, 
consumers, marketing, telephone, protective order, relevant market, confidential, competitors, evidentiary hearing, 
pro-competitive, integrated, bundling"
Case 20,"Toys, board game, allegations, motion to dismiss, antitrust, competitor, conspiracy, commerce, retailer, Clayton Act, 
monopoly, relevant market, anti trust law, Sherman Act, monopolize, prices, cases, Defendants', unfair competition, 
discovery, business relationship, manufacturer, conspired, products, denies, amend, costs, market share, 
misappropriated, purchasers"
Case 21,"insurance business, insured, regulating, state law, McCarran-Ferguson Act, impair, invalidate, federal law, 
decisions, discounts, practices, deductible, federal statute, provisions, insurance code, prohibits, provider, unfair 
trade practice, insurance contract, copayment, exemption, Savings, private cause of action, insurance policy, state 
statute, advertising, preemption, settlement, sections, courts"
Case 22,"prices, conspiracy, scientific, phosphide, aluminum, factors, defendants', estimated, economist, prevailed, 
damages, expert testimony, levels, curve, alleged conspiracy, calculations, constant, pellets, tablets, plaintiffs', 
cases, costs, competitive price, expert report, price-fixing, reliability, patent, lag, evidentiary, methodology"
Case 23,"limitations period, privileges, tolled, discriminatory, statute of limitations, revocation, resort, continuing violation, 
reinstatement, proceedings, commence, continuing violation doctrine, antitrust claim, rights, primary jurisdiction, 
civil rights claim, federal court, three year, limitations, diligence, equitable, accrues, charges, expired, revoked, 
notice, cause of action, anti trust law, circumstances, recourse"
Case 24,"tenants, relocation, state court, Defendants', rights, enterprise, crops, mail fraud, eviction, deed, claim preclusion, 
summary judgment motion, predicate act, parties, bribes, res judicata, relitigating, motions, leases, issue preclusion, 
allegations, conspired, contributions, counterclaim, bribery, privity, absolute immunity, merits, adverse possession, 
litigated"
Case 25,"cable, cable company, advertising, contracts, air time, media, district court, exclusive contract, anti trust law, sales, 
antitrust, spot, exclusive representation, cable television, summary judgment, compete, dollars, commissions, 
conspiracy, concerted activity, monopoly, buyer's, contractual, competitor, negotiate, rates, summary judgment 
motion, advertising agency, antitrust case, horizontal"
Case 26,"Antitrust, purchasers, manufacturers, consumers, unconscionable, indirect, intervenors, plaintiff-intervenors, infant 
formula, disparity, anti trust law, cause of action, damages, provisions, allegations, cumulative, practices, products, 
costs, court of appeals, summary judgment, defendants', violator, Shoe, legislative history, trial court, overcharge, 
deceptive, wholesale, remedies"
Case 27,"advertising, Morning, newspaper, merger, acquisition, antitrust, Northwest, daily newspaper, competitor, rescission, 
Clayton Act, regional, compete, divestiture, circulation, media, Sherman Act, papers, private plaintiff, ownership, 
anti trust law, cross-elasticity, cases, anticompetitive, relevant market, prices, stock, geographic, entities, parties"
Case 28,"enterprise, antitrust, summary judgment motion, Counts, racketeering activity, defendants', Surgery, summary 
judgment, anti trust law, privileges, alleges, violations, partial summary judgment, purposes"
Case 29,"gasoline, dealers, market power, franchises, relevant market, lease, matter of law, franchisees, plaintiffs', vertical, 
branded, distributors, retail, tanks, monopolization, manufacturer, selling, station, costs, distribution system, consent 
decree, locked, dual, partial summary judgment, tying arrangement, summary judgment, rule of reason, tying 
product, market share, tied product"
