Case Index ,Core Terms
Case 1     ,"antitrust, Card, Fuel, allegations, Fleets, truck stop, Truck, Trucker, monopolization, conspiracy, Settlement,
            competitors, claim for relief, Sherman Act, motion to dismiss, anti trust law, pre-settlement, vertical, boycott,
            antitrust statute, anticompetitive, Network, parties, group boycott, drivers, cause of action, defendants', concerted,
            contends, markets"
Case 2     ,"sanctions, Antitrust, amend, immunity, trial court, reconsideration motion, unauthorized practice of law, annexation,
            municipal, motion to dismiss, drafted, pro se, original complaint, local government, sole stockholder, amended
            complaint, developer, zoning, corporate interest, immunity provision, city official, reconsider, nonlawyer,
            disqualification motion, cause of action, proceedings, appearance, requesting, withdraw, damages"
Case 3     ,"counterclaim, aftermarket, operating system, alleges, relevant market, customers, computer hardware, brand,
            markets, manufacturers, consumers, monopoly, antitrust, asserts, single-brand, products, Sherman Act,
            interchangeable, competitors, anti-competitive, violations, utilize, avers, motion to dismiss, market power,
            contractual, derivative, submarket, anti trust law, differential"
Case 4     ,"cigarettes, prices, parallelism, discount, premium, generic, conspiracy, conscious, summary judgment, segment,
            manufacturers, increases, coordination, Plaintiffs', antitrust, federal court, oligopolistic, market share, anti trust law,
            brands, reasonable factfinder, Sherman Act, deep, alleged conspiracy, present case, trial court, supracompetitive,
            Defendants', collusion, wholesale"
Case 5     ,"state court, declaratory, monopolization, declaratory judgment, present suit, Sherman Act, anti trust law, federal
            court"
Case 6     ,"stock, Banks, acquisition, acquire, shares, cards, merchants, interchange, anticompetitive, plaintiffs', antitrust,
            Clayton Act, transactions, entity, member bank, rights, supplemental complaint, Sherman Act, recommended,
            billboards, post-IPO, anti trust law, issuing bank, allegations, network, lessen, report and recommendation,
            challenged transaction, fraudulent conveyance, shareholders"
Case 7     ,"patents, license, motion to dismiss, terms, argues, technology, antitrust, contract claim, monopoly power, anti trust
            law, Sherman Act, allegations, negotiate, anticompetitive conduct, antitrust claim, manufactured, bifurcate,
            products, wireless, parties, promise, district court, market power, anti-competitive, eliminated, breached, contends,
            pled, declaratory judgment, steel company"
Case 8     ,"Metals, sales, conspiracy, distributors, damages, prices, service center, estimates, aluminum, lost profits,
            defendants', factors, volume, lost sales, antitrust, circumstances, reliability, court concludes, threats, coconspirator,
            competitors, projections, purchases, steel, limitations period, plaintiff's claim, summary judgment, Sherman Act,
            scientific, proffered"
Case 9     ,"Defendants', products, commerce, home care, conspiracy, sales, euro, subject matter jurisdiction, Sherman Act,
            billion, prices, original jurisdiction, foreign nation, antitrust, exceeds"
Case 10    ,"summary judgment motion, discovery, patients, argues, hem-onc, bone marrow, transplant, referrals, dissolve,
            summary judgment, merits, issue preclusion, interrogatories, declaration, oppose, district judge, final judgment,
            allegations, deposition, deadline, diverted, supplemental brief, conduct discovery, new patient, continuance,
            antitrust, pediatric, believes, depose"
