Page,Label,Text
22,1," Defendant Barrett Daffin Frappier Treder & Weiss were named in the second amended complaint, but on September 9, 2015, 
an order issued pursuant to the stipulation of the parties that Defendant Barrett Daffin Frappier Treder & Weiss need not actively 
participate in this action and is being treated as a nominal party to this action. (ECF No. 30.)"
22,2," Defendant Nationstar requests that the Court take judicial notice of official records of the County of Tulare and Tulare County 
Superior Court. Under the Federal Rules a court may take judicial notice of a fact that is ""not subject to reasonable dispute in 
that it is either (1) generally known within the territorial jurisdiction of the trial court or (2) capable of accurate and ready 
determination by resort to sources whose accuracy cannot reasonably be questioned."" Fed. R. Evid. 201(b). Judicial notice may 
be taken ""of court filings and other matters of public record."" Reyn's Pasta Bella, LLC v. Visa USA, Inc., 442 F.3d 741, 746 n.6 
(9th Cir. 2006); Lee v. City of Los Angeles, 250 F.3d 668, 689 (9th Cir. 2001). The Court grants Defendant Nationstar's request 
for judicial notice. "
42,1," As this Opinion's caption makes plain, the parties' roles have changed throughout the course of this labyrinthine litigation. The 
initial Complaint named the Monroe Estate as a Defendant. (Dkt. #1). For the purposes of AVELA I., the Monroe Estate was a 
Counterclaimant, while V. International and X One X were Third-Party Defendants. (Dkt. #215). And with regard to the instant 
Opinion, V. International and X One X are both Counterclaimants, while the Estate Movants and LGP are all Counter-
Defendants. (Dkt. #219, 257). The Court provides a more thorough account of this case's post AVELA I procedural history infra."
42,2," This case draws on facts from the Answer of [V. International] to First Amended Counterclaim, and Related Counterclaims (""V 
Int'l Countercl."" (Dkt. #219)), and from the Answer of [X One X] to First Amended Counterclaim, and Related (Amended) 
Counterclaims (""X One X Am. Countercl."" (Dkt. #257)). For the purpose of adjudicating the Estate Movants' and LGP's motions 
to dismiss, the Court accepts as true the well-pleaded allegations in these counterclaims. See, e.g., Growblox Scis., Inc. v. GCM 
Admin. Servs., LLC, No. 14 Civ. 2280 (ER), 2016 U.S. Dist. LEXIS 44679, 2016 WL 1275050, at *6 (S.D.N.Y. Mar. 31, 2016). 
For ease of reference, the Court refers to the Estate Movants' opening brief as ""Estate Br."" (Dkt. #251); to V. International's and 
X One X's briefs in opposition to the Estate Movants' motion to dismiss as ""V. Int'l Estate Opp."" (Dkt. #258) and ""X One X Estate 
Opp."" (Dkt. #260), respectively; and to the Estate Movants' reply as ""Estate Reply"" (Dkt. #267). Similarly, the Court will refer to 
LGP's opening brief as ""LGP Br."" (Dkt. #270), to X One X's opposition as ""X One X LGP Opp."" (Dkt. #273), and to LGP's reply 
as ""LGP Reply"" (Dkt. #274)."
42,3," Although X One X and V. International have filed separate counterclaims, they rely on essentially the same facts. (Compare V. 
Int'l Countercl. ¶¶ 10-32, with X One X Am. Countercl. ¶¶ 11-36). Nonetheless, for clarity's sake, in this Opinion the Court will 
cite to the factual allegations in both parties' counterclaims. "
43,4," The Contested Marks' Registration Numbers are: 1509758, 1889730, 2180950, 2223599, 2985935, 4040943, 4336364, 
4419275, 4487208, 4487210, 4511420, and 4743834. (V. Int'l Countercl. ¶ 25; X One X Am. Countercl. ¶ 28) "
44,5," The February 10, 2016 endorsement also set page limits for opening (35 pages), opposition (35 pages), and reply (15 pages) 
briefs. (Dkt. #243, at 2). The Estate Movants argue that X One X and V. International disobeyed the Court's endorsement, 
because X One X filed a 35-page opposition brief, and V. International filed a 12-page opposition brief. (Estate Reply 1 n.1). The 
Estate Movants also fault V. International for incorporating by reference large portions of X One X's brief. (Id.). It was the Court's 
expectation that X One X and V. International would file a joint 35-page opposition brief or, alternately, separate briefs with a 
collective page count of 35. But the February 10, 2016 endorsement did not explicitly forbid V. International and X One X from 
submitting the opposition briefs they did. X One X and V. International, then, violated the spirit, but not the letter, of the February 
10, 2016 endorsement. If and when the Court issues future endorsements in this case, it will expect X One X and V. 
International to honor them faithfully. "
50,6," As discussed supra, V. International does not specify the parties against whom it asserts any of its counterclaims. And in turn, 
the Court is not sure if V. International intended to assert Counterclaims One, Two, and Three against the Monroe Estate (which 
owns the Contested Marks) or all of the Estate Movants (which includes ABG and Salter, who do not own the Contested Marks). 
(See Estate Br. 20 n.6; V. Int'l Countercl. ¶ 25 (identifying the Monroe Estate as the Contested Marks' owner)). X One X's 
amended counterclaims, however, appear to resolve this ambiguity. X One X brings its three trademark counterclaims against 
the Monroe Estate alone. (X One X Am. Countercl. ¶¶ 37-56). The Court assumes that V. International intended to do the same. "
54,7," These deficiencies obviate the need for the Court to consider whether the Estate Movants' trademark-litigation efforts are 
entitled to Noerr-Pennington immunity. See United Mine Workers of Am. v. Pennington, 381 U.S. 657, 669-70, 85 S. Ct. 1585, 
14 L. Ed. 2d 626 (1965); E. R.R. Presidents Conference v. Noerr Motor Freight, Inc., 365 U.S. 127, 136, 81 S. Ct. 523, 5 L. Ed. 
2d 464 (1961). Nonetheless, the Court pauses to make a clarifying point. The Estate Movants note correctly that Professional 
Real Estate Investors, Inc. v. Columbia Pictures Industries, Inc., 508 U.S. 49, 113 S. Ct. 1920, 123 L. Ed. 2d 611 (1993), sets 
forth a two-prong test for determining whether litigation efforts are a ""sham"" and therefore outside of Noerr-Pennington's 
protections. (Estate Br. 11-12 (discussing Prof'l Real Estate, 508 U.S. at 60)). But the Professional Real Estate test is only 
relevant ""to determining whether a single action"" — like one prior lawsuit — ""constitutes sham petitioning."" Primetime 24 Joint 
Venture v. Nat'l Broad., Co., 219 F.3d 92, 101 (2d Cir. 2000) (internal quotation marks and citation omitted). ""In cases in which 
the defendant is accused of bringing a whole series of legal proceedings,"" courts in this Circuit ask a different, ""prospective"" 
question to determine whether those proceedings were a sham: ""Were the legal filings made, not out of a genuine interest in 
redressing grievances, but as part of a pattern or practice of successive filings undertaken essentially for purposes of 
harassment?"" Id. (internal quotation marks and citation omitted). Here, this distinction matters. In Counterclaim Four, V. International suggests that the Estate Movants have sent many cease-
and-desist letters, and threatened many lawsuits, in order to further their monopolistic efforts. (V. Int'l Countercl. ¶¶ 59, 63, 69). 
Put another way, V. International appears to take issue not only with the Monroe Estate's assertion of counterclaims in this case, 
but with the Estate Movants' litigation efforts in many cases. To be clear, the Court takes no position on whether V. 
International's allegations in this regard are true. But because those allegations suggest (implausibly) that the Estate Movants 
have engaged in a series of sham litigation efforts, the Professional Real Estate test does not speak to them. "
58,8," X One X also alleges that the Monroe Estate is ABG's alter ego. (X One X Am. Countercl. ¶¶ 11-14). The Court rejects this 
theory for the same reasons it rejected V. International's identical argument. "
