Page,Label,Text
22,1," For reasons unknown, this highly pertinent allegation was not included in the Answer. "
26,2," Defendant states that ""[m]ainstream copyright owners now send takedown notices for more than 6.5 million infringing files, on 
over 30,000 sites, each month."" Def.'s Opp'n 12 n.4 (citing Center for the Protection of Intellectual Property, The Failure of the 
DMCA Notice and Takedown System, GEORGE MASON UNIV. SCH. OF L. (Dec. 5, 2013), http://cpip.gmu.edu/2013/12/05/the-
failure-of-the-dmca-notice-and-takedown-system-2/ ). "
28,1," Unless otherwise stated, all statutory references herein are to the Business and Professions Code. "
29,2," Section 17043 makes it unlawful for ""for any person engaged in business within this State to sell any article or product at less 
than the cost thereof to such vendor, or to give away any article or product, for the purpose of injuring competitors or destroying 
competition."" (§ 17043.) Section 17044, in turn, makes it unlawful for ""any person engaged in business within this State to sell or use any article or 
product as a 'loss leader' as defined in Section 17030 of this chapter. (§ 17044.) A ""loss leader"" under the UPA means ""any article or product sold at less than cost: [¶] (a) Where the purpose is to induce, 
promote or encourage the purchase of other merchandise; or [¶] (b) Where the effect is a tendency or capacity to mislead or 
deceive purchasers or prospective purchasers; or [¶] (c) Where the effect is to divert trade from or otherwise injure competitors."" 
(§ 17030.)"
29,3," On May 7, 2012, the trial court granted Dixon's request for preliminary injunction, [*3]  thereby enjoining Safeway from setting 
the street price at its City of Dixon station at a level whereby, after deducting the three-cents-per-gallon discount for Safeway 
Club Card holders, the transaction price for fuel was below its total cost. At the same time, the trial court denied Dixon's request 
for preliminary injunction to enjoin Safeway from issuing fuel discounts under a separate rewards program the company offered 
grocery customers (discussed in greater detail herein). Following issuance of this preliminary injunction, Safeway discontinued 
its Club Card program. Subsequently, on September 25, 2012, Dixon filed a supplemental complaint adding allegations that 
Safeway's below-cost sales and use of loss leaders had continued since the initial complaint was filed."
29,4," Broadly speaking, target competitors were defined as those ""who could take the most volume away."" "
30,5," The term ""margin"" in this context refers to the difference between Safeway's ""rack"" price (i.e., the wholesale price Safeway paid 
for the fuel) and its street price (i.e., the price posted at Safeway's station). Safeway's fuel supplier during the relevant time 
period was Tesoro Refining and Marketing Company (Tesoro). [*6]  The price Safeway paid for this fuel was a matter of 
contract. The parties negotiated the formulas used to set daily fuel prices in order to safeguard against market uncertainty or 
turbulence. "
31,6," In December 2012, Safeway moved for summary adjudication of all four causes of action as applied to Safeway's grocery-
based fuel promotions based on certain of its affirmative defenses, as well as other legal grounds. The court partially granted 
this motion. Specifically, the court rejected Safeway's arguments for summary adjudication of the UCL claims, while agreeing as 
to the UPA claims that Dixon had failed to meet its burden of presenting evidence sufficient to create a triable issue as to 
Safeway's ""purpose"" in offering its grocery-based fuel promotions. Dixon then moved for reconsideration of this motion, and a 
hearing on the motion was scheduled for April 2013. Ultimately, however, after judgment was entered in favor of Safeway on all 
causes of action, Dixon's motion for reconsideration of the summary adjudication order became moot. "
34,7," Contrary to Dixon's contentions, the trial court did not misinterpret Cel-Tech ""to require federal predatory pricing rules,"" or fail to 
recognize that Cel-Tech permits a showing of ""unfairness"" to be tethered to California public policy without reference to federal 
law. Rather, the trial court expressly recognized in the statement of decision that federal antitrust is persuasive, but not 
controlling on California courts addressing UCL or UPA claims. (Cel-Tech, supra, 20 Cal.4th at p. 186, fn. 11.) The court also 
correctly noted that the Cel-Tech court itself looked to federal antitrust standards for guidance, rather than the UPA, to determine 
what sort of low pricing practices might meet the test for unfairness under the UCL. (See Cel-Tech, supra, 20 Cal.4th at pp. 189-
190.) However, given the absence of any evidence in this record demonstrating Safeway's pricing was unfairly low, as opposed 
to just simply low, the trial court had a valid legal basis for declining to inquire more deeply into what precisely a plaintiff must 
show to prevail on these claims. "
35,8," Safeway contends we should deem Dixon's evidentiary challenges forfeited based upon the company's failure to provide a fair 
and complete summary of the relevant facts. (See, e.g., Arechiga v. Dolores Press, Inc. (2011) 192 Cal.App.4th 567, 571, 121 
Cal. Rptr. 3d 654.) According to Safeway, Dixon's brief identifies only those facts favorable to its case in violation of well-
established rules of appellate procedure. We tend to agree with Safeway on this issue. Nonetheless, in recognition of the public 
policy favoring decisions reached on the merits, we proceed to Dixon's substantive arguments."
35,9," In finding that Safeway did not act with the purpose of inflicting injury, the trial court credited the testimony of several Safeway 
officers or employees, including S. Patel, G. Wood, J. Pettus, S. Olea, and A. Silver, as well as Safeway Exhibits 1121, 1123 
and 1125. Dixon presents no challenge to the admissibility or weight of this evidence."
35,10," Thus, while Dixon is correct that, under the UPA, ""[p]roof that a defendant sold or distributed articles or products below cost 
will be 'presumptive evidence of the purpose or intent to injure competitors or destroy competition' (§ 17071)"" (Pan Asia Venture 
Capital Corp. v. Hearst Corp. (1999) 74 Cal.App.4th 424, 432, 88 Cal. Rptr. 2d 118), in this case the trial court had a sufficient 
evidentiary basis for concluding that any such presumption had been successfully rebutted by Safeway. "
42,1," I will only discuss the opinions contained in Dr. Johnson and Dr. Lopez's reports insofar as they relate to the arguments 
advanced by the defendants in their motions to exclude Prof. Elhauge's testimony. "
43,2," I will conduct a more extensive review of defendants' Daubert challenge than might be applied in other contexts due to the 
extensive nature of the parties' Daubert briefs and expert reports, the multiple parties and sometimes overlapping expert 
opinions involved, the complexity of the econometric issues underlying the experts' opinions and the importance of the Daubert 
inquiry prior to deciding class certification. "
44,3, Prof. Elhauge's more general works on antitrust law have been cited by the Supreme Court as well. 
