Page,Label,Text
33,1," The evidence indicated that the BGA program's operation insofar as royalty collection was concerned did not operate any 
differently when the propagator-distributor was Yoder."
33,2," In some ways, the GRA program provided a service to growers. Normally, a grower would not have the facilities to test a 
mutation or sport that he found on a chrysanthemum plant to see if, indeed, a new variety that could be asexually reproduced 
had been discovered. By taking advantage of Yoder's extensive facilities for this work, both parties benefited - Yoder had "
34,," another new variety on which it was receiving royalties, and the grower had the benefit of half the royalties paid for his acuteness 
of observation in finding the new variety. Persons who wished to have access to the Yoder service, however, had to sign GRA 
agreements, which contained restrictions on use of varieties accepted by Yoder similar to those in the BGA agreement. "
35,3," Yoder's unfair competition claims and Cal-Florida's price discrimination and trade disparagement claims were withdrawn during 
the trial. "
36,4," The court's judgment of August 29, 1974, orders that Yoder recover $42,712.44 from CFPC for infringement of the plant 
patents Deep Conquest, Morocco, Mountain Snow, Mountain Sun, Promenade, Red Torch, and Southern Gold. The remaining 
$24,205.20 was to come from CFPCF for infringement of the latter six plant patents plus Gold Marble. "
38,5," One major failing of both proposed tests is the confusion of the standing inquiry with the substantive issues of causation and 
fact of damage. Cf. Areeda, Antitrust Violations Without Damage Recoveries, 89 Harv.L.Rev. 1127, 1133-34 & n. 36 (1976) 
(comparing analyses under standing and damage doctrines)."
38,6," HN5[
] We do not believe that ultimate proof of injury in fact is a necessary requirement for standing. See 481 F.2d at 129 n."
38,11," . Cal-Florida's allegations are sufficient to establish injury in fact, to the extent that such a prerequisite exists for antitrust 
standing."
38,7," Yoder does not allege that Cal-Florida's claimed injuries were not to its business or property as required by section 4. Cf.  
Hawaii v. Standard Oil Co., 1972, 405 U.S. 251, 92 S. Ct. 885, 31 L. Ed. 2d 184. "
39,8," Because we have found standing under the stricter requirements of section 4 (treble damages), we necessarily have decided 
that standing could have been sustained under the more lenient criteria of section 16, 15 U.S.C. § 26 (injunctive relief). See 
Tugboat, Inc. v. Mobile Towing Co., supra, 534 F.2d at 1174, 1178 n. 12."
39,9," The 1974 Amendment to the Clayton Act recodified Section 5(b) at 15 U.S.C. § 16(i). Pub.L. 93-528, 88 Stat. 1706. Formerly, § 
5(b) appeared at 15 U.S.C. § 16(b). The amendment to the statute added procedures whereby the Attorney General would take 
into account the public interest before approving a consent decree, but it made no change in the tolling provision of the statute of 
limitations. "
40,10," The fact that Cal-Florida sought to intervene in the consent decree proceedings is irrelevant for our purposes. We assume for 
the purposes of this discussion that Cal-Florida, whose motion to intervene in the consent proceedings was denied on the same 
day as the consent decree was entered, would have been able to take advantage of the full sixty day period available to a party 
to the decree. We note, however, that its standing to challenge the provisions of the decree on appeal would have been 
questionable. See Utility Contractors Ass'n of New Jersey, Inc. v. Toops, 3 Cir. 1974, 507 F.2d 83. In fact, neither CFPC nor 
CFPCF attempted to appeal either from the denial of intervention or from the provisions of the consent decree itself."
40,11," The court noted that Federal Rule of Criminal Procedure 32(a) prescribes the formalities to be followed in the imposition of 
sentence.  Rule 32(b)(1) sets out the procedures to be utilized in the entry of a final enforcible judgment of conviction. The court 
also observed that Federal Rule of Criminal Procedure 55 refers to the date that judgment is entered as one of the records that 
must be kept by the clerk. "
41,12," We do not reach the precise question that was before the Russ Togs court, since we believe the two cases to be 
distinguishable. Nevertheless, we do note that the policies underlying the finality of judgments seem to run in a direction contrary 
to that court's result. We express no opinion on the ultimate resolution of the competing considerations of finality of judgments 
and liberal access to Government proceedings for private litigants; we simply stress that we are not faced with that case. "
42,13," Category one involved a horizontal combination among traders at one level of distribution designed to exclude direct 
competitors from the market.  467 F.2d at 186. Category two was somewhat broader, involving vertical combinations among 
traders designed to exclude from the market direct competitors of some members of the combination. Id. "
43,14," Yoder's argument that the true purpose of BGA was to foster the creation of new varieties of ornamental plants is analogous to 
FOGA's argument that its mission was to help the original fashion designers and to protect the industry from style pirates. 
Neither justification is relevant if the exclusionary or coercive elements in the program are so central that it could not exist 
without them."
43,15," The fact that BGA varieties could be obtained outside the program by methods such as purchasing mother stock at a retail 
florist does not save the program. The record contains ample evidence of Yoder's efforts to stop such practices. Its use of 
friendly persuasion instead of a club does not lessen the coercive aspects of the program itself."
43,16," We reject Yoder's suggested analogy to trade secret law, claiming that the plant's genetic code is the secret. In one sense, the 
genetic code always remains a secret, even to the breeder. In the more common sense, however, as soon as the plant is 
released, so are its secrets. We prefer the latter view as the one more in accordance with experience. "
44,17, That the geographic market was nationwide was not disputed.
44,18," Section 2 provides in pertinent part: Every person who shall monopolize, or attempt to monopolize, or combine or conspire with any other person or persons, to 
monopolize any part of the trade or commerce . . . [shall be guilty of an offense]."
44,15, U.S.C. § 2.
44,19," We agree with Cal-Florida that the district court would have been mistaken to apply a rigid rule requiring 50% of the market for 
a monopolization offense without regard to any other factors. See Cliff Food Stores, Inc. v. Kroger, Inc., supra. If the court's 
directed verdict was correct on another ground, however, his reasons for so ruling would be immaterial. We have therefore 
structured our own discussion according to the issue we perceive: was the market all ornamental plants or could it have been 
chrysanthemums only? "
45,20," This alternative appears to come closest to the issue stated in the pretrial stipulation, which specified commerce in the 
propagation and sale of chrysanthemum cuttings. For the purposes of this discussion, however, we are willing to consider either 
chrysanthemums grown or cuttings taken and sold. "
47,21," We note that this theory looks to the horizontal competition between Cal-Florida and Yoder in their capacities as propagator-
distributors. "
48,22, Cal-Florida's computation went as follows:
48,1, . Yoder average selling price (YASP) = Yoder Sales (Dollars) / Number of Cuttings Sold
48,2, . CFPC/CFPCF average selling price (CFSP) = CFPC/CFPCF Sales (Dollars) / Number of Cuttings Sold
48,3," . Net ""Loss"" per cutting = YASP - CFSP for 1969 and 1970 figures. 1971-73 simply uses Yoder's 1970 figure."
48,4," . Net Loss X Total CFPC/CFPCF cuttings sold = Lost Profit Translated into one equation, we have (CFPC/CFPCF) (Total Cuttings Sold) X (Yoder Sales Income / (Yoder Cuttings - 
CFPC/CFPCF Sales Income) / CFPC/CFPCF Cuttings) = Damages. If the equation is multiplied out, we have Yoder Sales Income X CFPC/CFPCF cuttings) / (Yoder cuttings) - CFPC/CFPCF Sales 
Income = Damages (i.e. difference in adjusted sales income) Thus, the only thing that has been compared by these exhibits is the sales income of the two companies."
48,23," Jack Neckar of Cal-Florida also testified that the BGA royalty was a constraint on pricing to the grower, apparently referring to 
the danger that growers might turn to self-propagation. Yoder, however, faced the same limitation to the same degree in its 
capacity as a propagator-distributor. It is therefore difficult to see how the presence of self-propagators injured competitive 
relations between Yoder and Cal-Florida. "
