Page,Label,Text
25,1," HN1[
] 28 U.S.C. § 1338(b) provides that federal courts have original jurisdiction over claims for unfair competition ""when joined with a substantial and related claim under . . . the trademark laws."" Although originally a codification of the Hurn v. 
Oursler, 289 U.S. 238, 77 L. Ed. 1148, 53 S. Ct. 586 (1938) restrictive view of pendent jurisdiction, subsequent decisions have 
updated the statutory interpretation to include the broader Gibbs formulation of pendent jurisdiction. See e.g., Thompson Tool 
Co., Inc. v. Rosenbaum, 443 F. Supp. 559 (D.Conn. 1977). This court assumes that this broader interpretation applies.  In any 
case, plaintiffs fail under the more generous of the two tests and would thus fail under the more restrictive rule."
25,2," A question has arisen over whether the test outlined in the Timberlane decision is in fact one of subject matter jurisdiction. 
Compare In re Uranium Antitrust Litigation, 617 F.2d 1248, 1253-56 and Industrial Investment Development Corporation v. 
Mitsui & Co., Ltd., 671 F.2d 876, 884-85 n. 7 (5th Cir. 1982) with Mannington Mills, Inc. v. Congoleum Corporation, 595 F.2d 
1287, 1297-98 (3d Cir. 1979) (concurring opinion).  Instead of reading Timberlane as establishing a test for subject matter 
jurisdiction, some courts have interpreted the test as a method for determining whether jurisdiction should be asserted, 
assuming the presence of subject matter jurisdiction. See e.g., Industrial Investment Development Corporation v. Mitsui, 671 
F.2d at 884-85 n. 7. This court need not resolve this issue at this time, however, for the result in this case would be the same 
under either interpretation. "
26,3," The Restatement of Foreign Relations Law of the United States (Tentative Draft No. 2 1981) suggests these limits: § 403.  Limitation on Jurisdiction to Prescribe (1) Although one of the bases for jurisdiction under § 402 is present, HN4[
] a state may not apply law to the conduct, 
relations, status, or interests of persons or things having connections with another state or states when the exercise of such 
jurisdiction is unreasonable. (2) Whether the exercise of jurisdiction is unreasonable is judged by evaluating all the relevant factors, including: (a) the extent to which the activity (i) takes place within the regulating state, or (ii) has substantial direct, and foreseeable 
effect upon or in the regulating state; (b) the links, such as nationality, residence, or economic activity, between the regulating state and the persons principally 
responsible for the activity to be regulated, or between that state and those whom the law or regulation is designed to 
protect; (c) the character of the activity to be regulated, the importance of regulation to the regulating state, the extent to which other 
states regulate such activities, and the degree to which the desirability of such regulation is generally accepted; (d) the existence of justified expectations that might be protected or hurt by the regulation in question; (e) the importance of regulation to the international political, legal or economic system; (f) the extent to which such regulation is consistent with the traditions of the international system; (g) the extent to which another state may have an interest in regulating the activity; (h) the likelihood of conflict with regulation by other states. "
27,," (3) HN5[
] An exercise of jurisdiction which is not unreasonable according to the criteria indicated in Subsection (2) may 
nevertheless be unreasonable if it requires a person to take action that would violate a regulation of another state which is 
not unreasonable under those criteria.  Preference between conflicting exercises of jurisdiction is determined by evaluating 
the respective interests of the regulating states in light of the factors listed in Subsection (2). (4) Under the Law of the United States: (a) a statute, regulation or rule is to be construed as exercising jurisdiction and applying law only to the extent permissible 
under § 402 and this section unless such construction is not fairly possible; but (b) where Congress has made clear its purpose to exercise jurisdiction which may be beyond the limits permitted by 
international law, such exercise of jurisdiction, if within the constitutional authority of Congress, is effective as law in the 
United States. Section 402 of the Restatement states the following bases of jurisdiction: Subject to § 403, HN6[
] a state may, under international law, exercise jurisdiction to prescribe and apply its law with 
respect to (1) (a) conduct, a substantial part of which takes place within its territory; (b) the status of persons, or interests in things, present within its territory; (c) conduct outside its territory which has or is intended to have substantial effect within its territory; (2) the conduct, status, interests or relations of its nationals outside its territory; or (3) certain conduct outside its territory by persons not its nationals which is directed against the security of the state or a 
certain state interest. "
35,*," Honorable Jacob Mishler, United States District Judge, Eastern District of New York, sitting by designation."
35,1," At the conclusion of plaintiff's presentation of evidence at the hearing the court ordered that the trial on the merits be 
consolidated with the hearing on the preliminary injunction pursuant to Fed.R.Civ.P. 65(a) (2) and issued its findings of fact 
pursuant to Rule 41(b). Thereafter, AIChE timely demanded a jury trial and made objection to the consolidation.  The court 
vacated its oral order to the extent it purported to consolidate the trial on the merits with the hearing on the preliminary injunction."
35,2," AIChE initially filed its appeal from the order of Judge Pierce denying AIChE's motion for a preliminary injunction. After Judge 
Pierce issued his decision granting summary judgment AIChE withdrew the prior appeal by stipulation without prejudice to 
obtaining review of the order denying the injunction on this appeal. "
36,3," Reber-Friel's responsibilities are spelled out in paragraph 2 of the agreement as follows: (a) To rent exhibit space to proper exhibitors and to plan and manage facilities at exposition hall for conferences and 
exhibits. (b) To develop for the Institute a mailing list of prospective exhibitors. (c) To assist the Institute in formulating policy and preparing floor plans and rules and regulations for the expositions. (d) To develop material for the sale or leasing of exhibit space and to assign such space. (e) To lease exhibit space for the Institute, to invoice exhibit space fees for the Institute on the Institute's Expositions 
stationery and to collect such fees for the Institute. (f) To act as general contractor in providing services for exhibitors. (g) To assist in the Institute's programs for the development of an audience. (h) To assist, under the direction of the Institute, at the exposition hall with the physical facilities for registration activities. 
However, all registration facilities shall be paid for by the Institute except those expenses necessary for registering 
exhibitors which shall be borne by Reber-Friel. (i) To supervise physical arrangements for meeting at the exposition hall and manage the installation, operation and 
removal of exhibits. All Meeting facilities shall be paid for by the Institute. (j) To supervise the entire exposition for the term of the lease of the exposition hall. (k) To be responsible for and pay all costs and expense incurred by Reber-Friel in connection with the following -- the rental 
of booth equipment, exhibitors' service bulletins, the preparation of addressing plates and addressing of material to 
potential exhibitors and publicity outlets, the printing and disposition of promotional material, the rental of exhibit space to 
exhibitors, all travel, telephone and correspondence in connection with the rental of exhibit space to exhibitors, publicity, 
booth expenses, sales expenses, staff travel, stationery and contingencies. "
37,4," Services provided by Reber to exhibitors include such items as freight handling, carpentry service, rental of equipment and 
decorating services. Some of the work was delegated by Reber-Friel to subcontractors.  Under its agreement with AIChE, 
Reber-Friel was required to act as general contractor in providing services for exhibitors (see footnote 3 supra.)"
37,5, In this diversity action New York law governs in accordance with the agreement of the parties. 
38,6," Restrictive covenants historically have been frowned upon as is evidenced by the discussion in Mitchel v. Reynolds, 1 P.Wms. 
181, 24 Eng.  Rep. 347 (Q.B.1711) where ""the court pointed out that the presumption of invalidity stems from the 'mischief' which 
the restraints may cause, first, in the possible loss of the covenantor's means of earning a livelihood and, second, in the loss to 
society of the services of a useful member."" Blake, Employee Agreements Not to Compete, 73 Harv. L.Rev. 625, 629 (1960). The court noted its particular concern with such covenants in employment agreements because of the possibility of ""great 
abuses . . . from masters, who are apt to give their apprentices much vexation on this account, and to use many indirect 
practices to procure such bonds from them, lest they should prejudice them in their custom, when they come up to set up for 
themselves."" 1 P.Wms. at 190, 24 Eng. Rep. at 350. The court, however, recognized the need for such covenants not to compete in the transfer of a business in order to make the 
business saleable. New York courts also recognize the validity of such covenants. In Purchasing Assocs., Inc. v. Weitz, supra, 
13 N.Y.2d at 271, 246 N.Y.S.2d at 603, 196 N.E.2d 245, it was stated: HN3[
] Where, for instance, there is a sale of a business, involving as it does the transfer of its good will as a going 
concern, the courts will enforce an incidental covenant by the seller not to compete with the buyer after the sale. . . . This 
rule is grounded, most reasonably, on the premise that a buyer of a business should be permitted to restrict his seller's 
freedom of trade so as to prevent the latter from recapturing and utilizing, by his competition, the good will of the very 
business which he transferred for value. "
39,7," Notably, in August 1981 AIChE received from Reber-Friel the complete file on each past exhibitor containing correspondence 
and contracts. At the hearing on the preliminary injunction in late September AIChE did not make it clear whether it had referred 
at all to those files for information but it did not assert that there was any relevant information in those files that was not available 
through AIChE brochures and directories distributed to the public."
39,8," For instance, in Molina v. Barany, 56 N.Y.S.2d 124 (Sup. Ct. N.Y.Co. 1945), the bad faith of the defendant was taken into 
consideration. And in Service Systems Corp. v. Harris, 41 A.D.2d 20, 341 N.Y.S.2d 702 (4th Dep't. 1973), the defendant not only "
40,," demonstrated bad faith but the court found his knowledge of trade secrets to be a factor. As stated in Clark Paper & Mfg. Co. v. 
Stenacher, 236 N.Y. 312, 321, 140 N.E. 708, 712 (1923): HN9[
] ""Any unfair competition or practice may move equity to 
enforce a negative covenant."""
