Page,Label,Text
26,1," See In re Superior Court Trial Lawyers Association, et al., Opinion of the Commission, 107 F.T.C. 562 (1986), hereinafter 
referred to as ""FTC Decision."" The Initial Decision of the Administrative Law Judge will be referred to as ""I.D."" and the numbered 
findings in that decision will be referred to as ""I.D.F.    ."" Citations to testimony and exhibits in the record will refer to the Joint 
Appendix (JA) filed in this court by the parties. "
27,2," The Sixth Amendment to the U.S. Constitution provides that ""in all criminal prosecutions, the accused shall enjoy the right . . . 
to have the Assistance of Counsel for his defence."" In Argersinger v. Hamlin, 407 U.S. 25, 32 L. Ed. 2d 530, 92 S. Ct. 2006 
(1972), the Supreme Court held that this provision required that counsel be provided whenever the defendant might suffer a loss 
of liberty."
27,3," I.D.F. 24; the record suggests that the CJA regulars received fewer appointments after the rate increase ""whether they like it or 
not."" Testimony of Perrotta at 677, JA 161."
27,4," At the time of the boycott, D.C. Code Ann. § 11-2604(a) capped compensation at the hourly scale established by 18 U.S.C. § 
3006A(d)(2), the federal CJA statute."
27,5," Following the boycott, the limit was increased administratively to $50,000. See I.D.F. 29. "
28,6," Petitioners routinely used the word ""strike"" to describe their concerted refusal to accept new cases. Petitioners have not 
suggested, however, that they are ""employees"" within the meaning of § 20 of the Clayton Act, 29 U.S.C. § 52 (1982), which 
limits the granting of injunctions ""in any case between an employer and employees, . . . involving, or growing out of, a dispute 
concerning terms or conditions of employment,"" or that SCTLA is a ""labor organization"" within the meaning of § 6 of the same 
Act, 15 U.S.C. § 17 (1982), which provides that ""nothing contained in the antitrust laws shall be construed to forbid the existence 
and operation of labor . . . organizations, instituted for the purposes of mutual help; . . . nor shall such organizations, or the 
members thereof, be held or construed to be illegal combinations or conspiracies in restraint of trade, under the antitrust laws."" 
We therefore accept the FTC's considered characterization of SCTLA's action as a ""boycott,"" as that term is used in antitrust 
parlance. "
30,7," The complaint is based upon petitioners' ""coercive, concerted refusal to deal [i.e., to accept new cases] for the purpose of 
increasing the CJA fees,"" and ""not upon their price agreement alone nor upon their preboycott collective efforts to persuade the 
city government, solely by the force of argument, to raise the fees."" FTC Decision, 107 F.T.C. at 573. "
32,8," The finding that the boycott was intended to ""coerce"" the city into agreeing to a rate increase is not inconsistent with the 
petitioners' claim, discussed infra in sections V and VI, that their actions also served as a means of dramatizing their opposition 
to the prevailing rates."
32,9," Cf.  Federal Baseball Club of Baltimore, Inc. v. National League, 259 U.S. 200, 66 L. Ed. 898, 42 S. Ct. 465 (1922) (national 
pastime not ""commerce"" within Sherman Act); Flood v. Kuhn, 407 U.S. 258, 282-84, 32 L. Ed. 2d 728, 92 S. Ct. 2099 (1972) 
(acknowledging that professional baseball is ""engaged in interstate commerce"" but leaving to Congress any change in the 
""aberration"" established by Federal Baseball). "
33,10," We do not read petitioners' characterization of the market for CJA services as ""price fixed,"" to suggest that the District of 
Columbia is a ""monopsonist,"" i.e., that it is the near exclusive purchaser of their services and is therefore capable of exerting 
market power over the price they are paid for their work. The record would not support such a claim, nor have petitioners argued 
that it is a defense (which would surely fail) that the victim of the boycott possessed monopsony power. See Keifer-Stewart Co. 
v. Joseph E. Seagram & Sons, 340 U.S. 211, 214, 95 L. Ed. 219, 71 S. Ct. 259 (1951) (no defense of price-fixing by 
manufacturers that wholesale purchasers had fixed resale prices)."
