Page,Label,Text
7,1," RCA at that time was the dominant firm with as much as 60% 
to 70% of national television sales in an industry with more 
than 100 manufacturers."
7,2," The number of retailers selling Sylvania products declined 
significantly as a result of the change, but in 1965 there were 
at least two franchised Sylvania retailers in each metropolitan 
center of more than 100,000 population."
7,3," Sylvania imposed no restrictions on the right of the 
franchisee to sell the products of competing manufacturers."
7,*," Briefs of amici curiae urging affirmance were filed by 
Lawrence T. Zimmerman for the Associated Equipment 
Distributors; by Lloyd N. Cutler, James S. Campbell, William T. 
Lake, and Donald F. Turner for the Motor Vehicle 
Manufacturers Assn.; and by Philip F. Zeidman and John A. 
Dienelt for the International Franchise Assn."
8,4," Sylvania's market share in San Francisco was approximately 
2.5%-half its national and northern California average."
8,5," There are in fact four corporate petitioners: Continental T.V. 
Inc., A & G Sales, Sylpac, Inc., and S. A. M. Industries, Inc. All 
are owned in large part by the same individual, and all 
conducted business under the trade style of ""Continental T. 
V."" We adopt the convention used by the court below of 
referring to petitioners collectively as ""Continental."""
8,6," Sylvania had achieved exceptional results in Sacramento, 
where its market share exceeded 15% in 1965."
8,7," In its findings of fact made in conjunction with Continental's 
plea for injunctive relief, the District Court rejected Sylvania's 
claim that its actions were prompted by independent concerns 
over Continental's credit.  The jury's verdict is ambiguous on 
this point.  In any event, we do not consider it relevant to the 
issue before us."
8,8," Although Sylvania contended in the District Court that its 
policy was unilaterally enforced, it now concedes that its 
location restriction involved understandings or agreements 
with the retailers."
9,9," The jury also found that Maguire had not conspired with 
Sylvania with respect to this violation.  Other claims made by 
Continental were either rejected by the jury or withdrawn by 
Continental.  Most important was the jury's rejection of the 
allegation that the location restriction was part of a larger 
scheme to fix prices.  A pendent claim that Sylvania and 
Maguire had willfully and maliciously caused injury to 
Continental's business in violation of California law also was 
rejected by the jury, and a pendent breach-of-contract claim 
was withdrawn by Continental during the course of the 
proceedings.  The parties eventually stipulated to a judgment 
for Maguire on its claim against Continental."
