Page,Label,Text
26,1," The defendants urge this Court, as an alternative to dismissing for lack of subject matter jurisdiction, to certify this question for 
appeal pursuant to 28 U.S.C. § 1292(b). This motion is moot in light of this Court's decision to grant defendants' motion to 
dismiss the complaint pursuant to Fed. R. Civ. P. 12(b) (6). "
27,2," Westel also alleges in paragraph 6 of the Second Amended Complaint that ""Defendant AT&T, alone and in concert with the 
predecessor of ATTI, devised a scheme and artifice to defraud and obtain money and property of Westel . . ."" However, Westel 
nowhere explains what it means by the predecessor of ATTI nor by what legal theory a corporation may be held liable for the 
acts of such a ""predecessor."" "
29,3," This section makes one reference to ATTI but only alludes to subsequent paragraphs of the complaint containing the two 
allegations already noted. See Second Amended Complaint at P 21(B)."
29,4," At least some support for such a relaxed approach is nonetheless provided in Luce v. Edelstein, 802 F.2d 49 (2d Cir. 1986), in 
which the Second Circuit held that ""no specific connection between fraudulent representation in [an] Offering Memorandum and 
particular defendants is necessary where, as here, defendants are insiders or affiliates participating in the offer of the securities 
in question."" Id. at 55."
29,5," Westel voluntarily repled after AT&T moved to dismiss Westel's first complaint. The Amended Complaint was then dismissed 
by this Court pursuant to Fed. R. Civ. P. 9(b) and 12(b)(6). "
36,1," Pending in this action is Plaintiff Union Carbide's Motion to Substitute Parties (Dkt. # 129). Plaintiff indicates that it has spun off 
the assets and business that are the subject of this lawsuit into a corporation known as Praxair, Inc., a Delaware corporation. For 
the purposes of this Order, the Court will refer to Plaintiff as Union Carbide or as Plaintiff."
36,2," The 1958 and 1962 agreements will henceforth be jointly referred to as the ""Agreement""."
36,3, The Florida Public Utilities Commission has subsequently changed its name to the Florida Public Service Commission.
36,4," Application of Florida Power and Light Company for Approval of an Agreement with Florida Power Corporation Relative to 
Service Areas, Docket No. 7420-EU (1964)(hereinafter ""Application"")."
36,5," The Commission sent notice of the public hearing to the Volusia, Seminole, Orange and Osceola County governments. The 
record reflects that no notice was sent to the Brevard County government. At the time of the Commission proceedings, Florida 
law required that agencies inform affected parties of agency hearings. § 120.33 Fla. Admin. Proc. Act, 120 F.S.A. (1961). "
37,6," In re: Proposed territorial agreement between Florida Power and Light Company and Florida Power Corporation, Dkt. No. 
7420-EU, Order No. 3799 (April 28, 1965)."
37,7," In 1971, the Commission approved an agreement between FPC and Tampa Electric Company for the wholesale sale of electric 
power. In re: Application of Florida Power Corporation for modification of territorial orders, Dkt. No. 71340-EU, Order No. 5255 
(October 29, 1971). Again, in 1974, the Commission entered an order which ""ratified"" an agreement between FPL and FPC to 
modify and extend boundaries in the City of Sanford. In re: Application of Florida Power & Light Company for approval of a 
modification of territorial agreement with Florida Power Corporation relative to service areas, Dkt. No. 74097-EU, Order No. 
6184 (June 28, 1974). In 1989, the Commission conditionally approved a third modification to the Agreement, clarifying the 
Agreement's procedure for variances in the territorial boundaries due to exceptional circumstances and changes in municipal 
boundaries. In re: Application of Florida Power Corporation and Florida Power & Light Company for Approval of Amendment of 
Territorial Agreement, Dkt. No. 890403-EU, Order No. 21309 (June 2, 1989). "
38,8," In re: Petition of Florida Power and Light Company for approval of large power agreement with Union Carbide Corporation, Dkt. 
No. 871029-EQ, order No. 19231 (April 26, 1988)."
38,9," In re: Petition of Florida Power and Light Company for a Declaratory Statement Regarding Request for Wheeling, Dkt. No. 
881326-EI, Order No. 20808 (February 24, 1989). "
39,10," HN5[
] Section 366.04, ""Jurisdiction of the commission"", provides in pertinent part: (2) in the exercise of its jurisdiction, the commission shall have power over electric utilities for the following purposes: (d) To approve territorial agreements between and among rural electric cooperatives, municipal electric utilities, and other 
electric utilities under its jurisdiction. . . (e) To resolve, upon petition of a utility or on its own motion, any territorial dispute involving service areas between and 
among rural electric cooperatives, municipal electric utilities, and other electric utilities under its jurisdiction . . ."
39,*," * * (5) The commission shall further have jurisdiction over the planning, development, and maintenance of a coordinated 
electric power grid throughout Florida to assure an adequate and reliable source of energy for operational and emergency 
purposes in Florida and the avoidance of further uneconomic duplication of generation, transmission, and distribution 
facilities."
39,11," Such harmful effects include ""unsatisfactory customer relations"", ""service inefficiencies,"" and ""the premature erection of more 
lines than are needed for immediate service, which lessens the immediate return of the investment, and, in effect, must be 
subsidized by other customers of the utility."" Order No. 3799 at 4. "
40,12," Plaintiff relies on the Supreme Court's recent decision in FTC v. Ticor Title Ins. Co., 504 U.S. 621, 112 S. Ct. 2169, 119 L. Ed. 
2d 410 (1992), to argue that a state must expressly approve the particular anticompetitive act of the party seeking state action 
immunity. In Ticor the Supreme Court stated that ""Midcal's requirement that the State articulate a clear policy shows little more 
than that the State has not acted through inadvertence; it cannot alone ensure, as required by our precedents, that particular 
anticompetitive conduct has been approved by the State."" Given the Supreme Court's previous statements with respect to state 
action immunity, it is not likely that the Court would require a state to give express approval of each anticompetitive act. 
Nonetheless, the Court need not reach this issue for the purposes of this Order, as Florida law does require the Commission to 
expressly approve all anticompetitive territorial agreements among utilities. "
45,1," Virtual Maintenance, Inc. v. Prime Computer, Inc., 957 F.2d 1318 (6th Cir. 1992), vacated, 121 L. Ed. 2d 235, 113 S. Ct. 
314 (Oct. 13, 1992) (No. 92-90). (""Virtual I"")."
45,2," For a more detailed history of the case, see id. "
46,3," Plaintiffs also claimed that Kodak had unlawfully monopolized and attempted to monopolize the sale of service for Kodak 
machines in violation of § 2 of the Sherman Act. "
47,4," The Supreme Court made clear that HN1[
] Matsushita Elec. Indus. Co. v. Zenith Radio Corp., 475 U.S. 574, 587, 106 S. Ct. 1348, 89 L. Ed. 2d 538 (1986), did not create a special burden on plaintiffs responding to summary judgment challenges in 
antitrust cases, but requires only that the non-moving party's inferences be reasonable and not ""economically senseless."" 
Eastman Kodak, 112 S. Ct. at 2083."
47,5," Virtual claimed that a jury could find that Prime possessed almost total control over the Prime 50 Series hardware maintenance 
market.  Virtual I, 957 F.2d at 1330. "
48,6," As noted in Virtual I, HN2[
] the elements of a per se tying claim are as follows: ""(1) There must be a tying arrangement 
between two distinct products or services; (2) the seller must have sufficient economic power in the tying market to restrain 
appreciably competition in the tied product market; and (3) the amount of commerce affected must be not insubstantial."" Virtual 
I, 957 F.2d at 1323 (quoting Directory Sales Management Corporation v. Ohio Bell Tel. Co., 833 F.2d 606, 609 (6th Cir. 
1982) (other quotations omitted))."
48,7," We stated: ""An 11% market share, standing alone, is insufficient as a matter of law to confer the 'great market power, 
evidenced by an exceptional demand for the tying product' necessary for a per se illegal tie."" Virtual I, 957 F.2d at 1325 (quoting 
A.I. Root, 806 F.2d at 676). "
49,8," We observed that this court previously had refused to ignore interbrand competition by limiting the product market to one 
manufacturer's product, citing A.I. Root Co. v. Computer/Dynamics, Inc., 806 F.2d 673 (6th Cir. 1986) and Kingsport Motors, 
Inc. v. Chrysler Corp., 644 F.2d 566 (6th Cir. 1991). Both of these cases can be distinguished from the instant one. The 
disposition in A.I. Root turned on the fact that the evidence in the case established that equipment using BOSS software had 
""close substitutes."" 806 F.2d at 676. The relevant market was not BOSS software as a unique product market, but small 
business computers.  Id. at 675-76. Thus, the defendant lacked that ""essential characteristic"" of an illegal tying arrangement, the 
seller's ability to coerce customers into buying an unwanted tied product.  Id. at 677. In fact, the plaintiff in that case, rather than 
submitting to the tie, purchased new IBM equipment and software. Id. at 675. Kingsport Motors, 644 F.2d 566, is likewise distinguishable because there the relevant product market, ""properly analyzed,"" 
was ""all medium priced cars available for sale in the United States."" Id. at 571. So defined, there was simply no proof that the 
seller had any power to raise prices or that the tying arrangement at issue affected any appreciable number of buyers within the 
applicable market. Id. Thus, Kingsport Motors, by focusing on the primary equipment market rather than the aftermarket 
cannot compel a similar result in this case."
49,9," In rejecting Virtual's contention that PDGS constitutes a relevant ""submarket,"" we relied, in part, on the proposition in A.I. Root 
Co. v. Computer/Dynamics, Inc., 806 F.2d 673 (6th Cir. 1986), that ""competitors of [defendant] could produce computer 
hardware and software equivalent to that manufactured by [defendant]. Accordingly, [defendant's product] did not compose a 
separate and distinct submarket within the computer industry as to which we should measure 'market share.'"" Virtual I, 957 F.2d 
at 1327 (quoting A.I. Root, 806 F.2d at 675-76. As previously noted, see supra note 7, A.I. Root rejected the plaintiff's attempts 
to define BOSS as a separate market because although it was copyrighted, there was proof of close substitutes. Id. Closer to 
the mark is a case discussed in A.I. Root, Digidyne Corp. v. Data General, 734 F.2d 1336 (9th Cir. 1984). A.I. Root 
distinguished Digidyne on the basis that the tying product (RDOS), a computer command system, was unique. In contrast, the 
plaintiff in A.I. Root had not presented any evidence that BOSS was particularly unique or desirable. Here, Virtual has offered 
proof of PDGS's desirable-ness; namely, Ford's requirement that all the design companies with which it does business use the 
software and software updates. "
50,10," This view is not inconsistent with dicta in International Logistics, 884 F.2d at 909. There, we stated that Chrysler products 
could not be a relevant market ""absent a government imposed distinctions between Chrysler manufactured replacement parts 
and Chrysler compatible replacement parts . . . ."" Id. By implication, had such a government imposed distinction existed, it may 
have had the ""unique characteristics that would support its consideration as a separate geographic market."" Id. In this case, the 
""imposed distinction"" is Ford's requirement that its automotive design suppliers use the most current version of PDGS marketed 
exclusively through Prime. "
57,1," The exact relationship and role of the four Defendants is unclear. Cargill Inc. has responded on behalf of itself and ""its 
unincorporated divisions."" Motion to Dismiss (Docket No. 4) P 1. It appears that these unincorporated divisions include Northeast 
Petroleum Division of Cargill, Inc. It is not clear whether Northeast Petroleum Division of Maine, Inc. and Northeast Petroleum 
Division of Cape Cod exist at all, are unincorporated divisions of Cargill, or are Massachusetts corporations as alleged in the 
Complaint. Docket No. 1 PP 7-8. For purposes of this motion to dismiss, the identity and relationship of the Defendants are not 
critical."
57,2," Plaintiff Ashmore refused to implement this pricing policy at any time; Plaintiffs Boya, Simone, and Simeone refused at first but 
ultimately were compelled to implement the pricing policy."
57,3," The issue of whether Plaintiffs have antitrust standing is not an issue of standing in the constitutional sense. Defendants do not 
argue that Plaintiffs do not allege a case or controversy sufficient to satisfy the requirements of Article III of the Constitution. 
Rather, their standing argument merely alleges that Plaintiffs are not proper parties to bring this antitrust action. See Associated 
General Contractors, Inc. v. California State Council of Carpenters, 459 U.S. 519, 535 n.31, 74 L. Ed. 2d 723, 103 S. Ct. 897 
(1977). "
58,4," Section 4 of the Clayton Act provides in relevant part: HN2[
] Any person who shall be injured in his business or property by reason of anything forbidden in the antitrust laws 
may sue therefor in any district court of the United States in the district in which the defendant resides or is found . . . 
without respect to the amount in controversy, and shall recover threefold the damages by him sustained, and the cost of 
suit, including a reasonable attorney's fee."
58,15, U.S.C.S. § 15(a).
58,5," For purposes of this challenge to standing, the Court will assume, without deciding, that Plaintiffs could prove that the alleged 
discriminatory pricing system violates the Robinson-Patman Act which prohibits discrimination in prices under certain 
circumstances. In relevant part, the Act provides that: HN3[
] It shall be unlawful for any person engaged in commerce, in the course of such commerce, either directly or 
indirectly, to discriminate in price between different purchasers of commodities of like grade and quality, where either or any 
of the purchasers involved in such discrimination are in commerce, . . . and where the effect of such discrimination may be 
substantially to lessen competition or tend to create a monopoly in any line of commerce, or to injure, destroy, or prevent 
competition with any person who either grants or knowingly receives the benefit of such discrimination, or with customers of 
either of them . . . ."
58,15," U.S.C.S. § 13(a). Also relevant to the arguments before the Court is 15 U.S.C.S. § 13a, which provides criminal penalties For 
participation in discriminatory sales. HN4[
] It shall be unlawful for any person engaged in commerce, in the course of such commerce, to be a party to, or 
assist in, any transaction of sale, or contract to sell, which discriminates to his knowledge against competitors of the 
purchaser . . . . "
59,," Any person violating any of the provisions of this section shall upon conviction thereof, be fined not more than $ 5,000 or 
imprisoned not more than one year, or both."
59,6," Northeast makes much of the fact that no court has granted standing under section 4 based on a violation of the Robinson-
Patman Act. However, the analysis required by the Supreme Court to determine whether a plaintiff has standing under section 4 
of the Clayton Act does not depend upon whether the underlying violation is of the Sherman Act or of the Robinson-Patman Act. 
(see discussion of Associated General, infra). Therefore, the Court is not constrained to consider only those cases based on 
Robinson-Patman violations."
59,7," In this case, the Court of Appeals for the Ninth Circuit adhered to its prior decision in Ostrofe v. H. S. Crocker Co., 670 F.2d 
1378 (9th Cir. 1982), vacated, 460 U.S. 1007 (1983). The earlier decision will be referred to as ""Ostrofe I"" and the decision on 
remand as ""Ostrofe II""."
59,8," There is contrary authority at the district court level in the Third Circuit. See Shaw v. Russell Trucking Line, Inc., 542 F. Supp. 
776 (W.D. Pa. 1982). However, the decision in Gregory Marketing Corp. v. Wakefern Food Corp., 787 F.2d 92 (3d Cir. 1986), 
denying standing to a broker who alleged retaliatory discharge for refusal to violate the Robinson-Patman Act, suggests, without 
deciding, that the Third Circuit would deny standing to an employee claiming retaliatory discharge for refusal to violate the 
antitrust laws."
