Page,Label,Text
31,1," Plaintiff also argues that its claims are not barred by the statute of limitations because of the continuing violation doctrine.HN7[ ]  ""Antitrust law provides that, in the case of a continuing violation, say a price fixing conspiracy that brings about a series of unlawfully high priced sales over a period of years, each overt act that is part of the violation and that injures the plaintiff, e.g., 
each sale to the plaintiff, starts the statutory period running again, regardless of the plaintiff's knowledge of the alleged illegality 
at much earlier times."" Klehr v. A.O. Smith Corp., 521 U.S. 179, 189, 117 S. Ct. 1984, 138 L. Ed. 2d 373 (U.S. 1997). Plaintiff 
claims that it is suffering a continuing violation because defendants ""continue to conspire"" and continue ""to claim ownership"" of 
ETBW, and that the defendants ""continue to profit"" from ETBW. (plf. response to def. motion at 6). However, because we find, 
as discussed below, that none of these alleged actions constitutes an antitrust violation, we find that the continuing violation 
doctrine does not apply to these facts. "
33,2," We note that though plaintiff has survived the statute of limitations at the pleading stage, its likelihood of survival past this point 
is remote."
33,3," Plaintiff claims that its failure to plead fraudulent concealment with particularity should not prove fatal to its claim. Plaintiff relies 
on Fine v. Jansen, 1986 U.S. Dist. LEXIS 21991, 1986 WL 8731 (N.D. Ill. 1986), for this proposition. In Fine, the court held that a 
plaintiff alleging corporate fraud could survive a motion to dismiss, where the plaintiff made a number of the fraud allegations 
upon information and belief. The court reasoned that in situations such as this, where most of the information necessary will be 
in the hands of the defendants, the plaintiff cannot be required to know all the details of the alleged fraudulent scheme. The court 
found that the plaintiff had alleged sufficient facts within its knowledge to support the fraud claim, and therefore, the pleading of 
the specifics of the scheme upon information and belief was sufficient to state a claim upon which relief could be granted. That 
case is inapposite here. Plaintiff here has not alleged any of the facts deemed to be within its knowledge, nor has it alleged any 
of the specifics of the fraudulent concealment scheme, upon information or belief, or otherwise. Therefore, plaintiff's claim must 
fail. "
34,4," Again we note, as above, that plaintiff's chances of survival beyond the pleading stage are remote, based on these allegations. "
35,5," Plaintiff extracts this statement from a portion of the complaint introducing the parties generally, and does not reference this act 
anywhere in its claims. "
36,6," In para. 21 of plaintiff's third amended complaint it notes that five radio stations were involved in the planning of the black expo, 
two of which allegedly belonged to defendants. Plaintiff does not allege that these five stations are the only ones in the Chicago 
metropolitan area with heavy African-American listenership, nor allege misconduct by defendants' other radio station not a party 
to this action."
36,7," At one point plaintiff's complaint alleges that defendant Merry Green and MGPG ""continue to count WVAZ and [ETBW] as 
clients,"" but three paragraphs later states that ""Merry Green continues to conspire with WVAZ and the Clear Channel 
Defendants to claim ownership of [ETBW]."""
36,8," We have found no cases that hold that using one party's resources to promote a joint venture constitutes anti-competitive 
conduct or an antitrust violation. However, even if such conduct was considered anti-competitive, at most it would be evaluated 
under the rule-of-reason standard. See Car Carriers, 745 F.2d at 1108. HN24[
] This standard contains a threshold 
requirement where plaintiff must first show defendants' market power. Valley Liquors, Inc. v. Renfield Importers. Ltd., 822 F.2d 
656, 666 (7th Cir. 1987). If plaintiff fails to do so, as plaintiff here has, then the inquiry is ended. Id. "
37,9," Plaintiff claims, in its response to defendants' motion to dismiss, that it has sufficiently alleged an antitrust violation, and that it 
has consistently alleged that Clear Channel and its radio stations fixed prices and interfered with sponsorships in order to make 
non-Clear Channel expos unappealing to vendors, sponsors and consumers. We first note that a complaint may not be 
amended by the brief in opposition of the motion to dismiss. Car Carriers, 745 F.2d at 1107. However, even if we were to look at 
these statements as being consistent with the well-pleaded allegations in the complaint, none of plaintiff's allegations is evidence 
of price-fixing. At most, plaintiff has alleged price discrimination, an allegation that falls under the Robertson-Patman Act, which 
we discuss below. "
46,1," The manufacturing parties are Defendants Thomas Mosey, Dots of Fun, International Laser Expressions, Inc., Nicholas Angus, 
and Frosty Bites, Inc. (now known as Mini Melts, Inc.). Defendant Frosty Bites Distribution, its various local affiliates, and 
individuals such as founder Victor Bauer are the distributing parties. The issues in this case are not generally resolved in a 
manner unique to particular defendants, so we refer collectively to ""the defendants"" where appropriate."
