���X,���e
1,"|  About LexisNexis  |  Privacy Policy  |  Terms & Conditions  |  Copyright © 2023 LexisNexis   Documents (30) Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District"
2,"|  About LexisNexis  |  Privacy Policy  |  Terms & Conditions  |  Copyright © 2023 LexisNexis   Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court"
3,"|  About LexisNexis  |  Privacy Policy  |  Terms & Conditions  |  Copyright © 2023 LexisNexis   Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st"
4,"|  About LexisNexis  |  Privacy Policy  |  Terms & Conditions  |  Copyright © 2023 LexisNexis   Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court"
5,"|  About LexisNexis  |  Privacy Policy  |  Terms & Conditions  |  Copyright © 2023 LexisNexis   Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st"
6,"|  About LexisNexis  |  Privacy Policy  |  Terms & Conditions  |  Copyright © 2023 LexisNexis   Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court"
7,"|  About LexisNexis  |  Privacy Policy  |  Terms & Conditions  |  Copyright © 2023 LexisNexis   Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court Content Type Narrowed by Cases Practice Areas & Topics: Antitrust & Trade Law; Court: 1st  Circuit > Maine District Court,Massachusetts District  Court,New Hampshire District Court,Puerto Rico District  Court,Rhode Island District Court"
8,"Wm. Filene's Sons Co. v. Fashion Originators' Guild, Inc. Reporter 14 F. Supp. 353 *; 1936 U.S. Dist. LEXIS 1312 ** Core Terms Opinion"
17,"United States v. Lake Asphalt & Petroleum Co. Reporter 1960 U.S. Dist. LEXIS 4801 *; 1960 Trade Cas. (CCH) P69,835 Core Terms Opinion"
21,"United States v. Allied Chem. Corp. Reporter 1960 U.S. Dist. LEXIS 4741 *; 1961 Trade Cas. (CCH) P69,923 Core Terms Opinion"
24,"United States v. Bituminous Concrete Assn., Inc. Reporter 1960 U.S. Dist. LEXIS 4812 *; 1960 Trade Cas. (CCH) P69,878; 1960 WL 66003 Core Terms Opinion"
28,"Union Leader Corp. v. Newspapers of New England, Inc. Reporter 218 F. Supp. 490 *; 1963 U.S. Dist. LEXIS 10508 ** Core Terms Opinion"
31,United States v. Grinnell Corp. Reporter 236 F. Supp. 244 *; 1964 U.S. Dist. LEXIS 9777 ** Core Terms LexisNexis® Headnotes
33,Opinion
46,"Stanton v. Texaco, Inc. Reporter 289 F. Supp. 884 *; 1968 U.S. Dist. LEXIS 12563 **; 1968 Trade Cas. (CCH) P72,595 Core Terms LexisNexis® Headnotes"
