Page,Label,Text
37,1," In a Supplemental Memorandum filed with the court on June 28, 2002, the plaintiff argues that the opinion of counsel letters 
produced by the defendants state that the Trex products may infringe upon the plaintiff's patent and therefore, the defendants' 
contention that the underlying patent infringement case is baseless is unreasonable. See Dkt. 44. However, the court does not 
agree. The opinion of counsel letter also states that certain claims of the '831 patent may be invalid based on prior public use 
and the Zagelmayer patent. This portion of the letter gives the defendants a reasonable basis to argue that the plaintiff's patent 
is invalid and that the infringement suit is groundless. "
46,1, Terms of the ORIGINAL SETTLEMENT AGREEMENT were as follows:
46,1," . Bresea agreed to pay $ 9 Million CDN to Deloitte, in its capacity as Trustee of the Estate of Bre-X Minerals, Ltd., that 
after the payment of certain expenses, including attorneys' fees, would be available for distribution to Bre-X shareholders in 
the U.S. and Canada. "
47,2," . Bresea would create a pool consisting of shares equal to ten percent of the common equity of reorganized Bresea for the 
benefit of Bresea shareholders in the U.S. and Canada."
47,3," . Bresea would pool any recoveries obtained from certain insider defendants in this action, the Ontario Class Actions, and 
the Trustee's Actions, and Deloitte would distribute those recoveries to Bre-X shareholders. "
48,2," Though not specifically deciding the point at which the certification determination is made, it is clear that other courts have 
taken a similar approach to certification. See Shaw v. Toshiba Am. Info. Sys., 91 F. Supp. 2d 942 (E.D. Tex., 2000) (court 
engaged in extensive Rule 23 analysis after preliminary certification and fairness hearing.) See also In re Engineering Animation 
Securities Litigation, 203 F.R.D. 417 (S.D. Iowa, 2001) (court in shareholder class action addressed in detail the requirements of 
Rule 23 in an order issued after the fairness hearing was held.) Additionally, the purpose of the preliminary approval is to detect 
any obvious defects that will preclude final approval of the settlement, and the purpose of initial certification is so that notice may 
be sent to the proposed class. See Manual for Complex Litigation, Third, pg. 236-237."
48,3," The Court undertook a similar analysis in its January 2002 order as the Court determined that the over-broad nature of the 
proposed settlement class was fatal to any possibility that a settlement class could be finally approved. The Court was required 
to consider the appropriateness of the pre-complaint class members and the post- Freeport MacMoran announcement members 
at the preliminary approval stage because, as was the case in Ortiz, the Court had no other opportunity to address those specific 
issues. "
58,1, The complaint does not specify the nature of this allegation. 
60,2," The dissent argues that we should also consider a third purpose, judicial economy. Dissenting Opinion, infra, at [3]. However, 
the Supreme Court has consistently held that there are only two purposes to consider in determining whether to apply the 
primary jurisdiction doctrine - uniformity and expertise. See  W. Pac. R.R. Co., 352 U.S. at 64. Despite ample opportunity during 
the ninety-five years since it created the doctrine, see supra at [4-7], the Supreme Court has never identified judicial economy as 
a relevant factor. No doubt the reason is that considerations of judicial economy cannot assist a primary jurisdiction analysis, as 
it will always be more economical, from a judge's point of view, to dismiss a case or quickly refer it to an administrative agency, 
instead of adjudicating it himself. We are enjoined to resist this temptation because of ""the virtually unflagging obligation of the 
federal courts to exercise the jurisdiction given them."" Cob. River Water Conservation Dist. v. United States, 424 U.S. 800, 817, 
47 L. Ed. 2d 483, 96 S. Ct. 1236 (1976) (citations omitted). "
62,3," The dissent argues that reliance on agency expertise favors dismissal. Dissenting Opinion, infra, at [1-3]. The dissent relies on 
the fact that, because Tassy has brought a discrimination claim, the District Court will have to compare Brunswick's treatment of 
him to its treatment of similarly situated physicians of other races and national origins, a comparison that would be better made 
by the PHC. This argument, we suggest, suffers from two flaws. First, there is no reason to believe that the PHC would even be 
able to conduct the comparative analysis to which the dissent alludes. While New York Public Health Law § 2801-b(2) authorizes 
the PHC to determine whether Brunswick properly suspended Tassy's privileges under New York Public Health Law § 2801-b(1) 
(i.e., whether Brunswick suspended Tassy's privileges on the basis of his character), we are not aware of any statute or 
regulation that authorizes the PHC to determine whether Brunswick properly suspended Tassy's privileges under 42 U.S.C. § 
1981 (i.e., whether Brunswick denied Tassy ""the same right. . . to make and enforce contracts. . . as is enjoyed by white 
citizens""). Second, even if the PHC were able - and willing - to conduct this analysis, it still would not implicate the PHC's 
medical expertise. As the dissent points out, Tassy's § 1981 claim is based on his allegation that Brunswick has taken measures 
against him ""which have not been taken against white doctors accused of much more serious indiscretions and much more 
significant misconduct."" Dissenting Opinion, infra, at [1-2]. For the reasons discussed in the text supra, an examination of 
""indiscretions"" and ""misconduct"" directed at a co-worker does not implicate the PHC's medical expertise, regardless of who is 
alleged to have committed the indiscretions and misconduct. "
