Page,Label,Text
22,1," (Answer to First Amended Complaint for Damages, hereafter, ""Answer,"" Docket Item No. 7.) "
23,2," In Anza, the plaintiff alleged the defendants ""defraud[ed] the New York tax authority and us[ed] the proceeds from the fraud to 
offer lower prices designed to attract more customers."" Id. at 457-458. The cause of the plaintiff's injury was an intervening "
24,," lawful set of actions (lowering prices) completely separate from the alleged RICO violation. Id. at 458. The Supreme Court 
concluded that proximate cause was absent in the RICO claim. Id. The Supreme Court observed that the intervening set of 
actions could have been carried out for a number of lawful reasons. Since the injury was allegedly caused by the defendants 
lowering prices, the alleged RICO violation was not the direct cause of injury to the plaintiff. Id. at 459-460."
24,3," (Plaintiff's Memorandum of Points and Authorities in Opposition to Defendant Irish Construction's Motion for Judgment on the 
Pleadings at 5-6, hereafter, ""Opposition,"" Docket Item No. 28.)"
24,4," Since the Court finds that Plaintiff lacks standing to bring a RICO claim, the Court need not address Defendant's other grounds 
for judgment on the pleadings. "
28,1," The largest OEMs, or 'Tier Ones' as they are sometimes referred to in the industry, account for roughly 80% of worldwide 
server and workstation (special high-powered desktops) sales, some 40% of desktop sales and nearly 80% of notebook sales. 
See Plaintiffs' Joint Preliminary  [*7] Case Statement (""PJCS"") (D.I. 872) at 18. They include Hewlett-Packard (""HP""), which 
acquired Compaq Computer (""Compaq"") in 2002, Dell, IBM, which sold its PC (but not server) business to Lenovo in May 2005, 
Fujitsu, and Fujitsu-Siemens. Id. Acer, which completed its purchase of Gateway/emachines in October 2007, NEC, Toshiba, 
and Sony are commonly considered Tier 1 OEMs, the last two principally in the notebook segment of the PC market. Id. Dell and 
HP are the dominant players, accounting for over 30% of the worldwide desktop and mobile sales, and almost 60% of worldwide 
server sales. Id. "
33,2," The Amended Briefing Schedule was further amended on four  [*24] separate occasions. (On April 16, 2009 (D.I. 1707 and D.I. 
1708); on June 30, 2009 (D.I. 1965); on November 9, 2009 (D.I. 2245); and on December 7, 2009 (D.I. 2263))."
33,3," At the Special Master's request Dr. Leffler provided a revised Reply Declaration on August 29, 2009. (D.I. 2069). The revised 
Reply Declaration was the same in substance but added certain missing citations. "
34,4," See Coalition to Save Our Children v. Bd. Of Educ. Of the State of Delaware, 90 F.3d 752, 789-90 (3d Cir. 1996). "
35,5," The Special Master noted that although two of the cases cited by the parties dealt with the scope of supplemental expert 
reports, he was satisfied that there was ""no distinction"" between the scope of supplemental and rebuttal expert testimony in the 
ultimate analysis here. (D.I. 2457) at 6:9-6:17."
35,6," See Palmer v. Asarco Inc., 2007 U.S. Dist. LEXIS 56969, at *15 (N.D. Okl. 2007)."
35,7," See also Cook v. Rockwell Int'l Corp., 580 F. Supp. 2d 1071, 2006 U.S. Dist. LEXIS 89121 (D. Colo. Dec. 7, 2006)."
35,8, Id.
35,9," See In Re Graphics Processing Units Antitrust Litigation, 253 F.R.D. 478, 501 (N.D. Cal. 2008) (""GPU II"") (striking portions of 
expert where reply report raised new points that should have been raised in the opening report and was based on previously 
available information)."
35,10," By correspondence dated April 12, 2010, the Special Master advised counsel that the Report and Recommendations 
Regarding Intel's Corporation's Motion to Preclude New Analyses ""was in the nature of a motion in limine . . . [and] any party 
choosing to file objections to the Special Master's Order. . . shall do so subsequent to the Hearing."" (D.I. 2408). Counsel 
confirmed the Special Master's directive with a Stipulation and Order to the same effect. (D.I. 2466). "
36,11,"  A. Intel Database: Intel Lump Sum = Intel Total Payments — Intel Price Discounts B. OEM Allocations Not In Intel Database i. Dell Database: Dell Price Discounts ii. Others: Estimate Percent Missing (% Missing) from comparison of Dell Database to Intel Database % Missing = (Dell Price Discount - Intel Dell Price Discount)/ Intel Dell Price Discount C. Total Loyalty Payments = Intel Lump Sum - (Dell Price Discount - Intel Dell Price Discount) - (1 + %M) * Others Price 
Discount (D.I. 2456, Class Hearing — Leffler Exh. 59)."
36,12," Intel objected to ""Issue 1"" listed on Class Hearing — Leffler Exhibit 58, objected in part to ""Issue 2"", and did not object to 
""Issue 3"" on Exhibit 58. (D.I. 2439) at 703:13-18. The Special Master permitted Dr. Leffler to testify regarding Class Hearing — 
Leffler Exhibits 58-61, for Intel to make a record regarding these slides, and to treat Intel's objection as a motion to strike after 
Dr. Leffler's testimony. Id. at 704:12-24. After a brief recess, Class Plaintiffs withdrew Exhibits 59 and 60, offering slides 59A and 
60A, and Intel cross-examined Dr. Leffler on original exhibits 59 and 60. (D.I. 2439) at 707:9-24. "
40,13," Intel does not challenge the sufficiency of Dr. Leffler's qualifications. See Intel's Memorandum in Support of Motion to Exclude 
(D.I. 1255) at 1. Thus, factor seven weighs in favor of admission of Dr. Leffler's testimony, without the Special Master having to 
address the sufficiency of Dr. Leffler's qualifications."
40,14," Class Plaintiffs cite two cases in support of their argument that Dr. Leffler's testimony should not be excluded by the Court, but 
should be assessed by the jury. See Motion to Exclude Opposition (D.I. 2016) at 8-9 (citing Stecyk v. Bell Helicopter Textron, 
Inc., 295 F.3d 408, 414 (3d Cir. 2002), McLean v. 988011 Ontario, Ltd., 224 F.3d 797, 801 (6th Cir. 2000)). The Special Master 
concludes that these cases do not support Class Plaintiffs' arguments. In Stecyk, the Court held that ""[i]t is an abuse of 
discretion to admit expert testimony which is based on assumptions lacking any factual foundation in the record."" 295 F.3d at 
414. The court admitted the expert testimony at issue because it ""reflect[ed] a factual foundation sufficient to support . . . [the 
expert's]  [*48] testimony."" Id. In the matter sub judice, the Special Master concludes that Dr. Leffler's opinions are inadmissible 
pursuant to Fed. R. Evid. 702 precisely because he has not demonstrated a factual foundation for his opinions. See also 
McLean, 224 F.3d at 801 (causation expert's conclusions must ""have a basis in established fact and cannot be premised on 
mere suppositions"" and must ""find some support for those assumptions in the record.""). "
41,15," Dr. Leffler later amended the overcharge to ""at least 14% or so lower"". See Deposition of Dr. Keith Leffler dated October 8, 
2009 (""Leffler Dep. Tr. II"") (D.I. 2270, Exh. 2) at 799:3-5."
41,16," Dr. Leffler states that ""[t]he statistical analysis need not be specific to microprocessors. The question of interest is how 
retailers and OEMs react to cost changes, from whatever source,  [*51] that approximates the size of an Intel microprocessor 
overcharge."" See Leffler Decl. I (D.I. 920) at ¶ 96, n. 146."
41,17, The reliability of the Dell data is addressed separately below.
41,18," Intel points out that, in answering why the Mercury research data had been relegated to a footnote, Dr. Leffler responded that 
the Mercury Research data was ""not to be given any particular weight at all."" See Leffler Dep. II (D.I. 2270, Exh. 2) at 400:14-
401:1. The Special Master concludes that, although stated inartfully, a full reading of Dr. Leffler's testimony reveals that Dr. 
Leffler did not literally mean that the Mercury Research data was to be given less weight than other data in his analysis. Rather, 
the Special Master concludes that Dr. Leffler was merely explaining his use of a footnote in the text of his report. Id. at 400:25-
401:1. "
42,19," ""Stacking"", ""short for stacked generalization, is a term of art in the field of statistics referring to combining results of different 
models."" See In re GPU, 253 F.R.D. at 494 (internal citations omitted). "
43,20," Class Plaintiffs' response is that ""Intel makes no showing whatsoever that larger cost changes are passed on at any different 
rate than smaller cost changes.  [*57] Indeed, Intel can identify no bias, which is the only relevant economic question, in the 
pass-on estimation of the Internet regression."" See Motion to Exclude Opposition (D.I. 2016) at 13. The Special Master 
concludes that Class Plaintiffs fail to address the fact that Dr. Leffler's regression analysis does not isolate the alleged Intel 
overcharge by comparing different processors of different qualities and failing to control for quality differences."
43,21," Intel claims that Dr. Leffler's retailer regressions do not address the relationship between Intel's microprocessor price and the 
downstream computer price because they relate solely to one link in the distribution chain — the retailer link. See Motion to 
Exclude (D.I. 1254) at 13. Class Plaintiffs counter that Dr. Leffler's regressions, when considered ""as a group"" demonstrates that 
""the probability of higher PC costs not being passed on is 'less than one hundredth of one percent.'"" See  [*60] Motion to 
Exclude Opposition (D.I. 2016) at 8. The Special Master does not address that specific argument here but instead focuses on 
the other analytical gaps in Dr. Leffler's retailer regressions. "
