Page,Label,Text
24,1," Kingston alleges that Spex ""got nothing of value other than the ability to extract licensing fees from Kingston and other 
companies for claims it knew were invalid."""
24,2," In its Notice of Supplemental Authority, Kingston directed the Court's attention to the Opinion of the Federal Trade Commission 
in In re: 1-800 Contract, Inc., FTC No. 9372, Slip Op. at 12-16 (FTC Nov. 7, 2018) to argue that Actavis applies outside of the 
Hatch-Waxman context. Spex should come prepared to discuss this case at the hearing."
24,3," Kingston alleges Spex valued these licenses at over $10 million, and gave them to avoid an adjudication resulting in its claims 
being found invalid. See Amended Answer ¶ 3. "
31,1," The background of the parties' dispute and the resulting litigation (some of which we discuss further below) is set forth in this 
court's opinion addressing an earlier appeal in this matter. (Rincon EV Realty LLC v. CP III Rincon Towers, Inc. (2017) 8 
Cal.App.5th 1, 5–7 [213 Cal. Rptr. 3d 410] (Rincon I).) The plaintiffs are Rincon EV Realty LLC, Rincon ET Realty LLC and 
Rincon Residential Towers LLC. (Id. at p. 5.) The defendants are (1) CP III Rincon Towers, Inc. (CP III), (2) other “Carmel 
Partners” entities (Carmel Partners, Inc.; Carmel Partners, LLC; Carmel Management, LLC; and Carmel Partners Investment 
Fund III, L.P.), (3) U.S. Bank National Association (USB) as trustee for the Maiden Lane Commercial Mortgage-Backed 
Securities Trust 2008-1 (the Maiden Lane Trust), (4) the Maiden Lane Trust, and (5) Maiden Lane LLC. (Id. at pp. 6–7.) "
32,2," In their summary judgment motion, defendants also argued judgment in their favor was appropriate on the alternative ground of 
collateral estoppel. Judge Kahn did not reach that argument. Because we affirm on the ground addressed by Judge Kahn, we 
need not address defendants' argument that collateral estoppel provides an alternative basis for affirmance. "
33,3," California courts have stated the “‘better practice’ is for ‘the trial court [to] determine the equitable issues before submitting the 
legal ones to the jury’” (Hoopes, supra, 168 Cal.App.4th at p. 157) and have referred to this approach as the “‘“equity first” rule’” 
(Orange County Water Dist. v. Alcoa Global Fasteners, Inc. (2017) 12 Cal.App.5th 252, 355 [219 Cal. Rptr. 3d 474] (Alcoa)). But 
the same preclusion principle applies when the legal claims are decided first by a jury, i.e., the jury's findings are binding in the 
trial court's subsequent disposition of the equitable claims. (Hoopes, supra, at p. 157.)"
33,4," The situation is different when the government brings a UCL claim for civil penalties, historically a legal claim as to which there 
is a right to a jury trial. (Nationwide Biweekly Administration, Inc. v. Superior Court (2018) 24 Cal.App.5th 438, 454–455 [234 
Cal. Rptr. 3d 468], review granted Sept. 19, 2018, S250047.) "
36,5," Also incorrect is plaintiffs' assertion that this court's “mandate, after Rincon I and footnote 12, was to try the case on the legal 
claims with plaintiffs' jury demand granted.” As noted, we stated in footnote 12 that “the fact we reverse in part for lack of an 
enforceable jury waiver does not mean plaintiffs are necessarily entitled to a jury trial on their remaining legal claims.” (Rincon I, 
supra, 8 Cal.App.5th at p. 20, fn. 12, italics added.) "
42,1," R. Doc. 77. Before Dr. Morice filed a first supplemental and amending complaint (R. Doc. 64), Defendants had filed a motion to 
dismiss (R. Doc. 21) the original complaint (R. Doc. 1), to which Dr. Morice filed an opposition (R. Doc. 30), in further support of 
which Defendants filed a reply (R. Doc. 33), and in further opposition to which Dr. Morice filed a surreply (R. Doc. 36). The Court 
granted Defendants' motion to dismiss in part for Dr. Morice's failure to seek leave of court to proceed anonymously and directed 
Dr. Morice to file an amended complaint that disclosed his identity. R. Doc. 52. Dr. Morice did so in his first supplemental and 
amending complaint, which repeated verbatim the original allegations, but also added certain allegations relating to Defendants' 
denial of Dr. Morice's application for reappointment of privileges in obstetrics. R. Doc. 64. The Defendants' second motion to 
dismiss and Dr. Morice's response thereto largely repeat arguments made concerning the original motion to dismiss. The first 
supplemental and amending complaint supersedes the original complaint and moots the balance of the original motion to 
dismiss. Nevertheless, to the extent any arguments made concerning the original motion to dismiss are applicable to resolving 
the instant motion, the Court considers them here."
42,2, R. Doc. 82.
