Page,Label,Text
22,1," Plaintiff also sought a declaratory judgment that an arbitration agreement, entered into between himself [*3]  and defendant, 
was invalid. The court dismissed plaintiff's declaratory judgment claim on defendant's motion by order entered April 16, 2014."
22,2," In support of its motion for summary judgment, defendant relies on: excerpts from plaintiff's deposition transcript, (Pl.'s Dep., 
DE 55-1); plaintiff's responses to defendant's first set of requests for production (""RFP""), (Pl.'s RFP Resp., DE 55-2); plaintiff's 
response to defendant's first set of interrogatories, (Pl.'s Interrog. Resp., DE 55-3); and defendant's responses to plaintiff's first 
set of requests for admissions (""RFA""), (Def.'s RFA Resp., DE 55-4). In addition, defendant relies on an email from plaintiff to 
defense counsel, dated October 20, 2015, (Oct. 20 Email, DE 55-5); and a series of emails, one from defense counsel to 
plaintiff, dated May 21, 2015, and a response from plaintiff to defense counsel, dated May 24, 2015, (May Emails, DE 55-6)."
22,3," In support of his motion for summary judgment, plaintiff relies on: defendant's responses to his RFAs, which are substantively 
identical to defendant's RFA submission lodged in the docket at entry 55-4, (Def.'s RFA Resp., DE 65-1); and defendant's 
response to his first [*6]  RFP, (Def.'s RFP Resp., DE 65-2). In addition, plaintiff relies on two emails. Specifically, plaintiff cites 
an email from plaintiff to Chuck Murray, defendant's general manager, (Murray Email, DE 65-3); and an email from plaintiff to 
Frank Belflower, defendant's former chief operating officer, and Murray, (Belflower and Murray Email, DE 65-4). Plaintiff also 
relies on an EZ Code marketing brochure, which includes plaintiff's own notation that it was ""obtained from [defendant's] website 
on September 10, 2013,"" (EZ Code Brochure, DE 65-5); an EZ Code sales and royalty report, dated December 31, 2015, (EZ 
Code Royalty Report, DE 65-6); as well as documents published by defendant regarding dealer pricing for the EZ Code "
23,," machine, from 2008 until present, (DE 65-7). Further, plaintiff relies on several publications regarding the RapidKey 7000, the 
rights to which were sold to a third party in April 2015. Those documents include: the sales agreement between plaintiff and the 
purchaser of his rights in the RapidKey 7000, dated April 23, 2015, (Sales Agreement, DE 65-9); a picture of the RapidKey 7000, 
(RapidKey 7000 Picture, DE 65-10); a magazine article listing the RapidKey 7000 as a ""top [*7]  2015 electronic key machine,"" 
(Magazine Excerpt, DE 65-11); and a photo of the RapidKey 7000 production room and assembly line, taken around February 
2012, (DE 65-12). Finally, plaintiff relies on a print out from the P.A.C.E.R. system detailing defendant's involvement in more 
than 50 law suits, (PACER Report, DE 65-13); as well as his own affidavit, dated January 15, 2016, (Pl.'s Aff., DE 65-14). 
Plaintiff relies on these same documents in opposition to defendant's motion for summary judgment. (See Pl.'s Br., DE 62). Plaintiff also relies on the following in response to defendant's motion for summary judgment: a supplement to his affidavit, (Pl.'s 
Supp. Aff., DE 71); several pieces of marketing material related to the RapidKey 7000, (DE 71-1 through 71-4, 71-6, 71-7, 71-9); 
additional excerpts from his deposition, (Pl.'s Dep., DE 71-5); and his supplemental responses to defendant's interrogatories, 
(Pl.'s Supp. Interrog. Resp., DE 71-8)."
23,4," Defendant submitted a ""statement of material facts,"" (DE 54), to which plaintiff lodged objections. (DE 63). Defendant's 
""statement of material facts"" addresses this case's procedural posture, including plaintiff's [*8]  conduct during the course of 
discovery, rather than the material facts at issue in this dispute. As such, the court has gleaned the ""undisputed material facts"" 
from the parties' various evidentiary submissions."
23,5," At least one of plaintiff's exhibits, the Belflower and Murray Email, belies this contention in part. In [*9]  particular, part of that 
exhibit includes an advertisement for the EZ Code, apparently retrieved by plaintiff from defendant's website on or about August 
20, 2013. That brochure, with regard to the ""patent pending"" claim, reads as follows: ""The Ilco EZ Code electronic machine cuts 
traditional automotive and commercial keys by code or duplication. Features include an internal database of codes and cut 
specifications, patent pending 'Automatic Key Edge Detection' and automatic depth calibration."" (Belflower and Murray Email, 3). 
Given the lack of serial comma in the second sentence of that description, ""patent pending"" could refer to both ""Automatic Key 
Edge Detection"" and ""automatic depth calibration."" However, given the fact that ""patent pending"" immediately proceeds 
""Automatic Key Edge Detection,"" as well as the fact that the phrase ""Automatic Key Edge Detection"" is both capitalized as a 
proper noun and set off in quotations, as compared to ""automatic depth calibration,"" which is neither, the most reasonable 
construction of that document is that defendant's false ""patent pending"" mark reached only the ""Automatic Key Edge Detection"" 
feature."
23,6," Whether plaintiff and defendant were in direct competition is a disputed fact. However, in light of the resolution reached below, 
the court assumes that the parties were competitors. In any case, certain of plaintiff's evidence, in particular the marketing 
materials lodged in the docket at entry 71-3, fairly could be read to undermine this assertion. Specifically, [*11]  that document 
lists various key cutting machines, including the RapidKey 7000 and EZ Code. It describes the EZ Code as a ""code cutting"" 
machine that cuts ""edge cut [keys] - single, double, cruciform."" (DE 71-3, 3). By contrast, that document describes the RapidKey 
7000 as a ""code cutting duplicator,"" that cuts ""flat steel, safe deposit, corrugated, paracentric and Mogul [keys], single sided, 
doublesided."" (Id., 4). Although the court does not rely on this document in the statement of the facts, it does seem to undermine 
plaintiff's assertion that he and defendant were in ""direct competition"" given the apparent difference in types of keys serviced. "
24,7," In plaintiff's supplemental affidavit, he avers that he last sold the CodePro 4500 in 2011. However, in his earlier given 
deposition, plaintiff testified that he last sold that same product in 2014. Given this inconsistency, the court relies only on 
plaintiff's earlier given testimony. See Grace v. Family Dollar Stores, Inc. (In re Family Dollar FLSA Litig.), 637 F.3d 508, 512-13 
(4th Cir. 2011) (holding if affidavit inconsistent with prior deposition testimony, the court may disregard the affidavit)."
24,8," Although the Sales Agreement shows that plaintiff sold his rights in the RapidKey 7000 in April of 2015, at his deposition he 
testified that the purchaser began selling the RapidKey 7000 some six months earlier, in October of 2014. "
25,9," Plaintiff initially indicated that he sought statutory damages under 35 U.S.C. § 292 (2006), which authorized qui tam suits 
against offenders on behalf of the United States. Realtors were entitled to recover up to $500.00 for ""every such offense,"" with 
one-half of the total recovery owed to the United States. Id. However, the qui tam provision of the false marking statute was 
repealed in 2011. See 35 U.S.C. § 292 (2012). Because of the 2011 amendments, private parties, who previously could have "
26,," sued to recover statutory damages, now may recover the entire amount of loss suffered by such party as a result of ""competitive 
injury."" Id."
26,10," In Sukumar, the Federal Circuit likened the ""competitive injury"" requirement to the concept of ""injury to competition"" under 
antitrust law. See 785 F.3d at 1401."
26,11," There is evidence that plaintiff's sales, at one time, may have been as high [*20]  as 19 machines in one year. (See Pl.'s Dep., 
120:1-7). However, there is insufficient context from which to infer that plaintiff's sales ever sustained that level of success. In 
addition, there is insufficient context to suggest that plaintiff's sales were so high in the years 2006 and 2007, immediately before 
defendant's first use of the false mark. The court is unwilling to speculate on that point."
