Page,Label,Text
46,1," The Merck Defendants (""Merck"") consist of Merck & Co., Inc.; Merck Sharp & Dohme Corp.; Schering-Plough Corp.; Schering 
Corp.; and MSP Singapore Co. LLC. The Glenmark Defendants (""Glenmark"") consist of Glenmark Pharmaceuticals, Ltd. and 
Glenmark Pharmaceuticals Inc., USA, the latter incorrectly identified as Glenmark Generics Inc., USA. "
47,2," The court ADOPTS in full the Magistrate Judge's recitation of the relevant background and need not repeat it here. See R&R at 
2-18."
47,3," An ""AB-rated generic equivalent"" is a generic bioequivalent to a branded drug. See R&R at 4. "
48,4," HN6[
] Indeed, because the market power inquiry is merely a surrogate, the Supreme Court has explained that ""'proof of actual detrimental effects, such as a reduction of output,' can obviate the need for an inquiry into market power . . . ."" Ind. Fed'n 
of Dentists, 476 U.S. at 460-61 (quoting 7 P. Areeda, Antitrust Law ¶ 1511, p. 429 (1986)). A ""finding of actual, sustained 
adverse effects on competition"" may be ""legally sufficient to support a finding that the challenged restraint was unreasonable 
even in the absence of elaborate market analysis."" Id. at 461. However, the Motion for Summary Judgment addresses the 
definition of the relevant market, not whether direct proof of actual detrimental effects has obviated the need for Plaintiffs to 
define the relevant market. See ECF No. 1078 at 1 (noting that Plaintiffs seek summary judgment on ""the indirect side"" of the 
market power issue). "
49,5," In this Memorandum Order, reference to ""non-ezetimibe drugs"" includes all drugs other than Zetia and its AB-rated generic 
equivalents."
49,6," Throughout this discussion, the court describes each objection and aspect of the record referenced by either Defendant as 
""Defendants'"" objection or evidence. Dissecting which Defendant objected to or referenced a particular aspect of the record is 
unnecessary, as sustaining any single outcome-determinative objection will inure to the benefit of both Defendants. "
50,7, See supra Part IV.A. 
51,8, See infra Part IV.B.3.
51,9," Defendants take issue with this characterization. See ECF No. 1419 at 26; ECF No. 1423 at 30. The court reads the R&R's 
description of ""ordinary competition"" to simply refer to profit-maximizing activity that does not demonstrate constraints imposed 
by non-ezetimibe drug pricing. A showing of cross-price elasticity with non-ezetimibe drugs would have sufficed to defeat the 
Motion for Summary Judgment whether or not one categorized the supporting evidence as demonstrating ""ordinary competition,"" 
in the colloquial sense. Defendants did not make this showing. "
63,1," Nearly four weeks after Plaintiffs filed their reply brief in support of their Antitrust Motion, Defendants filed an evidentiary 
objection (which seeks to admit a supplemental declaration from Defendants' expert) and a request for leave to file a surreply, 
both in response to what they characterize as improper new evidence and arguments in Plaintiffs' reply brief. Dkt. Nos. 533, 534. 
Defendants did not confer with Plaintiffs before filing these documents, at least one of which is properly construed as a motion 
subject to Local Rule 7-3. HN1[
] ""Filing of surreplies is highly disfavored, as it typically constitutes a party's improper attempt 
to have the last word on an issue."" Smith v. United States, No. 2:13-CV-039-JAD-GWF, 2014 U.S. Dist. LEXIS 42142, 2014 WL 
1301357, at *5 (D. Nev. Mar. 28, 2014). The arguments and evidence in Plaintiffs' reply to which Defendants object were directly 
responsive to Defendants' arguments, and therefore neither improper nor a basis for allowing leave to file a surreply. See 
Applied Materials, Inc. v. Demaray LLC, No. 5:20-CV-05676-EJD, 2020 U.S. Dist. LEXIS 236758, 2020 WL 8515132, at *1 (N.D. 
Cal. Dec. 16, 2020) HN2[
] (""[E]vidence submitted with a reply brief is not new evidence when it is submitted to rebut 
arguments raised in the opposition brief.""). Accordingly, Defendants' objection and motion for leave are DENIED."
63,2," Because Stevens fully participated in the briefing on the class certification motions before settling and is discussed extensively 
in the parties' analysis, references in this Order to Defendants include Stevens, except that any merits ruling on the arguments 
raised by Defendants does not apply to Stevens. Plaintiffs also alleged claims against five other trucking companies that settled 
before Plaintiffs moved for class certification: Western Express, Inc., Schneider National Carriers, Inc., Southern Refrigerated 
Transport, Inc., Covenant Transport, Inc., and Paschall Truck Lines, Inc. (collectively, the Settling Defendants). "
70,3," Defendants briefly dispute commonality and typicality as part of their argument that the existence of arbitration agreements 
precludes certification under Rule 23(b)(3) because common issues do not predominate. Dkt. No. 502 at 8. That argument will 
be addressed in connection with typicality and with the requirements of Rule 23(b). "
72,4," Plaintiffs have filed a motion for preliminary approval of their class action settlements with the Settling Defendants. Dkt. No. 
537. In assessing that motion, the Court addresses whether Plaintiffs adequately represent the interests of the class members in 
the broader settlement class. However, that is a separate inquiry from whether they adequately protect the interests of the 
Antitrust Class and the California Antitrust Subclass. "
74,5," The parties agree that California's Cartwright Act tracks federal law and that Plaintiffs' claims under both the Sherman Act and 
the Cartright Act are based on the same allegedly anticompetitive behavior and seek the same relief. Dkt. No. 485-1 at 13 n.3; 
Dkt. No. 502 at 7. The parties therefore have not addressed the claims separately, and neither will the Court. "
77,6," The Court therefore need not determine whether a class action would be superior to other available methods for fairly and 
efficiently adjudicating the controversy under Rule 23(b)(3), nor whether to appoint class counsel under Rule 23(g). "
78,1, The Court has jurisdiction over this action pursuant to 28 U.S.C. § 1331 and 28 U.S.C. § 1337. 
79,2," Citations to the docket are indicated by ""R."" followed by the docket number or filing name, and where necessary, a page or 
paragraph citation."
79,3," The KSA Defendants and Acuity filed separate motions to dismiss, but raise some overlapping arguments in support of 
dismissal. Acuity Mot. Dismiss; KSA Mot. Dismiss. To the extent Defendants raise similar arguments, the Court addresses those 
arguments—and Force Partners' responses—together. If only one motion to dismiss raises a certain argument, the Court so 
notes in the Opinion. The Court notes that a significant portion of Acuity's motion to dismiss and reply briefs is contained in footnotes. Arguments in 
footnotes are typically waived. See Sanders v. JGWPT Holdings, Inc., 2016 U.S. Dist. LEXIS 97722, 2016 WL 4009941, at *10 
(N.D. Ill. July 26, 2016). Moreover, the Court's Standing Order, under ""Memorandum of Law Requirements,"" states that 
""[g]enerally, the Court will not consider substantive arguments contained in footnotes."" However, Acuity filed its briefs before this 
case was reassigned to this Court, so the Court will consider the arguments raised in footnotes in Acuity's briefs. And yes, the 
Court recognizes the irony of including this admonishment in a footnote, but given that it is merely a reminder to the parties for 
future briefs filed before this Court, and is unrelated to the substance of the Opinion, the Court finds it appropriate to note in this 
manner."
79,4," The Court accepts as true all of the well-pleaded facts in the FAC and draws all reasonable inferences in favor of Force 
Partners. Platt v. Brown, 872 F.3d 848, 851 (7th Cir. 2017). "
81,5, Force Partners mislabeled Count VII as Count VI. 
83,6," The third test courts sometimes apply is the ""quick look"" analysis. As the Seventh Circuit has explained, ""the quick-look 
approach can be used when 'an observer with even a rudimentary understanding of economics could conclude that the 
arrangements in question would have an anticompetitive effect on customers and markets,' but there are nonetheless reasons to 
examine the potential procompetitive justifications."" Agnew v. Nat'l Collegiate Athletic Ass'n, 683 F.3d 328, 336 (7th Cir. 2012). 
Under the quick-look analysis, if the defendant lacks legitimate justification for facially anticompetitive behavior, then the court 
condemns the practice without ado without resort to analysis of market power. Id. Force Partners does not argue that the Court 
apply the quick-look analysis here, so the Court does not address it substantively. See FAC. "
85,7," Although the Court would usually decline to consider an argument or case asserted for the first time in a reply, see Narducci v. 
Moore, 572 F.3d 313, 323 (7th Cir. 2009), the Court touches on it briefly because Force Partners argued in its Response that 
Jim and Ashley are individually liable because they conspired with Acuity, based on their relationship with Acuity's then-CEO. 
Resp. at 17 (citing FAC ¶ 74). "
86,8," The KSA Defendants do not argue that the FAC fails to allege that an agreement existed between Defendants; rather, they 
contend that the purpose of any such agreement was not unlawful. KSA Memo. Dismiss at 9-10. Nonetheless, Force Partners is 
correct that an agreement need not be explicit to support a Section 1 claim. Pl. KSA Resp. at 18 (citing, among other cases, 
Monsanto Co. v. Spray-Rite Serv. Corp., 465 U.S. 752, 764, 104 S. Ct. 1464, 79 L. Ed. 2d 775 (1984)). "
87,9," Acuity's arguments about the validity of the alleged agreement all relate to its exclusivity, which the Court addresses below, see 
supra Section II, as such arguments more properly align with Force Partners' Sherman Act Section 2 claim."
87,10," As Force Partners notes in response to Acuity's motion to dismiss, Acuity did not dispute that the market at issue plausibly 
was alleged, nor did it challenge the claims of market dominance and market power. Pl. Acuity Resp. at 4 n.1. A party waives an 
argument when it raises it for the first time on reply. See Narducci, 572 F.3d at 323. However, because the KSA Defendants 
raised these arguments in their opening motion to dismiss, the Court substantively addresses them. "
88,11," The KSA Defendants' motion to dismiss raises this argument in just one sentence, expanding upon the argument in reply. KSA 
Reply at 6-7. "
99,1," Unless otherwise noted, the facts are taken from the Amended Complaint, and are accepted as true for the purposes of this 
motion. See, e.g., Chambers v. Time Warner, Inc., 282 F.3d 147, 152 (2d Cir. 2002). However, this Court need not ""accept as "
100,," true all of the [legal conclusions] contained in a complaint."" Ashcroft v. Iqbal, 556 U.S. 662, 678, 129 S. Ct. 1937, 173 L. Ed. 2d 
868 (2009). "
109,1," Adams, Amite, Claiborne, Clarke, Copiah, Covington, Forrest, Franklin, Greene, Hinds, Issaquena (the southern portion of the 
county), Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lamar, Lauderdale, Lawrence, Lincoln, Madison, Marion, Neshoba, 
Newton, Perry, Pike, Rankin, Simpson, Smith, Walthall, Warren, Wayne, Wilkinson, and Yazoo."
109,2, Choctaw and Sumter.
109,3," Dr. Pepper: Mississippi counties — Clarke, portions of Copiah, Covington, Forrest, Greene, Hinds, portions of Humphreys, 
Jasper, Jefferson Davis, Jones, Kemper, Lamare, Lauderdale, Madison, Marion, Neshoba, Newton, Perry, Rankin, portions of 
Scott, Simpson, Smith, Wayne, and Yazoo. Alabama counties — Choctaw and Sumter. Canada Dry Brands: Mississippi counties — Adams, Amite, Claiborne, [*7]  Clark, Copiah, Covington, Forrest, Franklin, 
Greene, Hinds, portions of Issaquena, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lamar, Lauderdale, Lawrence, 
Lincoln, Madison, Marion, Neshoba, Newton, Perry, Pike, Rankin, portions of Scott, Simpson, Smith, Walthall, Warren, 
Wayne, Wilkinson, and Yazoo. Alabama counties — Choctaw and Sumter. Sunkist and Hawaiian Punch Brands: Mississippi counties — Adams, Amite, Claiborne, Clark, Copiah, Covington, Forrest, 
Franklin, Greene, Hinds, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lamar, Lauderdale, Lawrence, Lincoln, 
Madison, Marion, Neshoba, Newton, Perry, Pike, Rankin, Scott, Simpson, Smith Walthall, Warren, Wayne, Wilkinson, and 
Yazoo. "
110,, Alabama counties — Choctaw and Sumter. 
111,4," According to Plaintiff, short-dated products are nearing their expiration date, and likely to expire before consumers purchase 
them."
111,5," The Cease and Desist Notices reference PepsiCo, Inc. (""PepsiCo"") and Dr. Pepper Snapple Group, Inc. (""DPSG""). No party 
has sought to explain this discrepancy; therefore, this court assumes DPSG and KDP refer to the same company."
111,6," (a) In a case of actual controversy within its jurisdiction, except with respect to Federal taxes other than actions brought under 
section 7428 of the Internal Revenue Code of 1986, a proceeding under section 505 or 1146 of title 11, or in any civil action 
involving an antidumping or countervailing duty proceeding regarding a class or kind of merchandise of a free trade area country 
(as defined in section 516A(f)(9) of the Tariff Act of 1930), as determined by the administering authority, any court of the United 
States, upon the filing of an appropriate pleading, may declare the rights and other legal relations of any interested party seeking 
such declaration, whether or not further relief is or could be sought. Any such declaration shall have the force and effect of a final 
judgment or decree and shall be reviewable as such. 28 U.S.C.A. § 2201 (West) "
112,7," Rule 57 governs the procedure for obtaining a declaratory judgment under 28 U.S.C. § 2201. The existence of another 
adequate remedy does not preclude a declaratory judgment that is otherwise appropriate. The court may order a speedy hearing 
of a declaratory-judgment action. Fed. R. Civ. P. 57"
