Page,Section,Content
21,Core Terms,"contests, Baseball, boxing, promoters, championship, commerce, rights, exhibition, television, motion picture, 
exemption, sport, interstate, negotiate, boxers, radio, heavyweight, broadcast, bout, anti trust law, Sherman Act, 
Sherman Law, allegations, enterprises, arrange, fight, radio and television, exclusive right, sale of tickets, stare 
decisis"
32,Core Terms,"championship, boxing, contests, decree, promotion, Square, divestiture, conspiracy, stock, antitrust, Stadium, 
arenas, fights, staged, dissolution, professional boxing, Sherman Act, broadcasting, monopoly, rights, lease, trial 
court, trusteeship, provisions, television, effective, five-year, commerce, contracts, ownership"
52,Core Terms,"license, station, antitrust, anti trust law, radio, broadcasters, Communications, proceedings, sentence, regulatory 
scheme, rates, violations, monopoly, public interest, television, carriers, revoked, federal court, affiliation, 
conspiracy, questions, decree, repeal"
67,Core Terms,"carrier, stock, acquisition, railroads, public interest, Commerce, intervened, anti trust law, transportation, Clayton 
Act, employees, relieved, acquire, per share, authorization, policies, approve, conditions, subsidiary, contracts, 
traffic, terms"
85,Core Terms,"retailers, wholesalers, Sherman Act, prices, products, announced, customers, resale price, manufacturer, 
adherence, advertising, conspiracy, observe, selling, minimum retail price, concerted action, contracts, seller, 
cooperation, cases, retail price, acquiescence, combinations, contractual arrangement, cutoff, indictment, unilateral, 
antitrust, discount, suppress"
105,Core Terms,"cooperative, Sherman Act, agricultural, milk, Clayton Act, Dairy, producers, Capper-Volstead Act, acquisition, anti 
trust law, dealers, exempt, charges, farmers, monopolization, practices, restraint of trade, associations, provisions, 
violations, contracts, monopoly"
118,Core Terms,"provisions, carriers, hired"
121,Core Terms,"divestiture, decree, stock, acquisition, stockholders, shares, effective, provisions, antitrust, Courts, percent, voting, 
cases, shareholders, monopoly, parties, violations, fashioned, public interest, Clayton Act, monopolization, 
conspiracy, commerce, framing, anti trust law, pass through, Sherman Act, injunction, ownership, officers and 
directors"
153,Core Terms,"antitrust, merger, antitrust suit, Clayton Act, proceedings, anti trust law, acquisition, courts, stock, natural gas, 
consummated, public convenience, interlocutory, immunity, restrain, approve, matters, unscrambling, entrusted, 
lessening, temporary, hearings"
167,Core Terms,"films, license, package, Station, decree, patent, Pictures, block, television station, block booking, tying 
arrangement, distributors, contracts, Artists, negotiations, television, monopoly, booked, economic power, tying 
product, feature film, Differentials, conditioning, cases, tied product, Sherman Act, modification, products, anti trust 
law, judgments"
185,Core Terms,"distributors, dealers, territorial, trucks, customers, restrictions, manufacturer, contracts, sales, summary judgment, 
competitors, price-fixing, limitations, compete, territorial limits, anti trust law, Sherman Act, horizontal, purchasing, 
accessories, practices, vertical, markets, selling, fleet, political subdivision, prices, per se violation, discounts, 
franchise"
204,Core Terms,"merger, banks, acquisitions, Clayton Act, stock, concentration, bank merger, agencies, consolidation, effects, 
regulation, anti trust law, national bank, insured, Sherman Act, commerce, commercial bank, largest, proposed 
merger, anticompetitive, antitrust, deposits, loophole, loans, Currency, factors, merge, banking industry, legislative 
history, four-county"
253,Core Terms,"consolidation, banking, Sherman Act, deposits, cases, commerce, Steel, factors, loans, interstate, mergers, 
competitors, constitutes, elimination, antitrust, bigness, merging, commercial bank, relevant market, probable, 
compete, traffic, dollar, volume"
265,Core Terms,"merger, glass container, glass, metal, containers, commerce, metal container, products, lines, interindustry, 
manufacturers, producer, combined, effects, sales, beer, baby food, anticompetitive, acquisition, largest, shipped, 
bottle, packaging, customer, probable, billion, food, soft drink, compete, markets"
288,Core Terms,"substantial interest, railroad, interlocking, common carrier, dealings, bidding"
294,Core Terms,"concert, artist, decree, consent decree, resale price, modification, contract provision, Sherman Act, audience, 
modified, margin"
