Page,Section,Content
7,Core Terms,"meats, conspiracy, Butchers', imprisonment, misdemeanor, courts, meat company, police court, superior court, 
depositions, retail, fine, member of the association, provisions, words, anti-trust, designate, prices, free competition, 
accomplish, charges, confer, felony, cases, jail, commitment order, constituting, exceeding, disclose, selling"
7,Headnotes,Criminal Law & Procedure > ... > Accusatory Instruments > Informations > General Overview
7,HN1[,Criminal Law & Procedure > ... > Accusatory Instruments > Informations > General Overview
7,HN2[,Criminal Law & Procedure > ... > Accusatory Instruments > Informations > General Overview
8,HN3[,Antitrust & Trade Law > ... > Monopolies & Monopolization > Conspiracy to Monopolize > General Overview
8,HN4[,Antitrust & Trade Law > ... > Monopolies & Monopolization > Actual Monopolization > General Overview
8,HN5[,"Criminal Law & Procedure > ... > Inchoate Crimes > Conspiracy > Elements
Criminal Law & Procedure > ... > Inchoate Crimes > Conspiracy > General Overview"
8,HN6[,Criminal Law & Procedure > ... > Inchoate Crimes > Conspiracy > General Overview
23,Core Terms,"dealers, articles, prices, retail dealer, retail, commerce, manufacture, anti-trust, terms, purchaser, restrictions, 
conditions, commodity, trade discount, combinations, customers, selling, coal, tobacco company, coal company, 
merchandise, wholesale, supplies, damages"
23,Headnotes,"Antitrust & Trade Law > ... > Private Actions > Remedies > General Overview
Governments > Local Governments > Claims By & Against"
,,
23,HN1[,"Antitrust & Trade Law > ... > Private Actions > Remedies > General Overview
Torts > Business Torts > General Overview"
24,HN2[,Antitrust & Trade Law > Public Enforcement > State Civil Actions
24,HN3[,Antitrust & Trade Law > Public Enforcement > State Civil Actions
30,Core Terms,"Printers', printing, allegations, damages, contracts, practices, city and county, do business, restrictions, commerce, 
compose, dollars, join"
30,Headnotes,Antitrust & Trade Law > Public Enforcement > State Civil Actions
,,
30,HN1[,Labor & Employment Law > Collective Bargaining & Labor Relations > Strikes & Work Stoppages
31,HN2[,Labor & Employment Law > Collective Bargaining & Labor Relations > Strikes & Work Stoppages
31,HN3[,Labor & Employment Law > Collective Bargaining & Labor Relations > Strikes & Work Stoppages
31,HN4[,Antitrust & Trade Law > Public Enforcement > State Civil Actions
31,HN5[,"Antitrust & Trade Law > ... > US Department of Justice Actions > Criminal Actions > General Overview
Torts > Business Torts > General Overview
Antitrust & Trade Law > Public Enforcement > State Civil Actions"
32,HN6[,Antitrust & Trade Law > Public Enforcement > State Civil Actions
38,Core Terms,"contractors, building maintenance, words, reasonable profit, questioned, commodity, restraint of trade, ultimate fact, 
prices, terms, defendant association, local member, Cartwright Act, new trial, marketed, cases, sufficiently definite, 
combinations, restrictions, contracting, provisions, employees, enjoining, monopoly, parties, proviso, loud, bid, 
conclusions of law, existing contract"
38,Headnotes,"Antitrust & Trade Law > ... > Price Fixing & Restraints of Trade > Vertical Restraints > General Overview
Antitrust & Trade Law > ... > Price Fixing & Restraints of Trade > Cartels & Horizontal Restraints > General 
Overview
Antitrust & Trade Law > Public Enforcement > State Civil Actions"
,,
38,HN1[,"Antitrust & Trade Law > Public Enforcement > State Civil Actions
Contracts Law > Contract Formation > Consideration > General Overview"
39,HN2[,"Antitrust & Trade Law > Public Enforcement > State Civil Actions
Constitutional Law > ... > Fundamental Rights > Procedural Due Process > Scope of Protection
Governments > Legislation > Overbreadth"
39,HN3[,"Antitrust & Trade Law > Public Enforcement > State Civil Actions
Constitutional Law > ... > Fundamental Rights > Procedural Due Process > Scope of Protection"
39,HN4[,"Antitrust & Trade Law > Public Enforcement > State Civil Actions
Constitutional Law > ... > Fundamental Rights > Procedural Due Process > Scope of Protection
Constitutional Law > ... > Fundamental Rights > Procedural Due Process > General Overview"
39,HN5[,"Antitrust & Trade Law > Public Enforcement > State Civil Actions
Governments > Legislation > Expiration, Repeal & Suspension"
39,HN6[,"Antitrust & Trade Law > Public Enforcement > State Civil Actions
1953 Cal. App. LEXIS 2053, *1"
40,HN7[,"Antitrust & Trade Law > Public Enforcement > State Civil Actions
Constitutional Law > ... > Fundamental Rights > Procedural Due Process > Scope of Protection
Governments > Legislation > Expiration, Repeal & Suspension"
40,HN8[,"Antitrust & Trade Law > ... > Price Fixing & Restraints of Trade > Vertical Restraints > General Overview
Antitrust & Trade Law > ... > Price Fixing & Restraints of Trade > Cartels & Horizontal Restraints > General 
Overview"
40,HN9[,Civil Procedure > Trials > Bench Trials
42,HN2[,"[EDITOR'S NOTE: TEXT WITHIN THESE SYMBOLS [O><O] IS OVERSTRUCK IN THE SOURCE.]
Only a portion of the employed members in San Francisco of Building Service Employees Union, Local 87, work for 
Building Maintenance Contractors (725 to 794) as compared with the total [*8]  number of employed members 
(2085-3534). Of a total of 190 office buildings in San Francisco, 22 are serviced by building maintenance 
contractors (including defendants and others) and 168 directly by owners or operators who employ members of 
Local 87. Of other types of buildings, the same figures in the same order are: 50 department and furniture stores, 
14 and 36; 17 laundries and breweries, 3 and 14; 55 banks, 30 and 25; 4 newspapers, 1 and 3. Of buildings 
serviced by contractors or by owners or operators, employing members of Local 87, 24% are serviced by 
contractors; 76% independently of contractors. In addition, there are thousands of San Francisco buildings 
(exclusive of private homes, flats and the like) that are serviced neither by owners or operators who employ 
members of Local 87, nor by any maintenance contractor.
Building Maintenance Contractors employ but 121 of 404 members of Local 44, 165 of 965 members of Local 117, 
and 5 of 225 members of Local 39. Of buildings serviced by contractors or by members of these Locals 
* Except that the buildings of the Pacific Gas & Electric Company and of the Pacific Telephone and Telegraph Company are 
serviced by those companies, respectively, employing members of [O> the <O] unions of the Congress of Industrial 
Organizations.
1953 Cal. App. LEXIS 2053, *4"
53,Core Terms,"products, distributor, renew, customers, distribute, parties, alcoholic beverage, manufacture, Distillers, purchases, 
retailers, lease, competitors, defendants', damages, distributorship, prices, percent, appointment, importation, 
restraining, antitrust, covenant, licensed, notice, declarations, solicitation, repudiation, conspiracy, terminated"
53,Headnotes,"Business & Corporate Compliance > ... > Contracts Law > Types of Contracts > Quasi Contracts
Contracts Law > Contract Conditions & Provisions > General Overview
Contracts Law > Contract Interpretation > General Overview"
,,
53,HN1[,Contracts Law > Contract Conditions & Provisions > General Overview
