Page,Section,Content
8,Core Terms,"reinsurers, boycott, primary insurer, terms, Sherman Act, regulated, insurers, domestic, coverage, claim for relief, 
McCarran-Ferguson Act, conspiracy, comity, risks, concerted, cases, claims-made, complaints, extraterritorial, 
pollution, insurance business, exemption, occurrence, changes, reinsurance contract, district court, Underwriters, 
antitrust, policies, parties"
44,Core Terms,"commerce, interstate commerce, regulation, schools, manufacturing, cases, commercial power, guns, federal 
government, interstate, violence, matters, Skills, substantial effect, intrastate, wheat, agriculture, federal power, 
Training, limits, powers, power of congress, Resources, gun possession, deference, power to regulate, rational 
basis, violent crime, school zone, principles"
96,Core Terms,"exemption, bargaining, antitrust, impasse, collective-bargaining, labor law, negotiations, collective bargaining, anti 
trust law, multiemployer, players, bargaining process, terms, parties, courts, nonstatutory, salaries, immunity, 
wages, anticompetitive, employees, squad, bargaining unit, policies, unilaterally, developmental, cases, antitrust 
liability, labor policy, club owner"
120,Core Terms,"accrual, limitations period, Clayton Act, predicate act, fraudulent concealment, antitrust, discovery, silo, statute of 
limitations, cause of action, diligence, tolling, feed, courts, limitations, racketeering activity, reasonable diligence, 
equitable, accrues, cases, accrued cause of action, antitrust case, discovery rule, four year, circumstances, 
borrowing, discovers, analogy, damages, reasons"
136,Core Terms,"vertical, maximum price, fixing, dealers, per se rule, prices, decisions, suppliers, Sherman Act, restrictions, 
gasoline, territories, antitrust, maximum, anti trust law, rule of reason, resale price, consumers, manufacturers, 
station, distributors, newspaper, monopoly, suggested retail price, restraint of trade, per se violation, minimum 
price, stare decisis, price fixing, anticompetitive"
150,Core Terms,"telephone, competitor, per se rule, removal, anti trust law, suppliers, group boycott, cases, boycott, anticompetitive, 
manufacturers, allegations, horizontal, purchasing, antitrust, vertical, motive, buyer, firms, conspiracy, retailer, 
reasons"
162,Core Terms,"network, incumbent, regulations, carrier, unbundled, state commission, provisions, impair, Telecommunications, 
intrastate, pricing, entrants, rates, interconnection, competitors, costs, requesting, Communications, long-distance, 
facilities, interstate, arbitration, ratesetting, commission's jurisdiction, local service, telephone, depreciation, 
negotiation, purposes, terms
* Together with AT&T Corp. et al. v. California et al. (see this Court's Rule 12.4), No. 97-829, MCI Telecommunications Corp. v. 
Iowa Utilities Board et al., MCI Telecommunications Corp. v. California et al. (see this Court's Rule 12.4), No. 97-830, 
Association for Local Telecommunications Services et al. v. Iowa Utilities Board et al., No. 97-831, Federal Communications 
Commission et al. v. Iowa Utilities Board et al., Federal Communications Commission et al. v. California et al. (see this Court's 
Rule 12.4), No. 97-1075, Ameritech Corp. et al. v. Federal Communications Commission et al., No. 97-1087, GTE Midwest Inc. 
v. Federal Communications Commission et al., No. 97-1099, U S West, Inc. v. Federal Communications Commission et al., and 
No. 97-1141, Southern New England Telephone Co. et al. v. Federal Communications Commission et al., also on certiorari to 
the same court."
201,Core Terms,"advertising, restrictions, anticompetitive, court of appeals, dentists, discount, dental, misleading, effects, 
procompetitive, output, patients, customers, rule of reason, antitrust, prices, ban, across-the-board, disclosure, 
consumers, FTC Act, nonprofit, entity, price competition, market power, circumstances, abbreviated, dental 
services, anti trust law, rule-of-reason"
227,Core Terms,"lawsuit, suits, retaliatory, unsuccessful, motive, baseless, petitioning, antitrust, courts, genuine, retaliation, anti trust 
law, enjoin, declare, Relations, sham, labor law, state court, Sherman Act, anticompetitive, employees, rights, 
antitrust immunity, right of petition, attorney's fees, false statement, unmeritorious, join, unfair labor practice, 
protected activity"
250,Core Terms,"antitrust, FCC, incumbent, customers, orders, rivals, anti trust law, monopoly, sharing, anticompetitive, 
interconnection, long-distance, competitors, network, consent decree, allegations, regulation, facilities, Skiing, 
ticket, terms, fill, antitrust claim, authorization, damages, cases"
269,Core Terms,"postal service, postal, antitrust, anti trust law, immunity, establishment, mail, Sherman Act, antitrust liability, 
executive branch, sue-and-be-sued, entity, appointed, delivery, monopoly, waived"
285,Core Terms,"domestic, commerce, Sherman Act, export, import, anti trust law, anticompetitive conduct, price-fixing, transactions, 
antitrust, vitamin, foreign nation, causes, comity, give rise, anticompetitive, cases, circumstances, prices, 
customers, Appeals, effects, courts, plaintiff's claim, private plaintiff, general rule, reasonably foreseeable, statutory 
language, district court, respondents'"
303,Core Terms,"dealers, bid, trucks, purchasers, customer, favored, sales, prices, price discrimination, competitive injury, Robinson-
Patman Act, comparisons, competed, discount, instances, retail customer, manufacturer, competitors, cases, court 
of appeals, franchised, geographic, non-Volvo, profits, discriminated, disfavored, negotiate, occasions, injure, 
bidding process"
321,Core Terms,"Oil, joint venture, gasoline, pricing, price fixing, brand, products"
330,Core Terms,"patent, market power, tying arrangement, Salt, unpatented, patent misuse, cases, antitrust, patentee, monopoly, 
tying product, ink, Sherman Act, anti trust law, purchasers, license, confer, products, seller, restrain, tie, patent 
infringement, per se violation, relevant market, per se rule, conditions, decisions, presume, misuse, buy"
