Category              ,Content
LexisNexis® Headnotes ,Antitrust & Trade Law > Sherman Act > General Overview
HN1                   ,Antitrust & Trade Law > Sherman Act > General Overview
HN2                   ,Antitrust & Trade Law > Regulated Industries > Sports > Baseball
HN2                   ,Antitrust & Trade Law > Regulated Industries > Sports > General Overview
HN2                   ,Antitrust & Trade Law > Sherman Act > General Overview
HN3                   ,Antitrust & Trade Law > Regulated Industries > Sports > Baseball
HN3                   ,Antitrust & Trade Law > Regulated Industries > Sports > General Overview
HN3                   ,Antitrust & Trade Law > Sherman Act > General Overview
Headnotes             ,PLEADING §104  >  dismissal -- admissions. --   > Headnote:
LEdHN[1]              ,RESTRAINTS OF TRADE AND MONOPOLIES §11 >  interstate commerce -- boxing contests. --   > Headnote:
LEdHN[2]              ,RESTRAINTS OF TRADE AND MONOPOLIES §23  >  interstate commerce -- boxing contests. --   > Headnote:
LEdHN[3]              ,COURTS §141  >  anti-trust laws -- functions of courts. --   > Headnote:
LexisNexis® Headnotes ,Antitrust & Trade Law > Sherman Act > General Overview
HN1                   ,Antitrust & Trade Law > Regulated Practices > Market Definition > General Overview
HN1                   ,Antitrust & Trade Law > Sherman Act > General Overview
HN2                   ,Antitrust & Trade Law > Regulated Practices > Market Definition > General Overview
HN2                   ,Antitrust & Trade Law > Sherman Act > General Overview
HN3                   ,Antitrust & Trade Law > Sherman Act > General Overview
HN3                   ,Criminal Law & Procedure > ... > Inchoate Crimes > Conspiracy > Elements
HN3                   ,Antitrust & Trade Law > ... > Monopolies & Monopolization > Conspiracy to Monopolize > Sherman Act
HN4                   ,Antitrust & Trade Law > Sherman Act > General Overview
HN4                   ,Civil Procedure > Appeals > Standards of Review > General Overview
HN5                   ,Antitrust & Trade Law > Sherman Act > General Overview
HN6                   ,Antitrust & Trade Law > Sherman Act > Remedies > General Overview
HN6                   ,Antitrust & Trade Law > Sherman Act > General Overview
Headnotes             ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §73  > decree -- scope. --  > Headnote:"
LEdHN[1]              ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §19  > relevant market. --  > Headnote:"
LEdHN[2]              ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §19  > extent of market. --  > Headnote:"
LEdHN[3]              ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §68  > findings -- boxing contests. --"
LEdHN[3]              ,> Headnote:
LEdHN[4]              ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §19  > extent -- local area. --  > Headnote:"
LEdHN[5]              ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §19  > relevant market -- boxing contests. --"
LEdHN[5]              ,> Headnote:
LEdHN[6]              ,APPEAL §1304  > burden of proof -- findings -- anti-trust action -- boxing contests. --  > Headnote:
LEdHN[7]              ,APPEAL §1663  > relief -- anti-trust action. --  > Headnote:
LEdHN[8]              ,"APPEAL §1670  >  RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §73  > framing of decrees"
LEdHN[8]              ,in anti-trust suit -- discretion of District Court. --  > Headnote:
LEdHN[9]              ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §75  > decree -- scope. --  > Headnote:"
LEdHN[10]             ,"APPEAL §1340  >  RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §73  > relief -- review. --"
LEdHN[10]             ,> Headnote:
LEdHN[11]             ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §78  > order -- divestiture of stock -- boxing"
LEdHN[11]             ,contests. --  > Headnote:
LEdHN[11]             ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §15  > knowledge of illegality -- prior"
LEdHN[11]             ,proceedings -- boxing contests. --  > Headnote:
LEdHN[13]             ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §79  > relief -- corporations -- common control."
LEdHN[13]             ,--  > Headnote:
LEdHN[14]             ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §79  > dissolution of combination. --"
LEdHN[14]             ,> Headnote:
LEdHN[15]             ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §79  > decree -- dissolution -- boxing clubs. --"
LEdHN[15]             ,> Headnote:
LEdHN[16]             ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §75  > decree -- leasing to others -- boxing"
LEdHN[16]             ,clubs. --  > Headnote:
LEdHN[17]             ,"RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §75  > decree -- exclusive contracts -- boxing"
LEdHN[17]             ,clubs. --  > Headnote:
LEdHN[18]             ,"APPEAL §1400  >  RESTRAINTS OF TRADE, MONOPOLIES, AND UNFAIR TRADE PRACTICES §75  > decree -- extent --"
LEdHN[18]             ,review. --  > Headnote:
LexisNexis® Headnotes ,Communications Law > ... > Licensing > Renewals & Revocations > General Overview
HN1                   ,Communications Law > ... > Licensing > Renewals & Revocations > General Overview
HN2                   ,Administrative Law > Separation of Powers > Primary Jurisdiction
HN2                   ,Antitrust & Trade Law > Regulated Industries > Communications
HN2                   ,Communications Law > Public Enforcement > Orders & Hearings > Judicial Review
HN2                   ,Antitrust & Trade Law > Procedural Matters > Jurisdiction > Primary Jurisdiction
HN2                   ,Communications Law > ... > Regulated Entities > Broadcasting > Rate Regulation
HN2                   ,Communications Law > Federal Acts > Federal Communications Act > General Overview
HN2                   ,Communications Law > Regulators > US Federal Communications Commission > Authorities & Powers
HN3                   ,Administrative Law > Judicial Review > Reviewability > Exhaustion of Remedies
