頁碼,內容類型,內容
23,Counsel,"Counsel:  [**1]  Victor R. Hansen, Asst. Atty. Gen., Margaret H. Brass, Edward M. Feeney, Victor H. Kramer, Dept. 
of Justice, Washington, D.C., and Charles P. Moriarty, U.S. Atty., Seattle, Wash., for plaintiff. 
M. L. Countryman, Jr., St. Paul, Minn., Dean H. Eastman, Harold G. Boggs, Roscoe Krier, Seattle, Wash., for 
defendants."
23,Opinion by,Opinion by: BOLDT
31,Opinion by,"Opinion by: Stockard, C."
45,Counsel,"Counsel:  [**1]  William L. Maher, Joseph F. Tubridy, Morton M. Fine, Sp. Assts. to Atty. Gen., for plaintiff. 
C. Brewster Rhoads, Joseph W. Swain, Jr., Leonard L. Kalish, Philadelphia, Pa., for defendants Joseph A. Krasnov, 
Samuel Krasnov, Seymour Krasnov. 
Nochem S. Winnet, Milton M. Gottesman, Daniel Lowenthal, Philadelphia, Pa., for defendants The Comfy Mfg. Co., 
Fred E. Katzner. 
Fred A. Klein, New York City, for defendant Arthur Oppenheimer, Jr."
45,Opinion by,Opinion by: CLARY
61,Counsel,"Counsel:  [**1]  Samuel J. Stoll, Jamaica, N.Y., for appellant. 
Harry Sommers, Newark, N.J., for appellee."
61,Judges,"Judges: Before BIGGS, Chief Judge, and MARIS and GOODRICH, Circuit Judges."
61,Opinion by,Opinion by: BIGGS
69,Counsel,"Counsel:  [**1]  Morris L. Weisberg, and Harry Norman Ball, Philadelphia, Pa., for plaintiff. 
Arlin Adams, Schnader, Harrison, Segal & Lewis, Philadelphia, Pa., for defendant."
69,Opinion by,Opinion by: WELSH
71,Counsel,"Counsel:  [**1]  Jerome F. Dixon, Karl Edwin Seyfarth, Benton Atwood, Chicago, Ill., Edward M. Sullivan, Amboy, 
Ill., Sherwood Dixon, Chicago, Ill., for plaintiff-appellant. 
Melville C. Williams, Thomas C. Strachan, Jr., Frank F. Fowle, Willis S. Ryza, Chicago, Ill., for defendant-appellee."
71,Judges,"Judges: Before DUFFY, Chief Judge, and MAJOR and SCHNACKENBERG, Circuit Judges."
72,Opinion by,Opinion by: DUFFY
79,Opinion by,Opinion by:  [*1]  LEIBELL
90,Counsel,"Counsel:  [**1]  G. C. Spillers, Jr., Tulsa, Okl. (G. C. Spillers, Tulsa, Okl., on the brief), for appellant. 
Richard B. McDermott, Tulsa, Okl. (Bradford J. Williams, Fenelon Boesche, T. Hillas Eskridge and Franklin D. 
Hettinger, Tulsa, Okl., on the brief), for appellees."
90,Judges,"Judges: Before BRATTON, Chief Judge, and MURRAH and LEWIS, Circuit Judges."
90,Opinion by,Opinion by: MURRAH
95,Counsel,"Counsel:  [**1]  Norman Shigon, Philadelphia, Pa., for plaintiffs. 
J. Dress Pannell, Lawrence D. Biele, Philadelphia, Pa., for McCloskey & Co. 
Edward Davis, Sheldon Tabb, Philadelphia, Pa., for defendants."
96,Opinion by,Opinion by: KRAFT
101,Counsel,"Counsel:  [**1]  Norman Diamond, of Arnold, Fortas & Porter, Washington, D.C. (William D. Rogers, of Arnold, 
Fortas & Porter, Washington, D.C., and Joseph F. Ruggieri, of Ruggieri & Ruggieri, Brooklyn, N.Y., on the brief), for 
defendant-appellant. 
Edgard E. Barton, of White & Case, New York City (Howard J. Aibel, of White & Case, New York City, on the brief), 
for plaintiff-appellee."
101,Judges,"Judges: Before CLARK, Chief Judge, and LUMBARD and WATERMAN, 1 Circuit judges."
101,Opinion by,Opinion by: CLARK
111,Counsel,"Counsel:  [**1]  Sidley, Austin, Burgess & Smith, Chicago, Ill., James E. S. Baker, Chicago, Ill., and McCutcheon, 
Black, Harnagel & Greene, by Philip K. Verleger, Los Angeles, Cal., for G. D. Searle & Co., plaintiff and counter-
defendant. 
Elwood S. Kendrick, Los Angeles, Cal., Jack Corinblit, Los Angeles, Cal., for Institutional Drug Distributors, Inc., 
defendant and third-party plaintiff. 
Fred Weller, Los Angeles, Cal., McCutcheon, Black, Harnagel & Greene, Los Angeles, Cal., for Stephen Chase, 
Lewis S. Hoyt, third-party defendants. 
Nicholas & Mack, by Augustus F. Mack, Jr., Los Angeles, Cal., for Julius K. Hornbein, third-party defendant."
112,Opinion by,Opinion by: YANKWICH
127,Counsel,"Counsel: W. A. McGugin, Fresno, Cal., Walch & Griswold, by Roger R. Walch, and Lyman D. Griswold, Hanford, 
Cal., Vizzard, Baker & Sullivan, by James Vizzard, Bakersfield, Cal., and Allen C. Wait, Firebaugh, Cal., for 
plaintiffs. 
Fulbright, Crooker, Freeman, Bates & Jaworski, by Leon Jaworski, and J. Bradshaw, Houston, Tex., and Coleman 
& McDonald, by Ray J. Coleman, and Edwin A. McDonald, Jr., Los Angeles, Cal., for defendant Anderson, Clayton 
& Co. 
Musick, Peeler & Garrett, by Harold F. Collins and J. R. O'Malley, Los Angeles, Cal., for defendant California Cotton 
Oil Co. 
Jack Bradley, Bakersfield, Cal., for defendant Coberly-West Co. 
Wild, Christensen, Barnard & Wild, by M. K. Wild, M. Gordon Wild, and Robert Barnard, Fresno, Cal., and Docker & 
Docker, by Frederick W. Docker, William F. Docker, and James H. Perkins, Fresno, Cal., for defendant Producers 
Cotton Oil Co. 
Avery, Meux & Gallagher, by Kenneth G. Avery, Fresno, Cal., for defendant Kingsburg Cotton Co. 
O'Melveny & Myers, by Pierce Works, and Parker, Milliken & Kohlmeier, by Frank W. Clark, Jr., and Charles H. 
Chase, Los Angeles, Cal., for defendant S. A.  [**19]  Camp Ginning Co. 
Whitney & La Prade, by Louis B. Whitney, Phoenix, Ariz., and James G. McCain, Corcoran, Cal., for defendant J. 
G. Boswell Co."
128,Opinion by,Opinion by: YANKWICH
141,Counsel,"Counsel: Thomas C. McConnell, Benjamin Wham, W. Donald McSweeney, Francis J. McConnell, Harry D. Lavery, 
Chicago, Ill., for appellant. 
John F. Caskey, New York City, Robert W. Bergstrom, David Levinson, Samuel W. Block, Wesley G. Hall, Chicago, 
Ill. (John J. Faissler, Harold Shapiro, Francis E. Matthews, Chicago, Ill., of counsel), for appellees."
141,Judges,"Judges: Before FINNEGAN, LINDLEY and SWAIM, Circuit Judges."
141,Opinion by,Opinion by: SWAIM
150,Counsel,"Counsel: Brumbaugh, Free, Graves & Donohue, New York City, by Walter H. Free, New York City, of counsel, for 
plaintiff. 
Delavan Smith, New York City, for defendants."
150,Opinion by,Opinion by: BYERS
156,Counsel,"Counsel:  [**1]  Arnold, Fortas & Porter, Washington, D.C. (by Thurman Arnold, Washington, D.C.), Alexander T. 
Schenck, Newark, N.J., for plaintiff. 
O'Mara, Schumann, Davis & Lynch, Jersey City, N.J., by John T. Cahill and Cahill, Gordon, Reindel & Ohl, New 
York City, for defendant."
156,Opinion by,Opinion by: SMITH
167,Counsel,"Counsel: J. Albert Hutchinson for Appellant.
Lawler, Felix & Hall and John M. Hall for Respondents."
167,Judges,"Judges: Moore, P. J.  Fox, J., and Ashburn, J., concurred."
167,Opinion by,Opinion by: MOORE
181,Counsel,"Counsel: Miles Lord, Attorney General, Howard H. Gelb, Special Attorney, for plaintiff-appellant. 
Loftsgaarden & Loftsgaarden, for intervenor-appellant. 
Lipschultz, Altman, Geraghty & Mulally, for respondents."
181,Judges,"Judges: Dell, Chief Justice."
181,Opinion by,Opinion by: DELL
192,Counsel,"Counsel:  [**1]  Dilworth, Paxson, Kalish & Green, Philadelphia, Pa., for plaintiffs. 
Montgomery, McCracken, Walker & Rhoads, Philadelphia, Pa., for defendant Eastern R.R. Presidents Conference. 
Ballard, Spahr, Andrews & Ingersoll, Philadelphia, Pa., Hughes, Hubbard, Blair & Reed, New York City, for 
defendant Carl Byoir & Associates, Inc. 
Barnes, Dechert, Price, Myers & Rhoads, Philadelphia, Pa., for defendants Pennsylvania R. Co., M. W. Clement 
and Walter S. Franklin. 
Harold B. Bornemann, Philadelphia, Pa., for defendant Lehigh & New England R. Co. 
Dennis P. Donovan, New York City, for defendant Canadian National Rys. 
Drinker, Biddle & Reath, Philadelphia, Pa., for defendants, Central R. Co. of New Jersey, Central R. Co. of 
Pennsylvania, Norfolk & W. Ry. Co. and Western Maryland Railway. 
Carl E. Glock, Pittsburgh, Pa., and James B. Anderson, Philadelphia, Pa., for defendants Fred W. Okie and Union 
R. Co. 
Guckes, Shrader & Burtt, Philadelphia, Pa., for defendant Baltimore & O.R. Co. 
Morgan, Lewis & Bockius, Philadelphia, Pa., for defendants Chesapeake & Ohio Railway Co., Delaware, L. & W.R. 
Co., Erie R. Co., Lehigh & H.R. Ry. Co., New York, C. & St. L.R. Co., Reading Co., R. W.  [**2]  Brown and Joseph 
A. Fisher. 
Daniel Mungall, Jr., Philadelphia, Pa., Stradley, Ronon, Stevens & Young, Philadelphia, Pa., for defendants Boston 
& M.R.R., Canadian Pac. Ry. Co., Delaware & H.R. Corp., Maine Cent. R. Co. and New York, N.H. & H.R. Co. 
Myers, McVeigh, Mansfield & O'Brien, Philadelphia, Pa., for defendant New York Cent. Railroad Co. 
T. W. Pomeroy, Jr., Pittsburgh, Pa., Paul Maloney, Philadelphia, Pa., for defendants Pittsburgh & W. Va. Ry. Co. 
and Charles J. Graham. 
Saul, Ewing, Remick & Saul, Philadelphia, Pa., for defendant Lehigh Valley R. Co. 
White, Williams & Scott, Philadelphia, Pa., for defendants New York Ontario & W. Ry. and Lewis D. Freeman.  
155 F. Supp. 768, *768; 1957 U.S. Dist. LEXIS 3019, **3019"
193,Opinion by,Opinion by: CLARY
251,Counsel,"Counsel:  [**1]  Smith, Mathews, Bell & Solomon, New York City, Attorneys for Plaintiffs Blackwell Smith and 
Ernest Leff, New York City, Arnold, Fortas & Porter, Washington, D.C., Thurman Arnold, Washington, D.C., of 
counsel. 
Davis, Polk, Wardwell, Sunderland & Kiendl, New York City, for Defendants.  Theodore Kiendl, Ralph M. Carson, 
Porter R. Chandler, Edwin J. Jacob, David G. Gill, David L. Farley, Jr., New York City, of counsel."
252,Opinion by,"Opinion by: LEVET 
158 F. Supp. 160, *160; 1957 U.S. Dist. LEXIS 2404, **2404"
262,Counsel,"Counsel:  [**1]  Victor R. Hansen, Asst. Atty. Gen., Robert A. Bicks, First Asst. Atty. Gen., Daniel M. Friedman, 
Ephrain Jacobs, John T. Duffner, Allen A. Dobey, Donald F. Melchior, Dept. of Justice, Washington, D.C., for the 
United States. 
Cravath, Swaine & Moore, New York City, Bruce Bromley, John H. Morse, New York City, of counsel, for defendant, 
Bethlehem Steel Corp. 
Simpson, Thacher & Bartlett, New York City, Whitney North Seymour, Richard Jones, New York City, of counsel, 
and Baker, Hostetler & Patterson, Cleveland, Ohio, Howard F. Burns, Raymond T. Jackson, Cleveland, Ohio, of 
counsel, for defendant, Youngstown Sheet and Tube Co."
262,Opinion by,Opinion by: WEINFELD
266,Counsel,"Counsel:  [**1]  H. Bryce Parker, Winston-Salem, N.C., for appellant. 
W. P. Sandridge and W. F. Womble, Winston-Salem, N.C. (Womble, Carlyle, Sandridge & Rice, Winston-Salem, 
N.C., on brief), for appellee."
266,Judges,"Judges: Before SOPER, SOBELOFF, and HAYNSWORTH, Circuit Judges."
266,Opinion by,Opinion by: SOBELOFF
275,Counsel,"Counsel:  [**1]  William Rosenberger, Jr., Lynchburg, Va., Franklin M. Schultz, Purcell & Nelson, Washington, 
D.C., for plaintiffs. 
Stuart B. Campbell, Campbell & Campbell, Wytheville, Va., Val. J. Mitch, Harold H. Bacon, Washington, D.C., 
Waldo G. Miles, Bristol, Va., and Royston Jester, III, Lynchburg, Va., for defendants."
275,Opinion by,Opinion by: THOMPSON
286,Counsel,"Counsel:  [**1]  Mr. George F. Galland, Washington, D.C., with whom Mr. William J. Lippman, Washington, D.C., 
was on the brief, for petitioner. 
Mr. Edward Aptaker, Chief, Regulations Branch, Federal Maritime Bd., with whom Messrs. Robert E. Mitchell, Asst. 
Gen. Counsel, Federal Maritime Bd., and Daniel M. Friedman, Atty., Dept. of Justice, were on the brief, for 
respondents. 
Mr. Elmer C. Maddy, Washington, D.C., of the bar of the Court of Appeals of New York, pro hac vice, by special 
leave of Court, with whom Mr. Robert E. Kline, Jr., Washington, D.C., was on the brief, for intervenors.  Mr. Ronald 
A. Capone, Washington, D.C., also entered an appearance for intervenors."
286,Judges,"Judges: Before DANAHER, BASTIAN and BURGER, Circuit Judges."
286,Opinion by,Opinion by: BASTIAN
