頁碼,內容類型,內容
21,Counsel,"Counsel:  [**1]  John B. Nolan, Day, Berry & Howard, Hartford, Connecticut, for Plaintiff.
Thomas C. Marshall, Weber & Marshall, New Britain, Connecticut, for Defendant Robert W. Johnson.
Howard M. Wood, III, Wood & Wood, Glastonbury, Connecticut, for Defendant William E. Chipman.
Michael C. Daly, Furey, Donovan & Heiman, Bristol, Connecticut, for Defendants Hale Farms Development Corp. 
and Howard Levy."
22,Judges,"Judges: Dorsey, District Judge."
22,Opinion by,Opinion by: DORSEY
27,Counsel,"Counsel:  [**1]  Benjamin P. Schoen, Esq., Lawrence G. McDade, Esq., Consumer Affairs Section, Antitrust 
Division, Department of Justice, Washington, District of Columbia, Selig S. Merber, Esq., R. Scott Wynn, Esq., 
Bureau of Competition, Federal Trade Commission, Washington, District of Columbia, for Plaintiff.
Simpson, Thacher & Bartlett, Esqs., New York, New York, Charles E. Koob, Esq., John F. Cambria, Esq., Morgan 
F. Kelly, Esq., for Defendant GK Technologies, Inc., Debevoise & Plimpton, Esqs., New York, New York, Robert L. 
King, Esq., Michael E.  Wiles, Esq., for Defendant Phelps Dodge Industries, Inc."
27,Judges,"Judges:  Abraham D. Sofaer, D.J."
27,Opinion by,Opinion by: SOFAER
50,Counsel,"Counsel:  [**1]  Gary M. Elden, Daniel A. Edelman, Joyce L. Logan, Reuben & Proctcor, Chicago, Illinois, for 
Plaintiffs.
Michael P. Connelly, Chicago, Illinois, for Defendants."
50,Judges,"Judges: Prentice H. Marshall, Judge."
50,Opinion by,Opinion by: MARSHALL
64,Counsel,"Counsel: W. Clark Goodwin, Birmingham, Alabama, Manning G. Warren, III, Birmingham, Alabama, J. Michael 
Rediker, Birmingham, Alabama, K. Morgan Varner, III, Atlanta, Georgia, for Appellant. 
Earle B. May, Jr., Atlanta, Georgia, Kevin E. Grady, Atlanta, Georgia, James W. Gewin, Birmingham, Alabama, for 
Appellee."
64,Judges,"Judges: Tjoflat and Johnson, Circuit Judges, and Tuttle, Senior Circuit Judge."
64,Opinion by,Opinion by: PER CURIAM
