頁碼,內容類型,內容
25,Counsel,"Counsel: Bruce S. Sperling of Sperling, Slater & Spitz, for Plaintiff. 
807 F.2d 520, *520; 1986 U.S. App. LEXIS 34177, **1

 
Donald R. Harris of Jenner & Block, for Defendant."
26,Judges,"Judges: Cudahy and Easterbrook, Circuit Judges, and Fairchild, Senior Circuit Judge.  Easterbrook, Circuit Judge, 
dissenting in part."
26,Opinion by,Opinion by: CUDAHY
82,Counsel,"Counsel: Robert E. Haythorne, Geneva, Illinois, for plaintiff.
Jeremiah Marsh, Michael M. Conway, Antony S. Burt, Hopkins & Sutter, Chicago, for defendant."
82,Judges,Judges: Shadur.
82,Opinion by,Opinion by: SHADUR
97,Counsel,"Counsel:  [*1]  Joseph W. Price PRICE, GESS & UBELL, Newport Beach, California, Attorneys for Defendant 
Peter LaHaye."
98,Opinion by,Opinion by: WILSON
107,Counsel,"Counsel: Charles T. Newton, Jr. (Ann Lents with him on the brief and Murray E. Abowitz of Abowitz & Welch, with 
him on the brief) of Vinson & Elkins, for Defendants-Appellants. 
Jack N. Price (Charles Freede, with him on the brief) for Plaintiffs-Appellees. 
J. Paul McGrath, Assistant Attorney General (Douglas H. Ginsburg, Deputy Assistant Attorney General, Barry 
Grossman and William J. Roberts, Attorneys) filed an Amicus Curiae brief for the United States of America."
108,Judges,"Judges: Seymour and Doyle, Circuit Judges, and Carrigan, District Judge. *"
108,Opinion by,Opinion by: SEYMOUR
117,Counsel,"Counsel:  [*1]  James M. Hughes, DEVIN & DROHAN, for Plaintiff.
Shepard M. Remis, John C. Englander, Sally A. Vanderweele, GOODWIN, PROCTER & HOAR, for Defendant.
Thomas Dougherty, SKADDEN ARPS SLATE MEAGHER FLOM, for GENERAL CINEMA."
117,Opinion by,Opinion by: YOUNG
124,Counsel,"Counsel: Don Erik Franzen, Esq., for Appellant. 
James Martin, Esq., for Appellee."
124,Judges,"Judges: Wallace, Circuit Judge."
124,Opinion by,Opinion by: WALLACE
133,Counsel,"Counsel:  [**1]  Philip W. Tone, Richard T. Franch, James A. McKenna, Jenner & Block, for Plaintiffs.
 Theodore N. Miller, Sidley & Austin, for Defendants."
133,Judges,"Judges:  John A. Nordberg, United States District Judge."
133,Opinion by,Opinion by: NORDBERG
147,Counsel,"Counsel:  [**1]  Jack Marshall, Assistant U.S. Attorney, Michael F. Hertz, Stephen D.  Altman, Joan E. Hartman, 
U.S. Dept. of Justice, Arthur Lee Gaston, Gaston, Gaston & Marion, Richard N. Booth, of"
