頁碼,內容類型,內容
23,Counsel,"Counsel:  [*1]  ROSNER & GOODMAN, New York, New York, Jonathan Rosner, Esq., of counsel, Attorneys for 
Plaintiff.
ANDERSON KILL OLICK & OSHINSKY, P.C., New York, New York, Rudolph W. Giuliani, Esq., of counsel, Mark L. 
Weyman, Esq., of counsel, Steven Cooper, Esq., of counsel, Alon M. Markowitz, Esq., of counsel, Attorneys for 
Defendants."
23,Judges,Judges: Leisure
23,Opinion by,Opinion by: PETER K. LEISURE
35,Counsel,"Counsel: For UNION CARBIDE, plaintiff: Marvin E. Barkin, Keith E. Rounsaville, Trenam, Kemker, Scharf, Barkin, 
Frye, O'Neill & Mullis, P.A., Tampa, FL USA. James D. McGibbon, Dulany L. O'Roark, III, Sutherland, Asbill & 
Brennan, Atlanta, GA USA. Nathan P. Eimer, William H. Baumgartner, Sidley & Austin, Chicago, IL. Donald I. 
Baker, Earle O. O'Donnell, Karen L. Grimm, Judy A. Center, Sutherland, Asbill & Brennan, Washington, DC.
For FLORIDA P&L, defendant: J. T. Blount, Florida Power & Light [*2]  Co., Miami, FL USA.
For FLORIDA POWER CORP., defendant: Robert L. Ciotti, Carlton, Fields, Ward, Emmanuel, Smith & Cutler, P.A., 
Tampa, FL USA. Benjamin H. Hill, III, Hill, Ward & Henderson, P.A., Tampa, FL USA. Daniel M. Gribbon, James R. 
Atwood, Covington & Burling, Washington, DC USA. Albert H. Stephens, Florida Power Corporation, St. 
Petersburg, FL.
For FLORIDA PUBLIC, movant: Susan F. Clark, Florida Public Service Commission, Tallahssee, FL USA.
For TAMPA ELECTRIC CO., movant: Michael A. Fogarty, Glenn, Rasmussen & Fogarty, Tampa, FL USA.
For CLAY ELECTRIC COOPER, T. B. MILLICAN, movants: John Harry Haswell, Chandler, Gray, Lang, Haswell & 
Enwall, P.A., Gainesville, FL USA.
For FLORIDA PUBLIC, amicus: Richard Bellak, Fowler, White, Gillen, Boggs, Villareal & Banker, P.A., Tallahassee, 
FL USA."
35,Judges,"Judges: RALPH W. NIMMONS, JR., UNITED STATES DISTRICT JUDGE."
35,Opinion by,"Opinion by: RALPH W. NIMMONS, JR."
45,Counsel,"Counsel: For VIRTUAL MAINTENANCE, INC., Plaintiff - Appellee: Ronald S. Katz, Janet S. Arnold, Coudert 
Brothers, San Francisco, CA. Donald M. Falk, Mayer, Brown & Platt, Washington, DC. Rodger D. Young, ARGUED, 
BRIEFED, Jamal J. Hamood, BRIEFED, Young & Hamood, Southfield, MI.
For PRIME COMPUTER, INC., Defendant - Appellant: Stephen F. Wasinger, Howard B. Iwrey, Honigman, Miller, 
Schwartz & Cohn, Detroit, MI. Charles Fried, ARGUED, Harvard Law School, Cambridge, MA. Deborah J. Hart, 
BRIEFED, James C. Burling, BRIEFED, Hale & Dorr, Boston, MA."
45,Judges,"Judges: Before: JONES and SUHRHEINRICH, Circuit Judges; and LIVELY, Senior Circuit Judge."
45,Opinion by,Opinion by: SUHRHEINRICH
56,Counsel,"Counsel:  [**1]  For Plaintiff: Daniel W. Bates, Esq., Kenneth D. Keating, Esq., Petruccelli & Martin, Portland, 
Maine.
For Defendants: John J. O'Leary Jr., Esq., Pierce, Atwood, Scribner, Allen, Smith & Lancaster, Portland, Maine. 
Chriss B. Wetherington, Esq., Bernhardt K. Wruble, Esq., Verner, Liipfer, Bernard, McPherson & Hand, 
Washington, D.C."
56,Judges,Judges: CARTER
56,Opinion by,Opinion by: GENE CARTER
73,Counsel,"Counsel: Jose A. Hernandez Mayoral with whom Rafael Hernandez Mayoral was on brief for appellants.
Jaime E. Toro-Monserrate with whom Samuel T. Cespedes and Ana Matilde Nin were on brief for Welch Food, Inc.
Jorge I. Peirats with whom Jacabed Rodriguez Coss was on brief for Magna Trading Corp."
74,Judges,"Judges: Before Breyer, Chief Judge, Coffin, Senior Circuit Judge, and Boudin, Circuit Judge."
74,Opinion by,Opinion by: COFFIN
86,Judges,Judges:  [*1]  BUCKLO
86,Opinion by,Opinion by: ELAINE E. BUCKLO
93,Counsel,"Counsel: WHITNEY NORTH SEYMOUR, JR., New York, NY, for Plaintiff-Appellant.
FRANCES A. CIARDULLO, Syracuse, NY, (Costello, Cooney & Fearon), for Defendants-Appellees."
93,Judges,"Judges: Before: CARDAMONE, McLAUGHLIN, and LAY, * Circuit Judges."
93,Opinion by,Opinion by: LAY
110,Judges,Judges:  [*1]  NESBITT
110,Opinion by,Opinion by: LENORE C. NESBITT
151,Counsel,"Counsel:  [**1]  For Plaintiffs: Myron M. Cherry, Jeffrey Mark Wagner, CHERRY & FLYNN, Chicago, IL. Kenneth 
Frederick Levin, LAW OFFICES OF KENNETH F. LEVIN, CHTD., Lincolnwood, IL.
For Defendants: David B. Bayless, Gary L. Prior, David Michael Keller, David Marx, Mark W. Schroeder, 
Christopher MacNeil Murphy, McDERMOTT, WILL & EMERY, Chicago, IL."
151,Judges,Judges: NORDBERG
151,Opinion by,Opinion by: JOHN A. NORDBERG
171,Judges,Judges:  [*1]  Plunkett
171,Opinion by,Opinion by: PAUL E. PLUNKETT
