頁碼,內容類型,內容
27,Counsel,"Counsel:  [**1]  For JES Properties, Inc., a Florida corporation doing business as Cypress Trails Farm, Michael W. 
Gallagher, Plaintiffs: Anna-Katrina S. Christakis, Jason B. Hirsh, John L. Ropiequet, Michael R. Turoff, Robert D. 
Butters, Arnstein & Lehr LLP, Chicago, IL; Robin S. Trupp, Arnstein & Lehr LLP, Tampa, FL.
For Dave Burton, also known as Dave Burton, Sr., also known as Dave E. Burton, also known as Dave E. Burton, 
Sr., Burton & Sons, Inc., Littlewood Fences, Inc., David Burton, also known as David Burton, Jr., also known as 
David E. Burton, also known as David E. Burton, Jr., Defendants: Charlotte D. Gage, Stanley Howard Eleff, 
Trenam, Kemker, Scharf, Barkin, Frye, O'Neill & Mullis, P.A., Tampa, FL.
For Bob Bell, Classic Co., Ltd., Defendants: William Charles Hughes, Law Office of Brent G. Siegel, P.A., 
Gainesville, FL.
For Kernan Hodges, also known as George H. Hodges, Jr., Defendant: David Thomas Knight, Hill, Ward & 
Henderson, P.A., Tampa, FL.
For United States Equestrian Federation, Inc., Defendant: Christopher Lee Griffin, James Maxwell Landis, Jon P. 
Tasso, Foley & Lardner, Tampa, FL.
For Rose View Stables Ltd., Thomas E. Struzzieri, Horse Shows in the Sun,  [**2]  Inc., Linda S. Aldrich, Fox Lea 
Farm, Inc., Defendants: Julie S. Sneed, Richard George Salazar, Fowler White Boggs Banker P.A., Tampa, FL.
For Michael Nachwalter, Mediator: Pro se, Kenny, Nachwalter, Seymour, Arnold, Critchlow & Spector, P.A., Miami, 
FL.
For Keith D Bartz, Movant: Jon P. Tasso, Foley & Lardner, Tampa, FL.
For North Florida Hunter & Jumper Assoc., Inc., Defendant: Donald A. Mihokovich, Ruden, McClosky, Smith, 
Schuster & Russell, P.A., Tampa, FL.
For USA Equestrian Trust, formerly known as USA Equestrian, Inc., formerly known as American Horse Show 
Assoc., Defendant: Chris S. Coutroulis, Carlton Fields, P.A., Tampa, FL; George Hunter Gibbons, Michael P. 
Murphy, Richard Roger Garland, Dickinson and Gibbons, P.A., Sarasota, FL; Samuel J. Salario, Jr., Carlton Fields, 
P.A., Tampa, FL.
For Eugene R. Mische, Defendant: Edward J. Comey, Thomas M. Wood, Shumaker, Loop & Kendrick, LLP, 
Tampa, FL; Thomas T. Steele, Law Offices of Thomas T. Steele, P.A., Tampa, FL; William J. Berman, Berman, 
Rosenbach, P.C., Morristown, NJ.
For Stadium Jumping Inc., Defendant: Edward J. Comey, Thomas M. Wood, Shumaker, Loop & Kendrick, LLP, 
Tampa, FL; Thomas T. Steele,  [**3]  Law Offices of Thomas T. Steele, P.A., Tampa, FL; William J. Berman, 
Berman, Rosenbach, P.C., Morristown, NJ; Richard George Salazar, Fowler White Boggs Banker P.A., Tampa, FL."
27,Judges,"Judges: SUSAN C. BUCKLEW, United States District Judge."
27,Opinion by,Opinion by: SUSAN C. BUCKLEW
37,Counsel,"Counsel:  [*1]  For East Portland Imaging Center, P.C., an Oregon professional corporation doing business as Epic 
Imaging-East, Body Imaging, P.C., an Oregon professional corporation doing business as Body Imaging Radiology, 
Pacific Breast Center, Women's Imaging P.C, Plaintiffs: Julie A. Weis, Michael E. Haglund, Michael K. Kelley, 
Michael G. Neff, Shay S. Scott, Haglund Kelley Horngren Jones & Wilder, LLP, Portland, OR.
For Body Imaging Radiology, Plaintiff: Michael E. Haglund, Haglund Kelley Horngren Jones & Wilder, LLP, 
Portland, OR.
For Providence Health System-Oregon, an Oregon non-profit corporation, Providence Health Plan, an Oregon non-
profit corporation, Defendants: Arden J. Olson, Harrang Long Gary Rudnick, PC (Eugene), Eugene, OR; Charles S. 
Wright, Douglas C. Ross, Marvin L. Gray, Jr., Davis Wright Tremaine, LLP (Seattle), Seattle, WA; John F. McGrory, 
Jr., Davis Wright Tremaine, LLP, Portland, OR.
For Portland Medical Imaging, LLC, an Oregon limited liability company, Defendant: Arden J. Olson, Harrang Long 
Gary Rudnick, PC (Eugene), Eugene, OR; John F. McGrory, Jr., Davis Wright Tremaine, LLP, Portland, OR; 
Michael E. Haglund, Michael G. Hanlon, Attorney at Law, Portland,  [*2]  OR.
For Radiology Specialists of the Northwest, P.C., a professional corporation, Defendant: Daniel L. Keppler, Susan 
E. Watts, Kennedy Watts Arellano & Ricks, LLP, Portland, OR; Peter F. Stoloff, Peter F. Stoloff, PC, Portland, OR.
For Center for Medical Imaging, LLC, an Oregon limited liability company, Defendant: Jeff S. Pitzer, Pitzer Law, 
Portland, OR.
For Advanced Medical Imaging, LLC, an Oregon limited liability company, Defendant: William B. Crow, Andrew J. 
Lee, Schwabe Williamson & Wyatt, PC, Portland, OR.
For Providence Plan Partners, Defendant: John F. McGrory, Jr., Davis Wright Tremaine, LLP, Portland, OR.
For Kaiser Foundation Hospitals, Interested Party: Connie E. McKelvey, Hoffman Hart & Wagner, LLP, Portland, 
OR.

 
For Providence Health System-Oregon, an Oregon non-profit corporation, Providence Health Plan, an Oregon non-
profit corporation, Counter Claimants: John F. McGrory, Jr., Davis Wright Tremaine, LLP, Portland, OR."
38,Judges,"Judges: GARR M. KING, United States District Judge."
38,Opinion by,Opinion by: GARR M. KING
52,Counsel,"Counsel:  [*1] For James Kelly Lambert, individually and on behalf of all others similarly situated, Donald J Scott, 
individually and on behalf of all others similarly situated, W Robin Lovelock, individually and on behalf of all others 
similarly situated, Plaintiffs: Adam Stewart Lambert, LEAD ATTORNEY, Adam S. Lambert, Attorney at Law, New 
Orleans, LA USA; Andre P. Guichard, Andre Guichard, Attorney at Law, New Orleans, LA USA; Louis Roy Koerner, 
Jr., Koerner Law Firm, New Orleans, LA USA.
For Board of Commissioners of The Orleans Levee District, Defendant: Thomas P. Anzelmo, LEAD ATTORNEY, 
McCranie, Sistrunk, Anzelmo, Hardy, McDaniel & Welch (N.O.), New Orleans, LA USA; Andre Jude Lagarde, U. S. 
Attorney's Office (New Orleans), New Orleans, LA USA; Kyle P. Kirsch, Wanek Kirsch Davies LLC, New Orleans, 
LA USA.
For Marine Recovery And Salvage, Llc, Douglas Scott Carmouche, Michael George Mayer, Defendants: Glenn B. 
Adams, LEAD ATTORNEY, Chauntis Jenkins-Floyd, Porteous, Hainkel & Johnson (New Orleans), New Orleans, 
LA USA; Denia Sylve Aiyegbusi, Deutsch Kerrigan & Stiles LLP (New Orleans), New Orleans, LA USA.
For James P Huey, Defendant: Bradley Joseph Schlotterer, LEAD ATTORNEY, Charles Rowand Talley, [*2]  Karen 
Waters Shipman, Kean Miller LLP (New Orleans), New Orleans, LA USA; Brett P. Fenasci, Gregorio, Chafin, 
Johnson, & Poolson, LLC (New Orleans), Metairie, LA USA.
For George L Carmouche, Defendant: Brennan C. Ardoin, LEAD ATTORNEY, Brennan C. Ardoin, Attorney at Law, 
Baton Rouge, LA USA.
For Resolve Marine Group, Defendant: Russell Keith Jarrett, LEAD ATTORNEY, Joseph I. Giarrusso, III, Liskow & 
Lewis (New Orleans), New Orleans, LA USA."
52,Judges,"Judges: SARAH S. VANCE, UNITED STATES DISTRICT JUDGE."
52,Opinion by,Opinion by: SARAH S. VANCE
67,Counsel,"Counsel:  [*1]  For Masimo Corporation, a Delaware corportion, Plaintiff: Amy Thomas Brantly, David C Marcus, 
Marc M Seltzer, Stephen E Morrissey, Susman Godfrey, Los Angeles, CA; Andre V Egle, Maurice M Suh, Susman 
2006 U.S. Dist. LEXIS 29977, *29977

 
Godfrey, Seattle, WA; David W Kesselman, Donald R Pepperman, Maxwell M Blecher, Blecher & Collins, Los 
Angeles, CA; Stephen D Susman, Vineet Bhatia, Susman Godfrey, Houston, TX.
For Tyco Health Care Group L.P., a Delaware partnership, Mallinckrodt Incorporated, a Delawre corporation, 
Defendants: Bruce A Bleleld, John P DeGeeter, John L Murchison, Jr, Vinson & Elkins, Houston, TX; Craig N 
Hentschel, Dykema Gossett, Los Angeles, CA; Dominic Surprenant, Quinn Emanuel Urquhart Oliver & Hedges, Los 
Angeles, CA; James J Donato, Neil J Stephens, John Francis Young, Linda Anne Fritsch Callison, Stephen C Neal, 
Cooley Godward, San Francisco, CA."
