頁碼,內容類型,內容
21,Counsel,"Counsel:  [**1] For Cisco Systems, Inc., a California corporation, Cisco Technology, Inc., a California corporation, 
Plaintiffs, Counter-defendants: Richard Joseph Nelson, LEAD ATTORNEY, Ellen Peitse Liu, Michael H. Hewitt, 
Zachary J. Alinder, Sideman & Bancroft LLP, San Francisco, CA; Lyndsey C. Heaton, Sideman Bancroft LLP, San 
Francisco, CA; Rebecca Keiko Felsenthal, Sideman and Bancroft LLP, San Francisco, CA.
For Beccela's Etc., LLC, a California limited liability company, Defendant: Douglas James Dixon, LEAD 
ATTORNEY, John Charles Hueston, Hueston Hennigan LLP, Newport Beach, CA; Craig Alexander Fligor, Hueston 
Hennigan LLP, NEWPORT BEACH, CA.
For Arbitech, LLC, a California limited liability company, Defendant: Douglas James Dixon, John Charles Hueston, 
LEAD ATTORNEYS, Hueston Hennigan LLP, Newport Beach, CA; Craig Alexander Fligor, Hueston Hennigan LLP, 
NEWPORT BEACH, CA.
For Beccela's Etc., LLC, a California limited liability company, Counter-claimant: Douglas James Dixon, LEAD 
ATTORNEY, John Charles Hueston, Hueston Hennigan LLP, Newport Beach, CA.
For Arbitech, LLC, a California limited liability company, Counter-claimant: Douglas James Dixon, LEAD 
ATTORNEY, Hueston Hennigan LLP, Newport Beach, [**2]  CA.
For Arbitech, LLC, a California limited liability company, Counter-claimant: Douglas James Dixon, John Charles 
Hueston, LEAD ATTORNEYS, Hueston Hennigan LLP, Newport Beach, CA."
21,Judges,"Judges: BETH LABSON FREEMAN, United States District Judge."
21,Opinion by,Opinion by: BETH LABSON FREEMAN
44,Counsel,"Counsel: For FEDERAL TRADE COMMISSION, Plaintiff - Appellee (18-2847, 18-3310): Michael D. Bergman, 
Attorney, Joel Marcus, Attorney, FEDERAL TRADE COMMISSION, Office of the General Counsel, Washington, 
DC; Guy G. Ward, Attorney, FEDERAL TRADE COMMISSION, Chicago, IL.
For CREDIT BUREAU CENTER, LLC, a limited liability company formerly known as Myscore LLC, doing business 
as Efreescore.com, doing business as Creditupdates.com, doing business as Freecreditnation.com, MICHAEL 
BROWN, individually and as owner and manager of Credit Bureau Center, LLC, Defendants - Appellants (18-2847, 
18-3310): Stephen R. Cochell, Attorney, THE COCHELL LAW FIRM, P.C., Houston, TX."
44,Judges,"Judges: Before MANION, SYKES, and BRENNAN, Circuit Judges. WOOD, Chief Judge, with whom ROVNER and 
HAMILTON, Circuit Judges, join, dissenting."
44,Opinion by,Opinion by: SYKES
69,Counsel,"Counsel:  [*1] For Mario Ortiz, Plaintiff: Barrett J. Vahle, Norman Eli Siegel, LEAD ATTORNEYS, Christopher 
Curtis Shank, Stueve Siegel Hanson, LLP - KCMO, Kansas City, MO USA; Celeste H.G. Boyd, LEAD ATTORNEY, 
The Paynter Law Firm, PLLC, Chapel Hill, NC USA; Leonard W. Aragon, LEAD ATTORNEY, Hagens Berman 
Sobol Shapiro LLP - Phoenix, Phoenix, AZ USA; John DeStefano, Robert B Carey, LEAD ATTORNEYS, Hagens 
Berman Sobol Shapiro LLP, Phoenix, AZ USA; Sara Willingham, Stuart M. Paynter, LEAD ATTORNEYS, The 
Paynter Law Firm PLLC, Washington, DC USA.
For Stephen Morrison, Plaintiff: Barrett J. Vahle, Norman Eli Siegel, LEAD ATTORNEYS, Stueve Siegel Hanson, 
LLP - KCMO, Kansas City, MO USA; Celeste H.G. Boyd, LEAD ATTORNEY, The Paynter Law Firm, PLLC, Chapel 
Hill, NC USA; John DeStefano Robert B Carey, LEAD ATTORNEYS, Hagens Berman Sobol Shapiro LLP, Phoenix, 
AZ, USA; Leonard W. Aragon, LEAD ATTORNEY, Hagens Berman Sobol Shapiro LLP - Phoenix, Phoenix, AZ 
USA; Sara Willingham, Stuart M. Paynter, LEAD ATTORNEYS, The Paynter Law Firm PLLC, Washington, DC 
USA.
For Steven Tseffos, Plaintiff: Barrett J. Vahle, Norman Eli Siegel, LEAD ATTORNEYS, Stueve Siegel Hanson, LLP 
- KCMO, Kansas City, MO USA; Celeste H.G. [*2] Boyd, LEAD ATTORNEY, The Paynter Law Firm, PLLC, Chapel 
Hill, NC USA; John DeStefano, Robert B Carey, LEAD ATTORNEYS, Hagens Berman Sobol Shapiro LLP, 
Phoenix, AZ USA; Leonard W. Aragon, LEAD ATTORNEY, Hagens Berman Sobol Shapiro LLP - Phoenix, 
Phoenix, AZ USA; Sara Willingham, Stuart M. Paynter, LEAD ATTORNEYS, The Paynter Law Firm PLLC, 
Washington, DC USA."
69,Judges,"Judges: GARY A. FENNER, UNITED STATES DISTRICT JUDGE."
69,Opinion by,Opinion by: GARY A. FENNER
87,Counsel,"Counsel:  [*1] For Corelogic Inc., Miscellaneous: James Dale Lawrence, LEAD ATTORNEY, Bryan Cave Leighton 
Paisner LLP - KCMO, Kansas City, MO.
For Homeservices of America Inc., Defendant: Jay N. Varon, LEAD ATTORNEY, PRO HAC VICE, Foley & Lardner-
Boston, Boston, MA; Matthew T Ciulla, LEAD ATTORNEY, PRO HAC VICE, MacGill PC, Indianapolis, IN; Robert D 
MacGill, LEAD ATTORNEY, PRO HAC VICE, MacGill PC, Indianapolis, IN; Brian C Fries, LEAD ATTORNEY, 
Lathrop GPM LLP, Kansas City, MO; Jennifer M. Keas, LEAD ATTORNEY, PRO HAC VICE, Foley & Lardner LLP, 
Washington, DC; Matthew B Barr, PRO HAC VICE, Barnes & Thornburg - Indianapolis, Indianapolis, IN; Karoline E. 
Jackson, PRO HAC VICE, Barnes & Thornburg LLP, Indianapolis, IN.
For MARIS MLS, Movant: Robert A. Henderson, LEAD ATTORNEY, Polsinelli PC - KCMO, Kansas City, MO; 
Phillip James Richard Zeeck, Polsinelli PC - KCMO, Kansas City, MO.
For Missouri Association of Realtors, Movant: Phillip James Richard Zeeck, Polsinelli PC - KCMO, Kansas City, 
MO; Robert A. Henderson, LEAD ATTORNEY, Polsinelli PC - KCMO, Kansas City, MO.
For Re/Max Boone County Realty, Movant: Robert A. Henderson, LEAD ATTORNEY, Polsinelli PC - KCMO, 
Kansas City, MO.
For REALOGY HOLDINGS CORP., [*2]  Defendant: Stacey A. Mahoney, LEAD ATTORNEY, PRO HAC VICE, 
Morgan Lewis & Bockius LLP - NY, New York, NY; William T McEnroe, LEAD ATTORNEY, PRO HAC VICE, 
Philadelphia, PA; Jonathan M Justl, LEAD ATTORNEY, Morgan Lewis & Bockius LLP - NY, New York, NY; 
Kenneth M. Kliebard, LEAD ATTORNEY, PRO HAC VICE, Morgan Lewis & Bockius LLP - Chicago, Chicago, IL; 
Megan J. Ochs, LEAD ATTORNEY, Armstrong Teasdale LLP-KCMO, Kansas City, MO; Karrie J. Clinkinbeard, 
Armstrong Teasdale LLP-KCMO, Kansas City, MO.
For Amy Winger, on behalf of themselves and all others similarly situated, Plaintiff: Eric L. Dirks, Williams Dirks 
Dameron LLC, Kansas City, MO.

 
For Joshua Sitzer, on behalf of themselves and all others similarly situated, Plaintiff: Courtney Marie Stout, Williams 
Dirks Dameron LLC, Kansas City, MO.
For Southern Missouri Regional MLS LLC, Movant: Phillip James Richard Zeeck, Polsinelli PC - KCMO, Kansas 
City, MO; Robert A. Henderson, LEAD ATTORNEY, Polsinelli PC - KCMO, Kansas City, MO.
For National Association of Realtors, Defendant: Gregory Dickinson, LEAD ATTORNEY, PRO HAC VICE, Schiff 
Hardin LLP - Chicago, Chicago, IL.
For Re/Max LLC, Defendant: Odeshoo Hasdoo, Jones Day - Chicago, Chicago, IL; [*3]  Danne Wayne Webb, 
LEAD ATTORNEY, Horn Aylward & Bandy LLC, Kansas City, MO; Erin Shencopp, PRO HAC VICE, Jones Day - 
Chicago, Chicago, IL.
For Amy Winger, on behalf of themselves and all others similarly situated, Plaintiff: Courtney Marie Stout, Williams 
Dirks Dameron LLC, Kansas City, MO.
For BHH Affiliates LLC, Defendant: Brian C Fries, Lathrop GPM LLP, Kansas City, MO.
For Kansas City Regional Association of Realtors, Movant: Robert A. Henderson, LEAD ATTORNEY, Polsinelli PC 
- KCMO, Kansas City, MO.
For Ryan Hendrickson, Plaintiff: Erin D Lawrence, Boulware Law LLC, Kansas City, MO.
For Keller Williams Realty Inc., Defendant: Martin G. Durkin Jr, LEAD ATTORNEY, PRO HAC VICE, Holland & 
Knight, Chicago, IL.
For Ryan Hendrickson, Plaintiff: Matthew Lee Dameron, Williams Dirks Dameron LLC, Kansas City, MO.
For Scott Burnett, Plaintiff: Erin D Lawrence, Boulware Law LLC, Kansas City, MO; Jeremy M. Suhr, Boulware Law 
LLC, Kansas City, MO; Matthew Lee Dameron, Williams Dirks Dameron LLC, Kansas City, MO; Courtney Marie 
Stout, Williams Dirks Dameron LLC, Kansas City, MO; Eric L. Dirks, Williams Dirks Dameron LLC, Kansas City, 
MO; Amy R Jackson, Williams Dirks Dameron LLC, Kansas City, MO; Brandon [*4]  J.B. Boulware, Boulware Law 
LLC, Kansas City, MO.
For Joshua Sitzer, on behalf of themselves and all others similarly situated, Plaintiff: Jeremy M. Suhr, Boulware Law 
LLC, Kansas City, MO.
For Rhonda Burnett, Plaintiff: Brandon J.B. Boulware, Boulware Law LLC, Kansas City, MO.
For The Way Home Inc. d/b/a Century 21 Access, Miscellaneous: Brendan J Murphy, LEAD ATTORNEY, Evans & 
Dixon LLC, Overland Park, KS.
For House of Brokers Inc., Remax House of Brockers, interested party: Warren E. Harris, LEAD ATTORNEY, 
Taylor Stafford Clithero & Harris LLP, Springfield, MO.
For Keller Williams Realty Inc., Defendant: William F. Farley, LEAD ATTORNEY, PRO HAC VICE, Holland & 
Knight, Chicago, IL.
For The Long & Foster Companies Inc., Defendant: Karoline E. Jackson, PRO HAC VICE, Barnes & Thornburg 
LLP, Indianapolis, IN.
For Amy Winger, on behalf of themselves and all others similarly situated, Plaintiff: Brandon J.B. Boulware, 
Boulware Law LLC, Kansas City, MO; Amy R Jackson, Williams Dirks Dameron LLC, Kansas City, MO; Erin D 
Lawrence, Boulware Law LLC, Kansas City, MO; Jeremy M. Suhr, Boulware Law LLC, Kansas City, MO; Matthew 
Lee Dameron, Williams Dirks Dameron LLC, Kansas City, MO.
For HSF Affiliates [*5]  LLC, Defendant: Brian C Fries, LEAD ATTORNEY, Lathrop GPM LLP, Kansas City, MO; 
Karoline E. Jackson, PRO HAC VICE, Barnes & Thornburg LLP, Indianapolis, IN.
For Joshua Sitzer, on behalf of themselves and all others similarly situated, Plaintiff: Matthew Lee Dameron, 
Williams Dirks Dameron LLC, Kansas City, MO; Amy R Jackson, Williams Dirks Dameron LLC, Kansas City, MO; 
Eric L. Dirks, Williams Dirks Dameron LLC, Kansas City, MO; Erin D Lawrence, Boulware Law LLC, Kansas City, 
MO; Brandon J.B. Boulware, Boulware Law LLC, Kansas City, MO.
2019 U.S. Dist. LEXIS 236447, *2

 
For Keller Williams Realty Inc., Defendant: David C. Kully, LEAD ATTORNEY, PRO HAC VICE, Holland & Knight 
LLP, Washington, DC; David R. Buchanan, LEAD ATTORNEY, Brown & James PC-KCMO, Kansas City, MO; Anna 
P. Hayes, LEAD ATTORNEY, PRO HAC VICE, Washington, DC; Timothy Ray, LEAD ATTORNEY, PRO HAC 
VICE, Holland & Knight, Chicago, IL.
For Rhonda Burnett, Plaintiff: Amy R Jackson, Williams Dirks Dameron LLC, Kansas City, MO; Eric L. Dirks, 
Williams Dirks Dameron LLC, Kansas City, MO; Jeremy M. Suhr, Boulware Law LLC, Kansas City, MO; Matthew 
Lee Dameron, Williams Dirks Dameron LLC, Kansas City, MO; Erin D Lawrence, Boulware Law LLC, Kansas City, 
MO; Courtney [*6]  Marie Stout, Williams Dirks Dameron LLC, Kansas City, MO.
For Ryan Hendrickson, Plaintiff: Jeremy M. Suhr, Boulware Law LLC, Kansas City, MO; Courtney Marie Stout, 
Williams Dirks Dameron LLC, Kansas City, MO; Brandon J.B. Boulware, Boulware Law LLC, Kansas City, MO; Amy 
R Jackson, Williams Dirks Dameron LLC, Kansas City, MO; Eric L. Dirks, Williams Dirks Dameron LLC, Kansas 
City, MO.
For Columbia Board of Realtors, Movant: Robert A. Henderson, LEAD ATTORNEY, Polsinelli PC - KCMO, Kansas 
City, MO; Phillip James Richard Zeeck, Polsinelli PC - KCMO, Kansas City, MO.
For House of Brokers Inc., doing business as, interested party: Warren E. Harris, LEAD ATTORNEY, Taylor 
Stafford Clithero & Harris LLP, Springfield, MO.
For BHH Affiliates LLC, Defendant: Karoline E. Jackson, PRO HAC VICE, Barnes & Thornburg LLP, Indianapolis, 
IN.
For National Association of Realtors, Defendant: Alex Barrett, Stinson LLP - JC, Jefferson City, MO; Charles W. 
Hatfield, LEAD ATTORNEY, Stinson LLP - JC, Jefferson City, MO; Jack R. Bierig, LEAD ATTORNEY, PRO HAC 
VICE, Schiff Hardin LLP - Chicago, Chicago, IL; Suzanne L. Wahl, LEAD ATTORNEY, PRO HAC VICE, Schiff 
Hardin LLP - MI, Ann Arbor, MI.
For The Long & Foster Companies [*7]  Inc., Defendant: Brian C Fries, LEAD ATTORNEY, Lathrop GPM LLP, 
Kansas City, MO.
For United States, interested party: Steven J. Mintz, LEAD ATTORNEY, United States Department of Justice-DC, 
Washington, DC.
For Re/Max LLC, Defendant: Megan E. Ryan, LEAD ATTORNEY, PRO HAC VICE, Chicago, IL; Paula W. Render, 
PRO HAC VICE, Jones Day - Chicago, Chicago, IL; Stephen James Miller, LEAD ATTORNEY, PRO HAC VICE, 
Jones Day - Cleveland, Cleveland, OH; Jeffrey A LeVee, LEAD ATTORNEY, Los Angeles, CA; Andrea S. 
McMurtry, Horn Aylward & Bandy LLC, Kansas City, MO; Jeremy J. Gray, LEAD ATTORNEY, PRO HAC VICE, 
Jones Day, Chicago, IL.
For Kansas City Regional Association of Realtors, Movant: Phillip James Richard Zeeck, Polsinelli PC - KCMO, 
Kansas City, MO.
For Re/Max 1st Choice, Movant: Robert A. Henderson, LEAD ATTORNEY, Polsinelli PC - KCMO, Kansas City, 
MO."
89,Judges,"Judges: STEPHEN R. BOUGH, UNITED STATES DISTRICT JUDGE."
89,Opinion by,Opinion by: STEPHEN R. BOUGH
98,Counsel,"Counsel:  [**1] For Caruso Management Company Ltd., a California limited partnership with its principal place of 
business in Los Angeles, California, Plaintiff: Julia Marie Beskin, Quinn Emanuel Urquhart & Sullivan LLP, New 
York, NY USA; Renita Sharma, Quinn Emanuel Urquhart & Sullivan LLP, New York, NY USA; Steven M. Edwards, 
Quinn Emanuel Urquhart & Sullivan (NYC), New York, NY USA.
For International Council of Shopping Centers, an Illinois not-for-profit corporation with its principal place of 
business in New York, New York, Defendant: Alan Schoenfeld, Wilmer Cutler Pickering Hale & Dorr LLP (NYC), 7 
World Trade Center, New York, NY USA; Steven Franklin Cherry, Wilmer Cutler Pickering Hale & Dorr, L.L.P. (NY), 
Washington, Dc, Nw.
For Simon Property Group, Inc., Interested Party: Samuel David Levy, LEAD ATTORNEY, Blank Rome LLP (NYC), 
New York, NY USA."
98,Judges,"Judges: VICTOR MARRERO, United States District Judge."
98,Opinion by,Opinion by: VICTOR MARRERO
