PDF ,Page ,Core Terms
a1  ,  21 ,"plant, patents, cuttings, chrysanthemum, royalties, growers, propagator-distributor, sport, flowers, damages,
           infringement, breeder, ornamental, monopolization, district court, programs, prices, sales, invention, antitrust,
           customers, relevant market, plant patent, mutations, self-propagators, asexual, Sherman Act, Shoe, cases,
           reproduction"
a1  ,  65 ,"Anti-Trust, commerce, decisions, anesthesiology, Anesthesia, conspiracy, antitrust violation, target area, treble
           damages, provisions"
a1  ,  73 ,"insurance business, regulation, alleges, boycott, sickness, accident insurance, insurance company, anti trust law,
           co-conspirator, Holds, interstate commerce, claim for relief, McCarran-Ferguson Act, exemption, summary
           judgment, policyholders, intimidation, monopolize"
a1  ,  81 ,"gypsum, wallboard, covenant, settlement, manufacturer, antitrust, subsidiaries, contractors, projects, rebate"
a1  ,  85 ,"rates, antitrust, courts, matters, anti trust law, Telephone, allegations, immunize, regulated industry, customers,
           doctrine of primary jurisdiction, anticompetitive, interconnect, challenges, exhaustion, monopolize, regulated,
           powers"
a1  ,  92 ,"Franchise, distributorship, distributor, manufacturer, conspiracy, Practices, termination, Antitrust, sales, parties,
           advertising, license, anti trust law, products, proofs, franchisee, restraint of trade, per se violation, competitors,
           monopoly, federal case, combinations, cancelling, contracts, territory, trademark, cases"
a1  , 106 ,"players, Rozelle Rule, exemption, teams, anti trust law, district court, Sherman Act, bargaining, collective
           bargaining, negotiations, League, free agent, mandatory, antitrust, parties, played, nonstatutory, collective
           bargaining agreement, rule of reason, cases, restraint of trade, per se violation, group boycott, principles, effects,
           Bylaws, circumstances, unilaterally, elimination, favoring"
a1  , 126 ,"sugar, refined sugar, damages, class action, class member, refiner, conspiracy, prices, purchasers, counterclaims,
           predominate, defendants', antitrust, products, users, overcharge, consumer, industrial, customers, plumbing fixture,
           certification, brokers, plaintiffs', courts, retail, allowances, lawsuits, marketed, allegations, wholesalers"
a1  , 168 ,"Sherman Act, district court, food, discount, parties, prices, interstate commerce, department store, competitors, rule
           of reason, merchandise, supermarket, license, restraint of trade, out-of-state, commerce, non-food, mart, summary
           judgment, purchases, grocery, food store, restrictions, regulation, antitrust, compete, sales, license agreement,
           horizontal, customer"
a1  , 183 ,"cephalosporin, Revised, rebate, products, sales, antibiotics, cefazolin, drugs, marketing, purchases, monopoly
           power, anti-infective, fact finding, volume, prices, van, pharmaceutical, deposition, Sherman Act, bonus,
           manufacturers, monopolization, promotion, competitors, effective, tie-in, patents, pretrial order, penicillins,
           pharmacists"
