頁碼,內容類型,內容
24,Counsel,"Counsel: Philip Elman argued the cause for the United States.  With him on the brief were Solicitor General 
Sobeloff, Assistant Attorney General Barnes and Daniel M. Friedman.
Manuel Lee Robbins, Special Assistant Attorney General of New York, argued the cause for the New York State 
Athletic Commission, as amicus curiae, urging reversal.  With him on the brief was [****3]  Nathaniel L. Goldstein, 
Attorney General, for the State of New York and the New York State Athletic Commission, as amici curiae.
Whitney North Seymour and Charles H. Watson argued the cause for appellees.  On the brief were Mr. Seymour, 
Benjamin C. Milner and Armand F. Macmanus for the International Boxing Club of New York, Inc. et al., and Mr. 
Watson for the International Boxing Club, Inc. et al., appellees."
24,Judges,"Judges: Warren, Black, Reed, Frankfurter, Douglas, Burton, Clark, Minton, Harlan"
24,Opinion by,Opinion by: WARREN
39,Counsel,"Counsel: Kenneth C. Royall argued the cause for appellants.  On the brief were Mr. Royall and John F. Caskey for 
the Madison Square Garden Corporation et al., and Charles Sawyer for the International Boxing Club, Inc., of 
Illinois, et al.
Philip Elman argued the cause for the United States.  On the brief were Solicitor General Rankin, Assistant Attorney 
General Hansen and Charles H. Weston."
39,Judges,"Judges: Warren, Black, Frankfurter, Douglas, Clark, Harlan, Brennan, Whittaker; Stewart took no part in the 
consideration or decision of this case"
39,Opinion by,Opinion by: CLARK
58,Counsel,"Counsel: Solicitor General Rankin argued the cause for the United States.  With him on the brief were Assistant 
Attorney General Hansen, Daniel M. Friedman, Bernard M. Hollander and Raymond M.  [****3]  Carlson.
Bernard G. Segal argued the cause for appellees.  With him on the brief were Edward W. Mullinix, Josephine H. 
Klein and Lawrence J. McKay."
58,Judges,"Judges: Warren, Black, Clark, Harlan, Brennan, Whittaker, Stewart; Frankfurter and Douglas took no part in the 
consideration or decision of this case"
58,Opinion by,"Opinion by: WARREN 
358 U.S. 334, *334; 79 S. Ct. 457, **457; 3 L. Ed. 2d 354, ***354; 1959 U.S. LEXIS 1936, ****1"
77,Counsel,"Counsel: Max Swiren and Harold J. Soderberg argued the cause for appellants.  Max Swiren, John G. Dorsey and 
Richard Musenbrock were on the brief for the Minneapolis & St. Louis Railway Co., appellant in No. 12; Parnell 
Donohue, Attorney General of South Dakota, Herman L. Bode, Assistant Attorney General, and Ernest W. 
Stephens for the State of South Dakota et al., appellants in No. 27; and Miles Lord, Attorney General of Minnesota, 
and Harold J. Soderberg, Assistant Attorney General,  [****6]  for the State of Minnesota et al., appellants in No. 28.
Robert W. Ginnane and Starr Thomas argued the cause for appellees.  Solicitor General Rankin, Acting Assistant 
Attorney General Bicks, Richard A. Solomon, Robert W. Ginnane and B. Franklin Taylor, Jr. were on the brief for 
the United States and the Interstate Commerce Commission; Grenville Beardsley, Attorney General of Illinois, and 
Harry R. Begley, Special Assistant Attorney General, for the State of Illinois; Starr Thomas, Carl E. Bagge and 
Edwin A. Lucas for the Atchison, Topeka & Santa Fe Railway Co. et al.; and Robert H. Walker for certain 
municipalities and shippers et al., appellees."
77,Judges,"Judges: Warren, Black, Frankfurter, Douglas, Clark, Harlan, Brennan, Whittaker, Stewart"
77,Opinion by,Opinion by: WHITTAKER
92,Counsel,"Counsel: Daniel M. Friedman argued the cause for the United States.  With him on the brief were Solicitor General 
Rankin, Acting Assistant Attorney General Bicks, Richard A. Solomon, Edward R. Kenney and Henry Geller.
Gerhard A. Gesell argued the cause for appellee.  With him on the brief were Edward S. Reid, Jr. and Weaver W. 
Dunnan."
92,Judges,"Judges: Warren, Black, Frankfurter, Douglas, Clark, Harlan, Brennan, Whittaker, Stewart"
92,Opinion by,Opinion by: BRENNAN
111,Counsel,"Counsel: Herbert A. Bergson and William J. Hughes, Jr. argued the cause for the Maryland and Virginia Milk 
Producers Association, Inc.  With them on the brief were Daniel J. Freed, Howard Adler, Jr. and Daniel H. Margolis.
Philip Elman argued the cause for the United States.  On the brief were Solicitor General Rankin, Acting Assistant 
Attorney General Bicks, Charles H. Weston, Irwin A. Seibel and Joseph J. Saunders."
111,Judges,"Judges: Warren, Black, Frankfurter, Douglas, Clark, Harlan, Brennan, Whittaker, Stewart 
362 U.S. 458, *458; 80 S. Ct. 847, **847; 4 L. Ed. 2d 880, ***880; 1960 U.S. LEXIS 1864, ****1"
111,Opinion by,Opinion by: BLACK
120,Counsel,"Counsel: David Previant, Robert C. Knee, Bruce Laybourne and David Leo Uelmen for petitioners.
Bernard J. Roetzel and Charles R. Iden for respondents."
120,Judges,"Judges: Warren, Black, Douglas, Clark, Harlan, Brennan, Whittaker; Frankfurter and Stewart took no part in the 
consideration or decision of this case."
120,Opinion by,Opinion by: PER CURIAM
127,Counsel,"Counsel: John F. Davis argued the cause for the United States.  With him on the briefs were former Solicitor 
General Rankin, Solicitor General Cox, Acting Assistant Attorney General Bicks, Acting Assistant Attorney [****5]  
General Kirkpatrick, Philip Elman, Charles H. Weston and Bill G. Andrews.
Hugh B. Cox argued the cause for E. I. du Pont de Nemours & Co., appellee.  With him on the brief were John Lord 
O'Brian, Charles A. Horsky, Daniel M. Gribbon, Nestor S. Foley and Alvin Friedman.
Robert L. Stern argued the cause for General Motors Corp., appellee.  With him on the brief were Leo F. Tierney, 
Bryson P. Burnham, Henry M. Hogan and Robert A. Nitschke.
Wilkie Bushby argued the cause for Christiana Securities Co. et al., appellees.  With him on the brief was Philip C. 
Scott.
Briefs of amici curiae, urging affirmance, were filed by Andrew J. Dallstream and Manuel E. Cowen for du Pont and 
General Motors shareholders, respectively, and by Joseph M. Proskauer and Harold H. Levin for Clara M. Blum et 
al."
128,Judges,"Judges: Warren, Black, Frankfurter, Douglas, Brennan, Whittaker, Stewart; Clark and Harlan took no part in the 
consideration or decision of this case."
128,Opinion by,Opinion by: BRENNAN
160,Counsel,"Counsel: William M. Bennett argued the cause and filed briefs for petitioner.
Solicitor General Cox argued the cause for the Federal Power Commission, respondent.  With him on the briefs 
were Assistant Attorney General Orrick, John G. Laughlin, Jr., John C. Mason, Ralph S. Spritzer, Howard E. 
Wahrenbrock, Robert L. Russell and Arthur H. Fribourg.
Arthur H. Dean argued the cause for the El Paso Natural Gas Co., respondent.  With him on the briefs were Charles 
V. Shannon, Stanley M. Morley and Stephen Rackow Kaye."
160,Judges,"Judges: Warren, Black, Douglas, Clark, Harlan, Brennan, Stewart; Frankfurter took no part in the decision of this 
case; White took no part in the consideration or decision of this case."
161,Opinion by,Opinion by: DOUGLAS
176,Counsel,"Counsel: Daniel M. Friedman argued the cause for the United States.  With him on the briefs were Solicitor 
General Cox, Assistant Attorney General Loevinger, Lionel Kestenbaum and Richard A. Solomon.
Louis Nizer argued [****3]  the cause for Loew's Incorporated et al., appellees in No. 42 and appellants in No. 43.  
With him on the briefs was Benjamin Melniker.
Myles J. Lane argued the cause and filed briefs for Screen Gems, Inc., appellee in No. 42 and appellant in No. 43.  
With him on the briefs was Everett A. Frohlich.
Mervin C. Pollak argued the cause and filed briefs for C & C Super Corp., appellee in No. 42 and appellant in No. 
44.
Justin M. Golenbock argued the cause for National Telefilm Associates, Inc., appellee in No. 42.  With him on the 
brief were Russell S. Knapp and Seymour Shainswit."
177,Judges,"Judges: Warren, Black, Douglas, Clark, Harlan, Brennan, Stewart, White, Goldberg"
177,Opinion by,Opinion by: GOLDBERG
