opinion_Appeal-2,,
頁碼,內容類型,內容
11,Counsel,"Counsel: L. T. Hatfield, James B. Devine, and Jesse W. Lilienthal, for Appellant.
U. S. Webb, Attorney General, J. Charles Jones, Eugene S. Wachhorst, District Attorney of Sacramento County, 
and Frank F. Atkinson, Assistant District Attorney, for Respondent."
11,Judges,"Judges: HART, J. Chipman, P. J., and Burnett, J., concurred."
11,Opinion by,Opinion by: HART
25,Counsel,"Counsel: James L. Nagle, for Appellant.
Samuel Knight, for Respondent."
25,Judges,"Judges: HART, J. Chipman, P. J., and Ellison, J., pro tem., concurred."
25,Opinion by,Opinion by: HART
33,Counsel,"Counsel: Hoefler, Cook & Snyder for Appellant.
Harry G. McKannay and Heidelberg & Murasky for Respondents."
33,Judges,"Judges: LANGDON, P. J. Nourse, J., and Sturtevant, J., concurred."
33,Opinion by,Opinion by: LANGDON
40,Judges,"Judges: Fred R. Wood, J. WE CONCUR: Peters, P.J., Bray, J."
40,Opinion by,"Opinion by: Fred R. Wood
1953 Cal. App. LEXIS 2053, *1"
59,Counsel,"Counsel: J. Albert Hutchinson for Appellant.
Lawler, Felix & Hall and John M. Hall for Respondents."
59,Judges,"Judges: Moore, P. J.  Fox, J., and Ashburn, J., concurred."
59,Opinion by,Opinion by: MOORE
71,Counsel,"Counsel: LeProhn & LeProhn, Robert LeProhn, Brundage, Hackler & Flaum, Albert Brundage, McCarthy, O'Hara & 
Johnson, P. H. McCarthy, Jr., Neyhart & Grodin and Duane B. Beeson for Petitioners.
No appearance for Respondents.
Scott Elder, Pembroke Gochnauer, Samuel L. Holmes and Angell, Adams, Gochnauer, Elder & Holmes for Real 
Parties in Interest."
71,Judges,"Judges: Kaufman, P. J.  Shoemaker, J., and Agee, J., concurred."
71,Opinion by,Opinion by: KAUFMAN
82,Counsel,"Counsel: Gibson, Dunn & Crutcher, Julian O. von Kalinowski and Charles H. Phillips for Plaintiff and Appellant.
Lyon & Lyon, Lewis E. Lyon, R. Douglas Lyon, Whyte & Schifferman, John Whyte and Robert P. Schifferman for 
Defendants and Respondents."
82,Judges,"Judges: Fourt, J.  Wood, P. J., and Lillie, J., concurred."
82,Opinion by,Opinion by: FOURT
