­¶½X,¤º®e
8,Opinion by: WILSON
17,"Counsel:  [**1]  Arthur Howard Bloomberg, Boston Mass., with whom Phister & Judge, Boston, Mass., was on 
brief, for Union Leader Corp. 
Robert H. Goldman, Lowell, Mass., with whom Frank Goldman, Lowell, Mass., Joseph F. Bacigalupo, Lawrence, 
Mass., and John J. Ryan, Jr., Haverhill, Mass., were on brief, for Haverhill Gazette Co. and others. 
John F. Groden, Charles C. Worth, and Withington, Cross, Park & McCann, Boston, Mass., on brief submitted by 
Phillip S. Weld and Essex County Newspapers, Inc."
17,"Judges: Before GOODRICH, HARTIGAN and ALDRICH, Circuit Judges."
17,Opinion by: ALDRICH
25,"Counsel:  [**1]  Elliott I. Pollock, Washington, D.C., with whom Paul V. Power, Boston, Mass., was on brief, for 
Convertible Top Replacement Co., Inc. 
Charles Hieken, Boston, Mass., with whom David Wolf and Ezekiel Wolf, Wolf & Greenfield, Boston, Mass., were 
on brief, for Aro Mfg. Co., Inc., et al."
25,"Judges: Before WOODBURY, Chief Judge, and HARTIGAN and ALDRICH, Circuit Judges."
25,Opinion by: WOODBURY
35,"Counsel:  [**1]  Breck P. McAllister, New York City, with whom Morton Myerson, Boston, Mass., Roger J. Hawke, 
Frank G. Dawson, New York City, Malloy, Sullivan & Myerson, Boston, Mass., and Donovan, Leisure, Newton & 
Irvine, New York City, were on brief, for appellant. 
Ralph M. Carson, New York City, with whom Robert Proctor, Boston, Mass., Theodore Kiendl, New York City, 
Robert D. Salinger, John B. Reigeluth, Boston, Mass., and Louis L. Stanton, Jr., New York City, were on brief, for 
appellee."
35,"Judges: Before WOODBURY, Chief Judge, and HARTIGAN and ALDRICH, Circuit judges."
35,Opinion by: HARTIGAN
44,"Counsel:  [**1]  Robert H. Goldman, Lowell, Mass., with whom Frank Goldman, Lowell, Mass., Joseph F. 
Bacigalupo, Lawrence, Mass., and Goldman, Goldman & Curtis, Lowell, Mass., were on brief, for The Haverhill 
Gazette Company. 
James M. Malloy and Ralph Warren Sullivan, with whom Malloy, Sullivan & Sullivan, Boston, Mass., was on brief, 
for Union Leader Corporation."
44,"Judges: Before HARTIGAN and ALDRICH, Circuit Judges, and GIGNOUX, District judge."
44,Opinion by: PER CURIAM
46,"Judges: Aldrich, Chief Judge, McEntee and Coffin, Circuit Judges.  Coffin, Circuit Judge (concurring).  Aldrich, 
Chief Judge (dissenting)."
47,Opinion by: McENTEE
59,"Judges: Aldrich, Chief Judge, McEntee and Coffin, Circuit Judges."
59,Opinion by: COFFIN
84,"Judges:  [**1]  Aldrich, Chief Judge, McEntee and Coffin, Circuit Judges."
84,Opinion by: COFFIN
94,"Counsel: C. Keefe Hurley, Boston Massachusetts, with whom Earle C. Cooley, David S. Mortensen, Gary W. 
Carlson, and Hale & Dorr, Boston, Massachusetts, were on brief, for Plaintiff, Appellant. 
James C. Heigham, Boston, Massachusetts, with whom William Diller and Choate, Hall & Stewart, Boston, 
Massachusetts, were on brief, for Defendants, Appellees."
95,"Judges: Aldrich, Chief Judge, McEntee and Coffin, Circuit Judges."
95,Opinion by: COFFIN
101,"Counsel: Alan R. Hoffman, with whom Michael B. Latti and Kaplan, Latti and Flannery were on brief, for Appellants. 
Solomon Sandler, with whom Sandler, Sandler & Laramee was on brief, for Appellees."
101,"Judges: Coffin, Chief Judge, Aldrich and McEntee, Circuit Judges.  Aldrich, Senior Circuit Judge, concurring."
101,Opinion by: COFFIN
108,"Counsel: Leonard Decof, with whom Mark S. Mandell and Leonard Decof, Ltd. were on brief, for Appellants.
Sidney S. Rosdeitcher, with whom Paul, Weiss, Rifkind, Wharton & Garrison, Jack Hassid, Hinckley, Allen, 
Salisbury & Parsons, Thomas D.  Gidley, Stephen J. Carlotti, Covington & Burling, Charles Lister, Jonathan M. 
Weisgall, Carroll, Kelly & Murphy, and Joseph A. Kelly were on brief, for Aetna Casualty & Surety Co., Hartford 
Casualty Company and Hartford Fire Insurance Company, Appellees.
Walker B. Comegys, with whom Powers & Hall, Kirk Hanson, David P.  Whitman, Hanson, Curran, Bowen & Parks, 
Joseph V. Cavanagh, and Higgins, Cavanagh & Cooney were on brief, for St. Paul Fire & Marine Insurance 
Company and Travelers Insurance Company, Appellees."
108,"Judges: Coffin, Chief Judge, Campbell, Circuit Judge, and Gignoux, * District Judge. Campbell, Cir. J., dissenting 
in part."
108,Opinion by: COFFIN
118,"Counsel:  [**1]  John Vanderstar, Washington, D. C., with whom John D. Taurman, Covington & Burling, 
Washington, D. C., Paul B. Galvani, Ropes & Gray, Boston, Mass., and Paul V. Donahue, Pittsfield, Mass., were on 
brief, for Bombardier Limited, et al. 
Thayer Fremont-Smith, Boston, Mass., with whom Robert S. Frank, Jr., Wm. Shaw McDermott, and Choate, Hall & 
Stewart, Boston, Mass., were on brief, for Engine Specialties, Inc."
118,"Judges: Before COFFIN, Chief Judge, BOWNES, Circuit Judge, PETTINE, District Judge.*"
118,Opinion by: PER CURIAM.
122,"Counsel: Sondra L. Shick, Boston, Mass., with whom Bernard I. Kaplan, Martin, Morse, Wylie & Kaplan, Boston, 
Mass., and Angelo M. Torrisi, New York City, were on brief for appellant. 
Michael S. Gardener, Boston, Mass., with whom Joseph C. Tanski and Mintz, Levin, Cohn, Glovsky & Popeo, 
Boston, Mass., were on brief for appellees, Arthur J. Thomson and Frost Controls, Inc. 
Donald B. Gould, Boston, Mass., with whom James E. McGuire, James B. Farmer, and Goodwin, Procter & Hoar, 
Boston, Mass., were on brief for appellee, Sigma Instruments, Inc."
123,"Judges: Before COFFIN, Chief Judge, BOWNES, Circuit Judge, BOYLE, District Judge. *"
123,Opinion by: PER CURIAM.
129,"Counsel: Duane R. Batista, Boston, Mass., with whom Danielle DeBenedictis, and Nutter, McClennen & Fish, 
Boston, Mass., were on brief, for plaintiff, appellant. 
Ernest L. Mathews, Jr., New York City, with whom Charles R. Goldburg, New York City, Condon & Doyle, Boston, 
Mass., and Thomas W. Gleason, New York City, were on brief, for defendants, appellees."
129,"Judges: Before ALDRICH, CAMPBELL and BOWNES, Circuit Judges."
129,Opinion by: CAMPBELL
146,"Counsel: Morris Michelson, Boston, for plaintiffs-appellants. 
Francis H. Fox, Boston, with whom Rory Fitzpatrick, and Bingham, Dana & Gould, Boston, were on brief, for 
defendants-appellees."
146,"Judges: Before COFFIN, Chief Judge, BOWNES, Circuit Judge, HOFFMAN, * District Judge."
146,Opinion by: BOWNES
155,"Counsel: Gilberto Mayo Aguayo, Hato Rey, P. R., with whom Cancio, Cuevas & Mayo, Hato Rey, P. R., was on 
brief, for plaintiffs, appellants. 
Jay A. Garcia Gregory, San Juan, P. R., with whom Fiddler, Gonzalez & Rodriguez, San Juan, P. R., was on brief, 
for defendants, appellees."
155,"Judges: Before CAMPBELL, BOWNES and BREYER, Circuit Judges."
155,Opinion by: BREYER
166,"Counsel: Joseph V. Cavanagh, Jr., Providence, R. I., with whom Edward F. Hindle, Edwards & Angell, Providence, 
R. I., Daniel C. Kaufman and Waddey, Lundin & Newport, Nashville, Tenn., were on brief, for defendants-
appellants. 
Frank Licht, Providence, R. I. and David L. Foster, New York City, with whom Richard A. Licht, Letts, Quinn & Licht, 
Providence, R. I., Howard C. Buschman, III, Richard L. Posen, Jack A. Pawa, Willkie, Farr & Gallagher, New York 
City, Austin T. Stickells, Boston, Mass., Leonard Decof and Decof & Grimm, Providence, R. I., were on brief, for 
plaintiffs-appellees."
166,"Judges: Before CAMPBELL, BOWNES and BREYER, Circuit Judges."
166,Opinion by: BOWNES
172,"Counsel: Jonathan Prew, Nashua, N. H., and Robert W. Gardner, Ayer, Mass., on brief, for plaintiff, appellant. 
Joseph A. Millimet, William C. Saturley and Devine, Millimet, Stahl & Branch Professional Associates, Manchester, 
N. H., on brief, for defendant, appellee."
173,"Judges: Before COFFIN, Chief Judge, VAN DUSEN * and BOWNES, Circuit Judges."
173,Opinion by: BOWNES
179,"Counsel: Peter R. Maier, Appellate Staff, Civil Division, Department of Justice, J. Paul McGrath, Assistant Attorney 
General, William F. Weld, United States Attorney, Joseph J. McGovern, Assistant United States Attorney, Leonard 
Schaitman, Appellate Staff, Civil Division, Department of Justice, Michael Bradfield, General Counsel, and Stephen 
L. Siciliano, Senior Counsel, for appellant.
Robert E. Williams, Douglas S. McDowell, Lorence L. Kessler, and McGuiness & Williams, for the Equal 
Employment Advisory Council, amicus curiae.
John Reinstein, Marjorie Heins, for appellee.
Cornish F. Hitchcock, and David C. Vladeck, for the Freedom of Information Clearinghouse, amicus curiae."
179,"Judges: Campbell, Chief Judge, Breyer, Circuit Judge, and Re, * Chief Judge.  Breyer, Circuit Judge (dissenting)."
179,Opinion by: RE
